code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,rev_34,rev_35,rev_36,rev_37,rev_38,rev_39,rev_40,rev_41,rev_42,rev_43,rev_44,rev_45,rev_46,rev_47,doc_link,source_link
API,repo,README.md,0,0,0,5,5,5,5,5,5,5,5,5,5,9,9,9,8,25,26,21,21,35,35,35,35,35,36,36,36,36,36,36,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,https://github.com/google/ChromeBrowserEnterprise/blob/57a8489eb7878c02aef82bc6df89482d0186836d/README.md,https://github.com/google/ChromeBrowserEnterprise/blob/3c8e66f9a6ad153020a4129ffa876d8a5c4b20df/postman/VersionHistory API.postman_collection.json#L4
CBCM,repo,README.md,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/ChromeBrowserEnterprise/blob/57a8489eb7878c02aef82bc6df89482d0186836d/README.md,https://github.com/google/ChromeBrowserEnterprise/blob/1ee808f422aa941eca208d3aaa9cc1a40a3ff3d4/docs/auth.md#L14
LICENSE,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/ChromeBrowserEnterprise/blob/57a8489eb7878c02aef82bc6df89482d0186836d/README.md,https://github.com/google/ChromeBrowserEnterprise/blob/3c8e66f9a6ad153020a4129ffa876d8a5c4b20df/LICENSE#L195
OU,repo,README.md,0,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/ChromeBrowserEnterprise/blob/57a8489eb7878c02aef82bc6df89482d0186836d/README.md,https://github.com/google/ChromeBrowserEnterprise/blob/722008b4f754c07f3c2b231cb47b73b51ceed245/docs/postmanColl.md#L17
SDK,repo,README.md,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/ChromeBrowserEnterprise/blob/57a8489eb7878c02aef82bc6df89482d0186836d/README.md,https://github.com/google/ChromeBrowserEnterprise/blob/1ee808f422aa941eca208d3aaa9cc1a40a3ff3d4/docs/start.md#L11
app_details_api,repo,README.md,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/ChromeBrowserEnterprise/blob/57a8489eb7878c02aef82bc6df89482d0186836d/README.md,https://github.com/google/ChromeBrowserEnterprise/blob/1ee808f422aa941eca208d3aaa9cc1a40a3ff3d4/App Details API.postman_collection.json#L5
postmanColl,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/ChromeBrowserEnterprise/blob/57a8489eb7878c02aef82bc6df89482d0186836d/README.md,https://github.com/google/ChromeBrowserEnterprise/blob/3c8e66f9a6ad153020a4129ffa876d8a5c4b20df/docs/auth.md#L17
postman_collection,repo,README.md,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/ChromeBrowserEnterprise/blob/57a8489eb7878c02aef82bc6df89482d0186836d/README.md,https://github.com/google/ChromeBrowserEnterprise/blob/722008b4f754c07f3c2b231cb47b73b51ceed245/docs/auth.md#L9
readonly,repo,README.md,0,0,0,2,2,2,2,2,2,2,2,2,2,6,4,6,5,5,11,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/ChromeBrowserEnterprise/blob/57a8489eb7878c02aef82bc6df89482d0186836d/README.md,https://github.com/google/ChromeBrowserEnterprise/blob/1ee808f422aa941eca208d3aaa9cc1a40a3ff3d4/docs/auth.md#L14
ref_topic,repo,README.md,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,https://github.com/google/ChromeBrowserEnterprise/blob/57a8489eb7878c02aef82bc6df89482d0186836d/README.md,https://github.com/google/ChromeBrowserEnterprise/blob/3c8e66f9a6ad153020a4129ffa876d8a5c4b20df/postman/Enrollment Token API.postman_collection.json#L5
