code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,doc_link,source_link
$SAFELIGHT_DIR,repo,README.md,5,5,5,5,4,4,4,4,4,4,https://github.com/google/Safelight/blob/6b09fde6bc57d255e61d337962a647619f9ba9a7/README.md,https://github.com/google/Safelight/blob/6b09fde6bc57d255e61d337962a647619f9ba9a7/clean.sh#L19
CALL,repo,README.md,1,1,1,1,1,1,1,1,1,1,https://github.com/google/Safelight/blob/6b09fde6bc57d255e61d337962a647619f9ba9a7/README.md,https://github.com/google/Safelight/blob/6b09fde6bc57d255e61d337962a647619f9ba9a7/testSafelight.sh#L64
GTEST_DIR,repo,README.md,8,8,8,8,8,8,8,8,8,8,https://github.com/google/Safelight/blob/6b09fde6bc57d255e61d337962a647619f9ba9a7/README.md,https://github.com/google/Safelight/blob/6b09fde6bc57d255e61d337962a647619f9ba9a7/testSafelight.sh#L23
HALIDE_DIR,repo,README.md,15,15,15,16,16,17,17,17,17,17,https://github.com/google/Safelight/blob/6b09fde6bc57d255e61d337962a647619f9ba9a7/README.md,https://github.com/google/Safelight/blob/6b09fde6bc57d255e61d337962a647619f9ba9a7/testSafelight.sh#L76
JSONCPP_DIR,repo,README.md,5,5,5,5,5,5,5,5,5,5,https://github.com/google/Safelight/blob/6b09fde6bc57d255e61d337962a647619f9ba9a7/README.md,https://github.com/google/Safelight/blob/6b09fde6bc57d255e61d337962a647619f9ba9a7/testSafelight.sh#L66
NACL_PEPPER_DIR,repo,README.md,5,5,5,5,5,5,5,5,5,5,https://github.com/google/Safelight/blob/6b09fde6bc57d255e61d337962a647619f9ba9a7/README.md,https://github.com/google/Safelight/blob/6b09fde6bc57d255e61d337962a647619f9ba9a7/exportEnv.sh#L20
NaCl,repo,README.md,13,13,13,13,13,13,13,13,13,13,https://github.com/google/Safelight/blob/6b09fde6bc57d255e61d337962a647619f9ba9a7/README.md,https://github.com/google/Safelight/blob/6b09fde6bc57d255e61d337962a647619f9ba9a7/ui/index.html#L47
OS,repo,README.md,-,-,-,-,5,5,5,5,5,5,https://github.com/google/Safelight/blob/6b09fde6bc57d255e61d337962a647619f9ba9a7/README.md,https://github.com/google/Safelight/blob/6b09fde6bc57d255e61d337962a647619f9ba9a7/getPnaclHalide.sh#L19
PACKAGE,repo,README.md,1,1,1,1,1,1,1,1,1,1,https://github.com/google/Safelight/blob/6b09fde6bc57d255e61d337962a647619f9ba9a7/README.md,https://github.com/google/Safelight/blob/6b09fde6bc57d255e61d337962a647619f9ba9a7/testSafelight.sh#L64
PNaCl,repo,README.md,2,2,2,3,3,3,3,3,3,3,https://github.com/google/Safelight/blob/6b09fde6bc57d255e61d337962a647619f9ba9a7/README.md,https://github.com/google/Safelight/blob/6b09fde6bc57d255e61d337962a647619f9ba9a7/getPnaclHalide.sh#L17
PackagedCall,repo,README.md,8,8,8,8,8,8,8,8,8,8,https://github.com/google/Safelight/blob/6b09fde6bc57d255e61d337962a647619f9ba9a7/README.md,https://github.com/google/Safelight/blob/6b09fde6bc57d255e61d337962a647619f9ba9a7/visualizers/packaged_call_test.cc#L163
RUNTIME,repo,README.md,1,1,1,1,1,1,1,1,1,1,https://github.com/google/Safelight/blob/6b09fde6bc57d255e61d337962a647619f9ba9a7/README.md,https://github.com/google/Safelight/blob/6b09fde6bc57d255e61d337962a647619f9ba9a7/testSafelight.sh#L64
Rgba8VisualizerGeneratorTest,repo,README.md,8,8,8,8,8,8,8,8,8,8,https://github.com/google/Safelight/blob/6b09fde6bc57d255e61d337962a647619f9ba9a7/README.md,https://github.com/google/Safelight/blob/6b09fde6bc57d255e61d337962a647619f9ba9a7/visualizers/rgba8_visualizer_generator_test.cc#L226
SAFELIGHT,repo,README.md,1,1,1,1,1,1,1,1,1,1,https://github.com/google/Safelight/blob/6b09fde6bc57d255e61d337962a647619f9ba9a7/README.md,https://github.com/google/Safelight/blob/6b09fde6bc57d255e61d337962a647619f9ba9a7/server/src/main/safelight_server.go#L350
SAFELIGHT_DIR,repo,README.md,43,43,43,43,46,46,46,46,46,46,https://github.com/google/Safelight/blob/6b09fde6bc57d255e61d337962a647619f9ba9a7/README.md,https://github.com/google/Safelight/blob/6b09fde6bc57d255e61d337962a647619f9ba9a7/testSafelight.sh#L21
TESTING,repo,README.md,3,3,3,3,3,3,3,3,3,3,https://github.com/google/Safelight/blob/6b09fde6bc57d255e61d337962a647619f9ba9a7/README.md,https://github.com/google/Safelight/blob/6b09fde6bc57d255e61d337962a647619f9ba9a7/testSafelight.sh#L64
TRANSMOGRIFY,repo,README.md,1,1,1,1,1,1,1,1,1,1,https://github.com/google/Safelight/blob/6b09fde6bc57d255e61d337962a647619f9ba9a7/README.md,https://github.com/google/Safelight/blob/6b09fde6bc57d255e61d337962a647619f9ba9a7/testSafelight.sh#L102
TestCall,repo,README.md,1,1,1,1,1,1,1,1,1,1,https://github.com/google/Safelight/blob/6b09fde6bc57d255e61d337962a647619f9ba9a7/README.md,https://github.com/google/Safelight/blob/6b09fde6bc57d255e61d337962a647619f9ba9a7/visualizers/packaged_call_test.cc#L336
TestDescribe,repo,README.md,1,1,1,1,1,1,1,1,1,1,https://github.com/google/Safelight/blob/6b09fde6bc57d255e61d337962a647619f9ba9a7/README.md,https://github.com/google/Safelight/blob/6b09fde6bc57d255e61d337962a647619f9ba9a7/visualizers/packaged_call_test.cc#L163
TransmogrifyRgba8GeneratorTest,repo,README.md,8,8,8,8,8,8,8,8,8,8,https://github.com/google/Safelight/blob/6b09fde6bc57d255e61d337962a647619f9ba9a7/README.md,https://github.com/google/Safelight/blob/6b09fde6bc57d255e61d337962a647619f9ba9a7/visualizers/transmogrify_rgba8_test.cc#L203
UI,repo,README.md,2,2,2,2,2,2,2,2,2,2,https://github.com/google/Safelight/blob/6b09fde6bc57d255e61d337962a647619f9ba9a7/README.md,https://github.com/google/Safelight/blob/6b09fde6bc57d255e61d337962a647619f9ba9a7/ui/components/parameter_panel/parameter_panel_controller.js#L129
USE,repo,README.md,1,1,1,1,1,1,1,1,1,1,https://github.com/google/Safelight/blob/6b09fde6bc57d255e61d337962a647619f9ba9a7/README.md,https://github.com/google/Safelight/blob/6b09fde6bc57d255e61d337962a647619f9ba9a7/LICENSE#L5
