code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,rev_34,rev_35,rev_36,doc_link,source_link
$wgCacheEpoch,repo,README.md,.,.,.,.,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/abstracttext/blob/15713c8adc79b6441f5a51000ccf12118b1f87a7/README.md,https://github.com/google/abstracttext/blob/ca6eb8db4a5e49d30af5b2faff093dd856eb599b/docker_support/AdditionalLocalSettings.php#L3
AbstractText,repo,README.md,.,.,.,.,.,37,37,37,37,37,37,37,37,37,37,37,37,37,37,39,46,46,46,46,51,51,51,51,61,61,61,61,60,60,60,60,https://github.com/google/abstracttext/blob/15713c8adc79b6441f5a51000ccf12118b1f87a7/README.md,https://github.com/google/abstracttext/blob/ca6eb8db4a5e49d30af5b2faff093dd856eb599b/includes/TypesRepo.php#L5
JavaScript,repo,README.md,.,.,.,.,.,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,https://github.com/google/abstracttext/blob/15713c8adc79b6441f5a51000ccf12118b1f87a7/README.md,https://github.com/google/abstracttext/blob/ca6eb8db4a5e49d30af5b2faff093dd856eb599b/eneyj/docs/walkthrough.md#L15
LocalSettings,repo,README.md,.,.,.,.,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/abstracttext/blob/15713c8adc79b6441f5a51000ccf12118b1f87a7/README.md,https://github.com/google/abstracttext/blob/ca6eb8db4a5e49d30af5b2faff093dd856eb599b/docker_support/Dockerfile#L28
MediaWiki,repo,README.md,.,.,.,.,.,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,14,14,14,14,14,14,14,14,14,14,14,14,15,15,15,15,https://github.com/google/abstracttext/blob/15713c8adc79b6441f5a51000ccf12118b1f87a7/README.md,https://github.com/google/abstracttext/blob/ca6eb8db4a5e49d30af5b2faff093dd856eb599b/includes/Helper.php#L23
PHP,repo,README.md,.,.,.,.,.,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/abstracttext/blob/15713c8adc79b6441f5a51000ccf12118b1f87a7/README.md,https://github.com/google/abstracttext/blob/ca6eb8db4a5e49d30af5b2faff093dd856eb599b/eneyj/docs/walkthrough.md#L134
README,repo,README.md,.,.,.,.,.,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/abstracttext/blob/15713c8adc79b6441f5a51000ccf12118b1f87a7/README.md,https://github.com/google/abstracttext/blob/ca6eb8db4a5e49d30af5b2faff093dd856eb599b/eneyj/src/cli/helptext.js#L22
UniversalLanguageSelector,repo,README.md,.,.,.,.,.,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/abstracttext/blob/15713c8adc79b6441f5a51000ccf12118b1f87a7/README.md,https://github.com/google/abstracttext/blob/ca6eb8db4a5e49d30af5b2faff093dd856eb599b/eneyj/docs/walkthrough.md#L98
importTextFiles,repo,README.md,.,.,.,.,.,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/abstracttext/blob/15713c8adc79b6441f5a51000ccf12118b1f87a7/README.md,https://github.com/google/abstracttext/blob/ca6eb8db4a5e49d30af5b2faff093dd856eb599b/eneyj/package.json#L9
include_once,repo,README.md,.,.,.,.,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/abstracttext/blob/15713c8adc79b6441f5a51000ccf12118b1f87a7/README.md,https://github.com/google/abstracttext/blob/ca6eb8db4a5e49d30af5b2faff093dd856eb599b/docker_support/AdditionalLocalSettings.php#L1
lang:en,repo,README.md,.,.,.,.,.,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,https://github.com/google/abstracttext/blob/15713c8adc79b6441f5a51000ccf12118b1f87a7/README.md,https://github.com/google/abstracttext/blob/ca6eb8db4a5e49d30af5b2faff093dd856eb599b/eneyj/src/cli/helptext.js#L21
