code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,doc_link,source_link
-,repo,README.md,-,-,-,-,18,20,20,20,20,20,21,21,21,22,21,21,21,21,21,https://github.com/google/adh-deployment-manager/blob/34fed7eabdc1d3408b37bc45c33c19f752e78c7a/README.md,https://github.com/google/adh-deployment-manager/blob/f31c556c821e360993480935943a6522ab829a34/tests/tests_config.py#L135
.sql,repo,README.md,-,-,-,-,2,2,2,2,2,2,3,3,3,4,3,3,3,3,3,https://github.com/google/adh-deployment-manager/blob/34fed7eabdc1d3408b37bc45c33c19f752e78c7a/README.md,https://github.com/google/adh-deployment-manager/blob/f31c556c821e360993480935943a6522ab829a34/adh_deployment_manager/query.py#L300
ADH,repo,README.md,-,-,-,-,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,https://github.com/google/adh-deployment-manager/blob/34fed7eabdc1d3408b37bc45c33c19f752e78c7a/README.md,https://github.com/google/adh-deployment-manager/blob/f31c556c821e360993480935943a6522ab829a34/tests/sample_config.yml#L9
ADH_DEVELOPER_KEY,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,https://github.com/google/adh-deployment-manager/blob/34fed7eabdc1d3408b37bc45c33c19f752e78c7a/README.md,https://github.com/google/adh-deployment-manager/blob/f31c556c821e360993480935943a6522ab829a34/adm.py#L41
AdhAutheticator,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,https://github.com/google/adh-deployment-manager/blob/34fed7eabdc1d3408b37bc45c33c19f752e78c7a/README.md,https://github.com/google/adh-deployment-manager/blob/f31c556c821e360993480935943a6522ab829a34/adm.py#L19
AdhAutheticator(),repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,https://github.com/google/adh-deployment-manager/blob/34fed7eabdc1d3408b37bc45c33c19f752e78c7a/README.md,https://github.com/google/adh-deployment-manager/blob/f31c556c821e360993480935943a6522ab829a34/adm.py#L40
BQ,repo,README.md,-,-,-,-,2,2,2,2,2,2,2,2,2,4,2,2,2,2,2,https://github.com/google/adh-deployment-manager/blob/34fed7eabdc1d3408b37bc45c33c19f752e78c7a/README.md,https://github.com/google/adh-deployment-manager/blob/f31c556c821e360993480935943a6522ab829a34/adh_deployment_manager/commands/run.py#L32
CONSTANT,repo,README.md,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/adh-deployment-manager/blob/34fed7eabdc1d3408b37bc45c33c19f752e78c7a/README.md,https://github.com/google/adh-deployment-manager/blob/f31c556c821e360993480935943a6522ab829a34/tests/sample_config.yml#L24
DD,repo,README.md,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/adh-deployment-manager/blob/34fed7eabdc1d3408b37bc45c33c19f752e78c7a/README.md,https://github.com/google/adh-deployment-manager/blob/f31c556c821e360993480935943a6522ab829a34/adh_deployment_manager/utils.py#L33
Deployment,repo,README.md,-,-,-,-,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/adh-deployment-manager/blob/34fed7eabdc1d3408b37bc45c33c19f752e78c7a/README.md,https://github.com/google/adh-deployment-manager/blob/f31c556c821e360993480935943a6522ab829a34/adm.py#L20
