code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,rev_34,rev_35,rev_36,rev_37,rev_38,rev_39,rev_40,rev_41,doc_link,source_link
API,repo,README.md,.,-,-,-,-,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,https://github.com/google/assertor/blob/da8351d9bbee9f0abba9f3af7ffdca77c6567bbf/README.md,https://github.com/google/assertor/blob/da8351d9bbee9f0abba9f3af7ffdca77c6567bbf/src/lib.rs#L17
Assertion,repo,README.md,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,-,-,-,https://github.com/google/assertor/blob/da8351d9bbee9f0abba9f3af7ffdca77c6567bbf/README.md,https://github.com/google/assertor/blob/1152ac353c417f180941926fc67008ccb1ca46bc/how_to_extend.md#L4
HashMap,repo,README.md,.,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,17,17,17,-,-,-,-,-,-,-,-,-,-,-,18,18,18,https://github.com/google/assertor/blob/da8351d9bbee9f0abba9f3af7ffdca77c6567bbf/README.md,https://github.com/google/assertor/blob/da8351d9bbee9f0abba9f3af7ffdca77c6567bbf/src/assertions/map.rs#L17
LICENSE,repo,README.md,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16,https://github.com/google/assertor/blob/da8351d9bbee9f0abba9f3af7ffdca77c6567bbf/README.md,https://github.com/google/assertor/blob/da8351d9bbee9f0abba9f3af7ffdca77c6567bbf/src/testing.rs#L7
"Some(""Foo"")",repo,README.md,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/assertor/blob/da8351d9bbee9f0abba9f3af7ffdca77c6567bbf/README.md,https://github.com/google/assertor/blob/da8351d9bbee9f0abba9f3af7ffdca77c6567bbf/src/lib.rs#L33
TODO(koku),repo,README.md,.,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/assertor/blob/da8351d9bbee9f0abba9f3af7ffdca77c6567bbf/README.md,https://github.com/google/assertor/blob/660ca76ea953f4579d8a63707e2b5045dfacbcb5/src/base.rs#L114
assert_that,repo,README.md,.,123,123,123,123,123,123,123,122,122,122,122,122,138,145,145,155,155,148,148,148,150,150,150,227,230,238,238,238,238,238,239,239,239,239,239,239,239,239,239,239,https://github.com/google/assertor/blob/da8351d9bbee9f0abba9f3af7ffdca77c6567bbf/README.md,https://github.com/google/assertor/blob/da8351d9bbee9f0abba9f3af7ffdca77c6567bbf/src/testing.rs#L16
"contains(""a"")",repo,README.md,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/assertor/blob/da8351d9bbee9f0abba9f3af7ffdca77c6567bbf/README.md,https://github.com/google/assertor/blob/da8351d9bbee9f0abba9f3af7ffdca77c6567bbf/src/lib.rs#L29
"contains(""bar"")",repo,README.md,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/assertor/blob/da8351d9bbee9f0abba9f3af7ffdca77c6567bbf/README.md,https://github.com/google/assertor/blob/da8351d9bbee9f0abba9f3af7ffdca77c6567bbf/src/lib.rs#L24
"contains_exactly(vec![""a"", ""b""])",repo,README.md,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/assertor/blob/da8351d9bbee9f0abba9f3af7ffdca77c6567bbf/README.md,https://github.com/google/assertor/blob/da8351d9bbee9f0abba9f3af7ffdca77c6567bbf/src/lib.rs#L31
"contains_exactly(vec![""b"", ""c"", ""d""])",repo,README.md,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/assertor/blob/da8351d9bbee9f0abba9f3af7ffdca77c6567bbf/README.md,https://github.com/google/assertor/blob/da8351d9bbee9f0abba9f3af7ffdca77c6567bbf/src/lib.rs#L38
"ends_with(""baz"")",repo,README.md,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/assertor/blob/da8351d9bbee9f0abba9f3af7ffdca77c6567bbf/README.md,https://github.com/google/assertor/blob/da8351d9bbee9f0abba9f3af7ffdca77c6567bbf/src/lib.rs#L25
has_length(2),repo,README.md,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,4,4,4,4,4,4,4,4,4,4,4,4,4,https://github.com/google/assertor/blob/da8351d9bbee9f0abba9f3af7ffdca77c6567bbf/README.md,https://github.com/google/assertor/blob/da8351d9bbee9f0abba9f3af7ffdca77c6567bbf/src/lib.rs#L30
