code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,doc_link,source_link
.soy,repo,README.md,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/beautiful-audio-editor/blob/441fec151730487428d4ac25121b96ba9eb3cca7/README.md,https://github.com/google/beautiful-audio-editor/blob/41a04ed849965e05f9e2611c2d7953c26be2c582/do.py#L155
API,repo,README.md,254,254,254,254,229,229,229,229,229,229,229,229,229,229,229,https://github.com/google/beautiful-audio-editor/blob/441fec151730487428d4ac25121b96ba9eb3cca7/README.md,https://github.com/google/beautiful-audio-editor/blob/41a04ed849965e05f9e2611c2d7953c26be2c582/third_party/closure_library/third_party/closure/goog/mochikit/async/deferred.js#L174
Action,repo,README.md,121,121,121,121,122,122,122,122,122,122,122,122,122,122,122,https://github.com/google/beautiful-audio-editor/blob/441fec151730487428d4ac25121b96ba9eb3cca7/README.md,https://github.com/google/beautiful-audio-editor/blob/41a04ed849965e05f9e2611c2d7953c26be2c582/third_party/closure_library/closure/goog/ui/select.js#L137
ActionManager,repo,README.md,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,https://github.com/google/beautiful-audio-editor/blob/441fec151730487428d4ac25121b96ba9eb3cca7/README.md,https://github.com/google/beautiful-audio-editor/blob/41a04ed849965e05f9e2611c2d7953c26be2c582/src/js/original/ui/widget/play-widget.js#L33
CSS,repo,README.md,781,781,781,781,779,779,779,779,779,779,779,779,779,779,779,https://github.com/google/beautiful-audio-editor/blob/441fec151730487428d4ac25121b96ba9eb3cca7/README.md,https://github.com/google/beautiful-audio-editor/blob/41a04ed849965e05f9e2611c2d7953c26be2c582/third_party/closure_templates/soyutils_usegoog.js#L189
GSS,repo,README.md,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/beautiful-audio-editor/blob/441fec151730487428d4ac25121b96ba9eb3cca7/README.md,https://github.com/google/beautiful-audio-editor/blob/41a04ed849965e05f9e2611c2d7953c26be2c582/do.py#L110
HTML,repo,README.md,1024,1024,1024,1024,966,942,942,943,943,943,943,943,943,943,943,https://github.com/google/beautiful-audio-editor/blob/441fec151730487428d4ac25121b96ba9eb3cca7/README.md,https://github.com/google/beautiful-audio-editor/blob/41a04ed849965e05f9e2611c2d7953c26be2c582/third_party/closure_templates/soyutils_usegoog.js#L25
JavaScript,repo,README.md,138,138,138,138,136,136,136,136,136,136,136,136,136,136,136,https://github.com/google/beautiful-audio-editor/blob/441fec151730487428d4ac25121b96ba9eb3cca7/README.md,https://github.com/google/beautiful-audio-editor/blob/41a04ed849965e05f9e2611c2d7953c26be2c582/third_party/closure_templates/soyutils_usegoog.js#L937
README,repo,README.md,16,16,16,16,15,13,13,13,13,13,13,13,13,13,13,https://github.com/google/beautiful-audio-editor/blob/441fec151730487428d4ac25121b96ba9eb3cca7/README.md,https://github.com/google/beautiful-audio-editor/blob/41a04ed849965e05f9e2611c2d7953c26be2c582/third_party/closure_library/closure/goog/vec/vec4f.js#L32
SoyToJsSrcCompiler,repo,README.md,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,https://github.com/google/beautiful-audio-editor/blob/441fec151730487428d4ac25121b96ba9eb3cca7/README.md,https://github.com/google/beautiful-audio-editor/blob/41a04ed849965e05f9e2611c2d7953c26be2c582/third_party/closure_templates/README#L18
UI,repo,README.md,170,170,170,170,173,173,173,173,173,173,173,173,173,173,173,https://github.com/google/beautiful-audio-editor/blob/441fec151730487428d4ac25121b96ba9eb3cca7/README.md,https://github.com/google/beautiful-audio-editor/blob/41a04ed849965e05f9e2611c2d7953c26be2c582/third_party/js/la.js#L202
app.js,repo,README.md,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/beautiful-audio-editor/blob/441fec151730487428d4ac25121b96ba9eb3cca7/README.md,code_element is a file name
audioCat.audio.AudioGraph,repo,README.md,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,https://github.com/google/beautiful-audio-editor/blob/441fec151730487428d4ac25121b96ba9eb3cca7/README.md,https://github.com/google/beautiful-audio-editor/blob/41a04ed849965e05f9e2611c2d7953c26be2c582/src/js/original/ui/widget/master-volume-widget.js#L30
audioCat.audio.play.PlayManager,repo,README.md,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,https://github.com/google/beautiful-audio-editor/blob/441fec151730487428d4ac25121b96ba9eb3cca7/README.md,https://github.com/google/beautiful-audio-editor/blob/41a04ed849965e05f9e2611c2d7953c26be2c582/src/js/original/ui/widget/play-pointer.js#L32
audioCat.state.Clip,repo,README.md,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,https://github.com/google/beautiful-audio-editor/blob/441fec151730487428d4ac25121b96ba9eb3cca7/README.md,https://github.com/google/beautiful-audio-editor/blob/41a04ed849965e05f9e2611c2d7953c26be2c582/src/js/original/state/section.js#L38
audioCat.state.Section,repo,README.md,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,https://github.com/google/beautiful-audio-editor/blob/441fec151730487428d4ac25121b96ba9eb3cca7/README.md,https://github.com/google/beautiful-audio-editor/blob/41a04ed849965e05f9e2611c2d7953c26be2c582/src/js/original/ui/visualization/section-time-domain-visualization.js#L35
audioCat.state.Track,repo,README.md,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,https://github.com/google/beautiful-audio-editor/blob/441fec151730487428d4ac25121b96ba9eb3cca7/README.md,https://github.com/google/beautiful-audio-editor/blob/41a04ed849965e05f9e2611c2d7953c26be2c582/src/js/original/ui/visualization/section-time-domain-visualization.js#L36
audioCat.state.TrackManager,repo,README.md,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,https://github.com/google/beautiful-audio-editor/blob/441fec151730487428d4ac25121b96ba9eb3cca7/README.md,https://github.com/google/beautiful-audio-editor/blob/41a04ed849965e05f9e2611c2d7953c26be2c582/src/js/original/ui/track-listing-manager.js#L37
