code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,rev_34,rev_35,rev_36,rev_37,rev_38,rev_39,rev_40,rev_41,rev_42,rev_43,rev_44,rev_45,rev_46,rev_47,rev_48,rev_49,rev_50,rev_51,rev_52,rev_53,rev_54,rev_55,rev_56,rev_57,rev_58,rev_59,rev_60,rev_61,rev_62,rev_63,rev_64,rev_65,rev_66,rev_67,rev_68,rev_69,rev_70,rev_71,rev_72,rev_73,rev_74,doc_link,source_link
BinNavi,repo,README.md,1120,1120,1120,1121,1121,1121,1121,1113,1115,1115,1115,1115,1115,1115,1115,1115,1115,1115,1115,1150,1150,1150,1150,1150,1150,1150,1150,1150,1150,1150,1150,1150,1150,1150,1150,1150,1150,1150,1150,1150,1150,1150,1150,1150,1150,1388,1388,1388,1386,1386,1386,1386,1386,1386,1388,1388,1388,1388,1388,1388,1388,1388,1388,1388,1388,1388,1388,1388,1388,1388,1387,1387,1387,1387,https://github.com/google/binnavi/blob/14b6870158d69e698dc44ac70e405a243def3229/README.md,https://github.com/google/binnavi/blob/4cfdd91cdda2a6150f537df91a8c4221ae50bb6d/wixsrc/build.scons#L19
IDA,repo,README.md,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,https://github.com/google/binnavi/blob/14b6870158d69e698dc44ac70e405a243def3229/README.md,https://github.com/google/binnavi/blob/4cfdd91cdda2a6150f537df91a8c4221ae50bb6d/wixsrc/Setup.wxs#L56
JAR,repo,README.md,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,https://github.com/google/binnavi/blob/14b6870158d69e698dc44ac70e405a243def3229/README.md,https://github.com/google/binnavi/blob/4cfdd91cdda2a6150f537df91a8c4221ae50bb6d/src/main/java/com/google/security/zynamics/zylib/io/FileUtils.java#L139
LLC,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,4106,4106,4106,4106,https://github.com/google/binnavi/blob/14b6870158d69e698dc44ac70e405a243def3229/README.md,https://github.com/google/binnavi/blob/4cfdd91cdda2a6150f537df91a8c4221ae50bb6d/src/main/java/com/google/security/zynamics/zylib/yfileswrap/yfiles/_Doc.java#L1
OS,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,https://github.com/google/binnavi/blob/14b6870158d69e698dc44ac70e405a243def3229/README.md,https://github.com/google/binnavi/blob/4cfdd91cdda2a6150f537df91a8c4221ae50bb6d/src/main/java/com/google/security/zynamics/zylib/gui/CFileChooser.java#L218
PostgreSQL,repo,README.md,438,438,438,438,438,438,438,438,438,438,438,438,438,438,438,438,438,438,438,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,https://github.com/google/binnavi/blob/14b6870158d69e698dc44ac70e405a243def3229/README.md,https://github.com/google/binnavi/blob/4cfdd91cdda2a6150f537df91a8c4221ae50bb6d/wixsrc/Setup.wxs#L114
com.google.security.zynamics.binnavi,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,15816,15816,15816,15816,15816,https://github.com/google/binnavi/blob/14b6870158d69e698dc44ac70e405a243def3229/README.md,https://github.com/google/binnavi/blob/4cfdd91cdda2a6150f537df91a8c4221ae50bb6d/src/test/java/com/google/security/zynamics/binnavi/standardplugins/pathfinder/PathFinderTest.java#L16
com.google.security.zynamics.binnavi.yfileswrap,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,537,537,537,537,537,https://github.com/google/binnavi/blob/14b6870158d69e698dc44ac70e405a243def3229/README.md,https://github.com/google/binnavi/blob/4cfdd91cdda2a6150f537df91a8c4221ae50bb6d/src/test/java/com/google/security/zynamics/binnavi/disassembly/types/TypeDependenceGraphTests.java#L26
com.google.security.zynamics.reil,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,14270,14270,14270,14270,14270,https://github.com/google/binnavi/blob/14b6870158d69e698dc44ac70e405a243def3229/README.md,https://github.com/google/binnavi/blob/4cfdd91cdda2a6150f537df91a8c4221ae50bb6d/src/test/java/com/google/security/zynamics/reil/translators/x86/XorTranslatorTest.java#L16
com.google.security.zynamics.reil.yfileswrap,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,2,2,2,https://github.com/google/binnavi/blob/14b6870158d69e698dc44ac70e405a243def3229/README.md,https://github.com/google/binnavi/blob/4cfdd91cdda2a6150f537df91a8c4221ae50bb6d/src/main/java/com/google/security/zynamics/reil/yfileswrap/algorithms/mono2/common/instructiongraph/CReilInstructionGraph.java#L15
com.google.security.zynamics.zylib,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7561,7561,7561,7561,7561,https://github.com/google/binnavi/blob/14b6870158d69e698dc44ac70e405a243def3229/README.md,https://github.com/google/binnavi/blob/4cfdd91cdda2a6150f537df91a8c4221ae50bb6d/src/test/java/com/google/security/zynamics/zylib/types/graphs/MockNode.java#L16
com.google.security.zynamics.zylib.yfileswrap,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,717,717,717,717,717,https://github.com/google/binnavi/blob/14b6870158d69e698dc44ac70e405a243def3229/README.md,https://github.com/google/binnavi/blob/4cfdd91cdda2a6150f537df91a8c4221ae50bb6d/src/test/java/com/google/security/zynamics/binnavi/ZyGraph/ZyGraphFactory.java#L55
dependency:copy,repo,README.md,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/binnavi/blob/14b6870158d69e698dc44ac70e405a243def3229/README.md,https://github.com/google/binnavi/blob/4cfdd91cdda2a6150f537df91a8c4221ae50bb6d/.travis.yml#L7
install:install,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/binnavi/blob/14b6870158d69e698dc44ac70e405a243def3229/README.md,https://github.com/google/binnavi/blob/4cfdd91cdda2a6150f537df91a8c4221ae50bb6d/lib/com/google/security/zynamics/binnavi/yfileswrap-obfuscated/6.1/yfileswrap-obfuscated-6.1.pom#L8
third_party/java/yfiles,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/binnavi/blob/14b6870158d69e698dc44ac70e405a243def3229/README.md,https://github.com/google/binnavi/blob/4cfdd91cdda2a6150f537df91a8c4221ae50bb6d/build.xml#L34
y.jar,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/binnavi/blob/14b6870158d69e698dc44ac70e405a243def3229/README.md,https://github.com/google/binnavi/blob/4cfdd91cdda2a6150f537df91a8c4221ae50bb6d/src/main/java/com/google/security/zynamics/binnavi/manual/html/about.htm#L252
