code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,doc_link,source_link
API,repo,README.md,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,https://github.com/google/calblink/blob/3892c24fe0d650817f1e503511a12771233476f8/README.md,https://github.com/google/calblink/blob/b098a98241b3ae74c8ac89411b1566e5964672f8/calblink.go#L173
ID,repo,README.md,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,https://github.com/google/calblink/blob/3892c24fe0d650817f1e503511a12771233476f8/README.md,https://github.com/google/calblink/blob/b098a98241b3ae74c8ac89411b1566e5964672f8/calblink.go#L62
JSON,repo,README.md,-,-,-,-,-,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/calblink/blob/3892c24fe0d650817f1e503511a12771233476f8/README.md,https://github.com/google/calblink/blob/b098a98241b3ae74c8ac89411b1566e5964672f8/calblink.go#L47
LED,repo,README.md,4,4,4,4,4,4,4,4,6,6,6,6,6,6,6,6,6,6,https://github.com/google/calblink/blob/3892c24fe0d650817f1e503511a12771233476f8/README.md,https://github.com/google/calblink/blob/b098a98241b3ae74c8ac89411b1566e5964672f8/calblink.go#L270
LICENSE,repo,README.md,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/calblink/blob/3892c24fe0d650817f1e503511a12771233476f8/README.md,https://github.com/google/calblink/blob/b098a98241b3ae74c8ac89411b1566e5964672f8/calblink.go#L7
SIGQUIT,repo,README.md,-,-,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/calblink/blob/3892c24fe0d650817f1e503511a12771233476f8/README.md,https://github.com/google/calblink/blob/b098a98241b3ae74c8ac89411b1566e5964672f8/calblink.go#L325
blink(1),repo,README.md,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,https://github.com/google/calblink/blob/3892c24fe0d650817f1e503511a12771233476f8/README.md,https://github.com/google/calblink/blob/b098a98241b3ae74c8ac89411b1566e5964672f8/calblink.go#L74
deviceFailureRetries,repo,README.md,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,https://github.com/google/calblink/blob/3892c24fe0d650817f1e503511a12771233476f8/README.md,https://github.com/google/calblink/blob/b098a98241b3ae74c8ac89411b1566e5964672f8/calblink.go#L57
endTime,repo,README.md,10,10,10,10,10,10,10,10,10,10,12,12,12,12,12,12,12,12,https://github.com/google/calblink/blob/3892c24fe0d650817f1e503511a12771233476f8/README.md,https://github.com/google/calblink/blob/b098a98241b3ae74c8ac89411b1566e5964672f8/calblink.go#L52
multiEvent,repo,README.md,-,-,-,-,-,-,-,-,5,5,5,5,5,5,5,5,5,5,https://github.com/google/calblink/blob/3892c24fe0d650817f1e503511a12771233476f8/README.md,https://github.com/google/calblink/blob/b098a98241b3ae74c8ac89411b1566e5964672f8/calblink.go#L59
notRejected,repo,README.md,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,https://github.com/google/calblink/blob/3892c24fe0d650817f1e503511a12771233476f8/README.md,https://github.com/google/calblink/blob/b098a98241b3ae74c8ac89411b1566e5964672f8/calblink.go#L69
pollInterval,repo,README.md,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,https://github.com/google/calblink/blob/3892c24fe0d650817f1e503511a12771233476f8/README.md,https://github.com/google/calblink/blob/b098a98241b3ae74c8ac89411b1566e5964672f8/calblink.go#L54
responseState,repo,README.md,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,https://github.com/google/calblink/blob/3892c24fe0d650817f1e503511a12771233476f8/README.md,https://github.com/google/calblink/blob/b098a98241b3ae74c8ac89411b1566e5964672f8/calblink.go#L56
showDots,repo,README.md,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,https://github.com/google/calblink/blob/3892c24fe0d650817f1e503511a12771233476f8/README.md,https://github.com/google/calblink/blob/b098a98241b3ae74c8ac89411b1566e5964672f8/calblink.go#L58
skipDays,repo,README.md,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,https://github.com/google/calblink/blob/3892c24fe0d650817f1e503511a12771233476f8/README.md,https://github.com/google/calblink/blob/b098a98241b3ae74c8ac89411b1566e5964672f8/calblink.go#L53
startTime,repo,README.md,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,https://github.com/google/calblink/blob/3892c24fe0d650817f1e503511a12771233476f8/README.md,https://github.com/google/calblink/blob/b098a98241b3ae74c8ac89411b1566e5964672f8/calblink.go#L51
