code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,rev_34,rev_35,doc_link,source_link
CLA,repo,README.md,-,-,-,-,-,-,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/clojure-turtle/blob/c2149d3a63512d44e938723433e2c562ee71bb57/README.md,https://github.com/google/clojure-turtle/blob/8ce2b5d25199e9e8ad08d395b16e8445dff5d55b/CONTRIBUTING.md#L6
CLJS,repo,README.md,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/clojure-turtle/blob/c2149d3a63512d44e938723433e2c562ee71bb57/README.md,https://github.com/google/clojure-turtle/blob/8ce2b5d25199e9e8ad08d395b16e8445dff5d55b/src/cljc/clojure_turtle/core.cljc#L445
ClojureScript,repo,README.md,-,-,-,-,-,-,-,-,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/clojure-turtle/blob/c2149d3a63512d44e938723433e2c562ee71bb57/README.md,https://github.com/google/clojure-turtle/blob/8ce2b5d25199e9e8ad08d395b16e8445dff5d55b/src/cljc/clojure_turtle/core.cljc#L39
REPEAT,repo,README.md,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,https://github.com/google/clojure-turtle/blob/c2149d3a63512d44e938723433e2c562ee71bb57/README.md,https://github.com/google/clojure-turtle/blob/8ce2b5d25199e9e8ad08d395b16e8445dff5d55b/src/cljs/clojure_turtle/macros.cljc#L6
REPL,repo,README.md,0,0,0,0,0,0,0,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/clojure-turtle/blob/c2149d3a63512d44e938723433e2c562ee71bb57/README.md,https://github.com/google/clojure-turtle/blob/8ce2b5d25199e9e8ad08d395b16e8445dff5d55b/src/cljc/clojure_turtle/core.cljc#L51
RGB,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,2,2,2,2,2,2,2,https://github.com/google/clojure-turtle/blob/c2149d3a63512d44e938723433e2c562ee71bb57/README.md,https://github.com/google/clojure-turtle/blob/8ce2b5d25199e9e8ad08d395b16e8445dff5d55b/src/cljc/clojure_turtle/core.cljc#L103
back,repo,README.md,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,https://github.com/google/clojure-turtle/blob/c2149d3a63512d44e938723433e2c562ee71bb57/README.md,https://github.com/google/clojure-turtle/blob/8ce2b5d25199e9e8ad08d395b16e8445dff5d55b/src/cljc/clojure_turtle/core.cljc#L175
clean,repo,README.md,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,8,8,8,8,8,8,8,8,8,8,https://github.com/google/clojure-turtle/blob/c2149d3a63512d44e938723433e2c562ee71bb57/README.md,https://github.com/google/clojure-turtle/blob/8ce2b5d25199e9e8ad08d395b16e8445dff5d55b/wiki/Animation.md#L1
clojure-turtle,repo,README.md,4,4,4,4,4,4,4,6,6,6,6,6,6,6,6,6,6,6,6,6,6,8,8,8,8,15,15,15,15,15,15,15,15,15,15,https://github.com/google/clojure-turtle/blob/c2149d3a63512d44e938723433e2c562ee71bb57/README.md,https://github.com/google/clojure-turtle/blob/8ce2b5d25199e9e8ad08d395b16e8445dff5d55b/wiki/Home.md#L1
clojure-turtle.core,repo,README.md,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,https://github.com/google/clojure-turtle/blob/c2149d3a63512d44e938723433e2c562ee71bb57/README.md,https://github.com/google/clojure-turtle/blob/8ce2b5d25199e9e8ad08d395b16e8445dff5d55b/test/clojure_turtle/core_test.clj#L15
