code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,doc_link,source_link
./bin,repo,README.md,-,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,https://github.com/google/codeu_project_2017/blob/e6e1863a5dd36503e59f0d8d76ed62f6af44977a/README.md,https://github.com/google/codeu_project_2017/blob/2503f0f6dfca50198f1b9cdadeec1d4103d24066/test.sh#L19
./third_party,repo,README.md,-,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/codeu_project_2017/blob/e6e1863a5dd36503e59f0d8d76ed62f6af44977a/README.md,https://github.com/google/codeu_project_2017/blob/2503f0f6dfca50198f1b9cdadeec1d4103d24066/test.sh#L19
DISCLAIMER,repo,README.md,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/codeu_project_2017/blob/e6e1863a5dd36503e59f0d8d76ed62f6af44977a/README.md,https://github.com/google/codeu_project_2017/blob/2503f0f6dfca50198f1b9cdadeec1d4103d24066/third_party/LICENSE#L380
INFO,repo,README.md,-,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/codeu_project_2017/blob/e6e1863a5dd36503e59f0d8d76ed62f6af44977a/README.md,https://github.com/google/codeu_project_2017/blob/2503f0f6dfca50198f1b9cdadeec1d4103d24066/src/codeu/chat/util/Logger.java#L39
IP,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,2,2,2,2,2,2,2,2,2,2,https://github.com/google/codeu_project_2017/blob/e6e1863a5dd36503e59f0d8d76ed62f6af44977a/README.md,https://github.com/google/codeu_project_2017/blob/2503f0f6dfca50198f1b9cdadeec1d4103d24066/run_server.sh#L35
LOG,repo,README.md,-,123,123,123,133,137,137,137,137,137,137,137,137,137,137,137,137,137,137,137,137,137,137,137,137,https://github.com/google/codeu_project_2017/blob/e6e1863a5dd36503e59f0d8d76ed62f6af44977a/README.md,https://github.com/google/codeu_project_2017/blob/2503f0f6dfca50198f1b9cdadeec1d4103d24066/src/codeu/chat/util/Timeline.java#L29
SERVER,repo,README.md,-,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/codeu_project_2017/blob/e6e1863a5dd36503e59f0d8d76ed62f6af44977a/README.md,https://github.com/google/codeu_project_2017/blob/2503f0f6dfca50198f1b9cdadeec1d4103d24066/src/codeu/chat/util/connections/ServerConnectionSource.java#L23
codeu.chat.ClientMain,repo,README.md,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/codeu_project_2017/blob/e6e1863a5dd36503e59f0d8d76ed62f6af44977a/README.md,https://github.com/google/codeu_project_2017/blob/2503f0f6dfca50198f1b9cdadeec1d4103d24066/run_client.sh#L26
codeu.chat.RelayMain,repo,README.md,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/codeu_project_2017/blob/e6e1863a5dd36503e59f0d8d76ed62f6af44977a/README.md,https://github.com/google/codeu_project_2017/blob/2503f0f6dfca50198f1b9cdadeec1d4103d24066/run_relay.sh#L31
codeu.chat.ServerMain,repo,README.md,-,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/codeu_project_2017/blob/e6e1863a5dd36503e59f0d8d76ed62f6af44977a/README.md,https://github.com/google/codeu_project_2017/blob/2503f0f6dfca50198f1b9cdadeec1d4103d24066/run_server.sh#L45
