code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,rev_34,rev_35,rev_36,rev_37,rev_38,rev_39,rev_40,rev_41,rev_42,rev_43,rev_44,rev_45,rev_46,rev_47,rev_48,rev_49,rev_50,rev_51,rev_52,rev_53,doc_link,source_link
CI,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,https://github.com/google/dart-json_diff/blob/142ddb630b7bc36e05ac49e328c323a773789a39/README.md,https://github.com/google/dart-json_diff/blob/7f84eac6f708291915208e374371ebc492373f82/.github/workflows/test-package.yml#L1
DiffNode,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,34,34,34,43,47,51,51,51,51,51,26,26,26,27,27,27,27,27,https://github.com/google/dart-json_diff/blob/142ddb630b7bc36e05ac49e328c323a773789a39/README.md,https://github.com/google/dart-json_diff/blob/7f84eac6f708291915208e374371ebc492373f82/lib/src/json_differ.dart#L27
DiffNodes,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-,-,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/dart-json_diff/blob/142ddb630b7bc36e05ac49e328c323a773789a39/README.md,https://github.com/google/dart-json_diff/blob/7f84eac6f708291915208e374371ebc492373f82/lib/src/diff_node.dart#L10
JSON,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2,2,2,23,23,23,23,23,23,23,24,24,24,22,21,21,21,21,https://github.com/google/dart-json_diff/blob/142ddb630b7bc36e05ac49e328c323a773789a39/README.md,https://github.com/google/dart-json_diff/blob/7f84eac6f708291915208e374371ebc492373f82/pubspec.yaml#L4
JsonDiffer,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-,-,-,-,-,-,-,-,-,-,-,-,70,73,79,79,79,79,https://github.com/google/dart-json_diff/blob/142ddb630b7bc36e05ac49e328c323a773789a39/README.md,https://github.com/google/dart-json_diff/blob/7f84eac6f708291915208e374371ebc492373f82/test/json_diff_test.dart#L11
added,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-,-,46,47,50,55,55,55,55,55,56,60,67,72,75,75,75,75,https://github.com/google/dart-json_diff/blob/142ddb630b7bc36e05ac49e328c323a773789a39/README.md,https://github.com/google/dart-json_diff/blob/7f84eac6f708291915208e374371ebc492373f82/test/json_diff_test.dart#L21
changed,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-,-,45,48,56,62,62,62,62,62,62,64,64,71,76,77,78,78,https://github.com/google/dart-json_diff/blob/142ddb630b7bc36e05ac49e328c323a773789a39/README.md,https://github.com/google/dart-json_diff/blob/7f84eac6f708291915208e374371ebc492373f82/test/json_diff_test.dart#L23
differ.diff(),repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,13,13,13,14,17,22,22,22,22,22,22,22,22,27,30,30,30,30,https://github.com/google/dart-json_diff/blob/142ddb630b7bc36e05ac49e328c323a773789a39/README.md,https://github.com/google/dart-json_diff/blob/7f84eac6f708291915208e374371ebc492373f82/test/json_diff_test.dart#L20
"fromJson(left, right)",repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,https://github.com/google/dart-json_diff/blob/142ddb630b7bc36e05ac49e328c323a773789a39/README.md,https://github.com/google/dart-json_diff/blob/7f84eac6f708291915208e374371ebc492373f82/test/json_diff_test.dart#L309
json_diff,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,6,6,6,7,9,11,11,12,12,12,12,12,12,12,12,12,12,12,https://github.com/google/dart-json_diff/blob/142ddb630b7bc36e05ac49e328c323a773789a39/README.md,https://github.com/google/dart-json_diff/blob/7f84eac6f708291915208e374371ebc492373f82/test/test_all_the_things.dart#L10
left,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-,-,33,38,38,38,38,38,38,38,33,35,30,29,29,29,29,29,https://github.com/google/dart-json_diff/blob/142ddb630b7bc36e05ac49e328c323a773789a39/README.md,https://github.com/google/dart-json_diff/blob/7f84eac6f708291915208e374371ebc492373f82/test/json_diff_test.dart#L301
moved,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-,-,-,-,-,-,-,-,-,-,-,-,10,10,10,10,11,11,https://github.com/google/dart-json_diff/blob/142ddb630b7bc36e05ac49e328c323a773789a39/README.md,https://github.com/google/dart-json_diff/blob/7f84eac6f708291915208e374371ebc492373f82/test/json_diff_test.dart#L315
node,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-,-,197,203,222,250,250,250,250,250,258,263,270,300,318,318,318,318,https://github.com/google/dart-json_diff/blob/142ddb630b7bc36e05ac49e328c323a773789a39/README.md,https://github.com/google/dart-json_diff/blob/7f84eac6f708291915208e374371ebc492373f82/test/json_diff_test.dart#L20
not,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-,-,13,17,17,17,17,17,17,17,18,18,19,16,15,15,15,15,https://github.com/google/dart-json_diff/blob/142ddb630b7bc36e05ac49e328c323a773789a39/README.md,https://github.com/google/dart-json_diff/blob/7f84eac6f708291915208e374371ebc492373f82/lib/src/json_differ.dart#L193
package:json_diff,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,1,1,1,2,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/dart-json_diff/blob/142ddb630b7bc36e05ac49e328c323a773789a39/README.md,https://github.com/google/dart-json_diff/blob/7f84eac6f708291915208e374371ebc492373f82/test/json_diff_test.dart#L7
