code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,rev_34,rev_35,rev_36,rev_37,rev_38,rev_39,rev_40,rev_41,rev_42,rev_43,rev_44,rev_45,rev_46,rev_47,rev_48,rev_49,rev_50,rev_51,rev_52,rev_53,rev_54,rev_55,rev_56,rev_57,rev_58,rev_59,rev_60,rev_61,rev_62,rev_63,rev_64,rev_65,rev_66,rev_67,rev_68,doc_link,source_link
ANY,repo,README.md,2,2,2,2,2,2,2,8,9,8,8,8,8,8,10,12,12,15,17,19,20,22,22,22,23,23,28,28,30,32,33,35,35,37,39,39,39,39,39,39,44,44,44,44,46,48,50,52,52,54,54,57,57,59,59,59,59,61,62,62,64,66,66,66,66,66,66,66,https://github.com/google/debaised-analysis/blob/3a4c1cc651bc991ec220d34b4e9b4ac42acc897e/README.md,https://github.com/google/debaised-analysis/blob/0dad1186a177a171956a33c49999d9387b9f989d/intents/weighted_mean.py#L11
AS,repo,README.md,2,2,2,2,2,2,2,8,9,8,8,8,8,8,52,54,54,57,59,61,62,64,64,64,65,65,70,70,72,74,75,77,77,79,81,81,81,81,81,81,86,86,86,86,88,90,92,94,94,96,96,99,99,101,101,101,101,103,104,104,106,108,108,108,108,108,108,108,https://github.com/google/debaised-analysis/blob/3a4c1cc651bc991ec220d34b4e9b4ac42acc897e/README.md,https://github.com/google/debaised-analysis/blob/0dad1186a177a171956a33c49999d9387b9f989d/intents/weighted_mean.py#L10
BASIS,repo,README.md,2,2,2,2,2,2,2,8,9,8,8,8,8,8,10,12,12,15,17,19,20,22,22,22,23,23,28,28,30,32,33,35,35,37,39,39,39,39,39,39,44,44,44,44,46,48,50,52,52,54,54,57,57,59,59,59,59,61,62,62,64,66,66,66,66,66,66,66,https://github.com/google/debaised-analysis/blob/3a4c1cc651bc991ec220d34b4e9b4ac42acc897e/README.md,https://github.com/google/debaised-analysis/blob/0dad1186a177a171956a33c49999d9387b9f989d/intents/weighted_mean.py#L10
CONDITIONS,repo,README.md,4,4,4,4,4,4,4,10,11,10,10,10,10,10,12,14,14,17,19,21,22,24,24,24,25,25,30,30,32,34,35,37,37,39,41,41,41,41,41,41,46,46,46,46,48,50,52,54,54,56,56,59,59,61,61,61,61,63,64,64,66,68,68,68,68,68,68,68,https://github.com/google/debaised-analysis/blob/3a4c1cc651bc991ec220d34b4e9b4ac42acc897e/README.md,https://github.com/google/debaised-analysis/blob/0dad1186a177a171956a33c49999d9387b9f989d/intents/weighted_mean.py#L11
CSS,repo,README.md,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/debaised-analysis/blob/3a4c1cc651bc991ec220d34b4e9b4ac42acc897e/README.md,https://github.com/google/debaised-analysis/blob/0dad1186a177a171956a33c49999d9387b9f989d/ui/ui_vfinal/autocomplete/javascript/awesomplete_js.html#L152
IS,repo,README.md,2,2,2,2,2,13,2,19,20,19,19,19,19,19,21,23,23,26,28,30,31,33,33,33,34,34,39,39,41,43,44,46,46,48,50,50,50,50,50,50,55,55,55,55,57,59,61,63,63,65,65,68,68,70,70,70,70,72,73,73,75,77,77,77,77,77,77,77,https://github.com/google/debaised-analysis/blob/3a4c1cc651bc991ec220d34b4e9b4ac42acc897e/README.md,https://github.com/google/debaised-analysis/blob/0dad1186a177a171956a33c49999d9387b9f989d/intents/weighted_mean.py#L10
KIND,repo,README.md,2,2,2,2,2,2,2,8,9,8,8,8,8,8,10,12,12,15,17,19,20,22,22,22,23,23,28,28,30,32,33,35,35,37,39,39,39,39,39,39,44,44,44,44,46,48,50,52,52,54,54,57,57,59,59,59,59,61,62,62,64,66,66,66,66,66,66,66,https://github.com/google/debaised-analysis/blob/3a4c1cc651bc991ec220d34b4e9b4ac42acc897e/README.md,https://github.com/google/debaised-analysis/blob/0dad1186a177a171956a33c49999d9387b9f989d/intents/weighted_mean.py#L11
LICENSE,repo,README.md,2,2,2,2,2,2,2,8,9,8,8,8,8,8,10,12,12,15,17,19,20,22,22,22,23,23,28,28,30,32,33,35,35,37,39,39,39,39,39,39,44,44,44,44,46,48,50,52,52,54,54,57,57,59,59,59,59,61,62,62,64,66,66,66,66,66,66,66,https://github.com/google/debaised-analysis/blob/3a4c1cc651bc991ec220d34b4e9b4ac42acc897e/README.md,https://github.com/google/debaised-analysis/blob/0dad1186a177a171956a33c49999d9387b9f989d/intents/weighted_mean.py#L8
LLC,repo,README.md,0,0,0,0,0,0,0,6,7,6,6,6,6,6,8,10,10,13,15,17,18,20,20,20,21,21,26,26,28,30,31,33,33,35,37,37,37,37,37,37,42,42,42,42,45,48,50,52,52,54,54,57,57,59,59,59,59,61,62,62,64,66,66,66,66,66,66,66,https://github.com/google/debaised-analysis/blob/3a4c1cc651bc991ec220d34b4e9b4ac42acc897e/README.md,https://github.com/google/debaised-analysis/blob/0dad1186a177a171956a33c49999d9387b9f989d/intents/weighted_mean.py#L2
OF,repo,README.md,3,3,3,3,3,3,3,9,10,9,9,9,9,9,11,13,13,16,18,20,21,23,23,24,25,25,30,30,32,34,35,37,37,39,41,41,42,42,42,42,47,47,47,47,49,51,53,55,55,57,57,60,60,62,62,62,62,64,65,65,67,69,69,69,69,69,69,69,https://github.com/google/debaised-analysis/blob/3a4c1cc651bc991ec220d34b4e9b4ac42acc897e/README.md,https://github.com/google/debaised-analysis/blob/0dad1186a177a171956a33c49999d9387b9f989d/ui/ui_vfinal/aspects/metric_correlation/metric_correlation.html#L1
