code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,rev_34,rev_35,rev_36,rev_37,rev_38,rev_39,rev_40,rev_41,rev_42,rev_43,rev_44,rev_45,rev_46,rev_47,rev_48,rev_49,rev_50,rev_51,rev_52,rev_53,rev_54,rev_55,rev_56,rev_57,rev_58,rev_59,rev_60,rev_61,rev_62,rev_63,rev_64,rev_65,rev_66,rev_67,rev_68,rev_69,rev_70,rev_71,rev_72,rev_73,rev_74,rev_75,rev_76,rev_77,rev_78,doc_link,source_link
-c,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/dfdewey/blob/7aadd41ee20f26b0c0cb75107d0b4172c52baeac/README.md,https://github.com/google/dfdewey/blob/7aadd41ee20f26b0c0cb75107d0b4172c52baeac/docs/usage.md#L4
DFDewey,repo,README.md,0,2,3,4,5,7,7,8,8,8,8,9,9,9,9,9,9,9,9,9,9,9,6,6,6,6,6,6,6,6,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/dfdewey/blob/7aadd41ee20f26b0c0cb75107d0b4172c52baeac/README.md,https://github.com/google/dfdewey/blob/998a8745aab92cc89a4ea8c5dbd9a18f87733865/docker/Dockerfile#L21
GIFT,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://github.com/google/dfdewey/blob/7aadd41ee20f26b0c0cb75107d0b4172c52baeac/README.md,https://github.com/google/dfdewey/blob/4a408268ff22975e13fabc867330cfaae902e467/docker/Dockerfile#L24
OpenSearch,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,22,21,21,21,21,https://github.com/google/dfdewey/blob/7aadd41ee20f26b0c0cb75107d0b4172c52baeac/README.md,https://github.com/google/dfdewey/blob/7aadd41ee20f26b0c0cb75107d0b4172c52baeac/docs/usage.md#L29
PPA,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://github.com/google/dfdewey/blob/7aadd41ee20f26b0c0cb75107d0b4172c52baeac/README.md,https://github.com/google/dfdewey/blob/4a408268ff22975e13fabc867330cfaae902e467/docker/Dockerfile#L24
PostgreSQL,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13,13,13,13,13,13,13,13,13,15,15,15,15,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,15,https://github.com/google/dfdewey/blob/7aadd41ee20f26b0c0cb75107d0b4172c52baeac/README.md,https://github.com/google/dfdewey/blob/7aadd41ee20f26b0c0cb75107d0b4172c52baeac/docs/usage.md#L29
bulk_extractor,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,3,3,3,6,6,6,3,3,3,3,3,3,3,3,3,3,3,5,5,5,5,5,5,5,5,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,https://github.com/google/dfdewey/blob/7aadd41ee20f26b0c0cb75107d0b4172c52baeac/README.md,https://github.com/google/dfdewey/blob/7aadd41ee20f26b0c0cb75107d0b4172c52baeac/docs/usage.md#L75
dfDewey,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,5,5,5,6,9,9,9,9,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,14,14,14,14,19,19,19,19,19,19,19,19,19,19,https://github.com/google/dfdewey/blob/7aadd41ee20f26b0c0cb75107d0b4172c52baeac/README.md,https://github.com/google/dfdewey/blob/7aadd41ee20f26b0c0cb75107d0b4172c52baeac/setup.py#L42
dfdewey/config/config_template.py,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/dfdewey/blob/7aadd41ee20f26b0c0cb75107d0b4172c52baeac/README.md,code_element is a file name
dfvfs_requirements,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,0,1,1,1,1,1,1,1,1,1,1,https://github.com/google/dfdewey/blob/7aadd41ee20f26b0c0cb75107d0b4172c52baeac/README.md,https://github.com/google/dfdewey/blob/7aadd41ee20f26b0c0cb75107d0b4172c52baeac/MANIFEST.in#L2
