code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,rev_34,rev_35,rev_36,rev_37,rev_38,rev_39,rev_40,rev_41,rev_42,rev_43,rev_44,rev_45,rev_46,rev_47,rev_48,rev_49,rev_50,rev_51,rev_52,rev_53,rev_54,rev_55,rev_56,rev_57,doc_link,source_link
@property,repo,README.md,-,-,19,19,19,19,19,19,21,21,35,35,35,35,35,35,35,35,35,37,41,41,41,41,39,39,39,39,39,39,39,39,39,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/dotty/blob/ce9764363b0ff4659b683d9151ca3c8e594326b7/README.md,https://github.com/google/dotty/blob/07caf1d6a21404bfe18876093a9054be1475e191/efilter/scope.py#L45
ANY,repo,README.md,-,-,32,33,33,33,33,33,52,55,76,76,78,75,77,77,79,79,79,79,84,91,93,93,88,88,97,97,97,97,97,97,97,98,98,100,100,100,111,113,113,113,107,107,107,107,107,109,110,110,110,110,110,110,110,110,110,https://github.com/google/dotty/blob/ce9764363b0ff4659b683d9151ca3c8e594326b7/README.md,https://github.com/google/dotty/blob/b145131499be0c4b755fc2e2ac19be11a50bce6a/sample_projects/tagging/tag_test.py#L13
AS,repo,README.md,-,-,32,33,33,33,33,33,52,55,68,68,70,67,69,69,71,71,71,71,76,77,79,79,74,75,97,97,97,97,97,97,97,101,101,103,103,103,112,114,114,114,108,108,108,108,108,112,113,114,114,114,114,114,114,114,114,https://github.com/google/dotty/blob/ce9764363b0ff4659b683d9151ca3c8e594326b7/README.md,https://github.com/google/dotty/blob/b145131499be0c4b755fc2e2ac19be11a50bce6a/sample_projects/tagging/tag_test.py#L12
BASIS,repo,README.md,-,-,32,33,33,33,33,33,52,55,61,61,63,60,62,62,64,64,64,64,69,70,72,72,67,67,76,76,76,76,76,76,76,77,77,79,79,79,90,92,92,92,86,86,86,86,86,88,89,89,89,89,89,89,89,89,89,https://github.com/google/dotty/blob/ce9764363b0ff4659b683d9151ca3c8e594326b7/README.md,https://github.com/google/dotty/blob/b145131499be0c4b755fc2e2ac19be11a50bce6a/sample_projects/tagging/tag_test.py#L12
BY,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,19,19,19,19,19,19,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,https://github.com/google/dotty/blob/ce9764363b0ff4659b683d9151ca3c8e594326b7/README.md,https://github.com/google/dotty/blob/b145131499be0c4b755fc2e2ac19be11a50bce6a/sample_data/hygdata_v3.csv#L1496
CONDITIONS,repo,README.md,-,-,32,33,33,33,33,33,52,55,61,61,63,60,62,62,64,64,64,64,69,70,72,72,67,67,76,76,76,76,76,76,76,77,77,81,81,81,92,94,94,94,88,88,88,88,88,90,91,91,91,91,91,91,91,91,91,https://github.com/google/dotty/blob/ce9764363b0ff4659b683d9151ca3c8e594326b7/README.md,https://github.com/google/dotty/blob/b145131499be0c4b755fc2e2ac19be11a50bce6a/sample_projects/tagging/tag_test.py#L13
CSV,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10,10,10,10,10,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,https://github.com/google/dotty/blob/ce9764363b0ff4659b683d9151ca3c8e594326b7/README.md,https://github.com/google/dotty/blob/b145131499be0c4b755fc2e2ac19be11a50bce6a/sample_projects/star_catalog/star_catalog.py#L20
EFILTER,repo,README.md,-,-,79,81,81,84,84,90,135,141,155,155,159,150,154,155,159,159,159,159,170,172,175,175,157,157,176,176,176,176,176,176,176,188,188,194,194,194,221,229,227,227,217,217,219,219,220,224,226,227,227,227,227,227,227,231,231,https://github.com/google/dotty/blob/ce9764363b0ff4659b683d9151ca3c8e594326b7/README.md,https://github.com/google/dotty/blob/b145131499be0c4b755fc2e2ac19be11a50bce6a/setup.py#L26
FROM,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,38,38,38,38,38,36,36,36,36,36,44,44,44,44,45,45,45,45,45,45,45,45,45,45,https://github.com/google/dotty/blob/ce9764363b0ff4659b683d9151ca3c8e594326b7/README.md,https://github.com/google/dotty/blob/b145131499be0c4b755fc2e2ac19be11a50bce6a/sample_projects/star_catalog/star_catalog.py#L67
IO,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,14,14,14,14,14,14,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,https://github.com/google/dotty/blob/ce9764363b0ff4659b683d9151ca3c8e594326b7/README.md,https://github.com/google/dotty/blob/b145131499be0c4b755fc2e2ac19be11a50bce6a/sample_data/hygdata_v3.csv#L29384
IS,repo,README.md,-,-,32,33,33,33,33,33,52,55,61,61,63,60,62,62,64,64,64,64,69,70,72,72,67,67,85,85,85,85,85,85,85,86,86,88,88,88,99,101,101,101,95,95,95,95,95,97,98,98,98,98,98,98,98,98,98,https://github.com/google/dotty/blob/ce9764363b0ff4659b683d9151ca3c8e594326b7/README.md,https://github.com/google/dotty/blob/b145131499be0c4b755fc2e2ac19be11a50bce6a/sample_projects/tagging/tag_test.py#L12
KIND,repo,README.md,-,-,32,33,33,33,33,33,52,55,61,61,63,60,62,62,64,64,64,64,69,70,72,72,67,67,76,76,76,76,76,76,76,77,77,79,79,79,90,92,92,92,86,86,86,86,86,88,89,89,89,89,89,89,89,89,89,https://github.com/google/dotty/blob/ce9764363b0ff4659b683d9151ca3c8e594326b7/README.md,https://github.com/google/dotty/blob/b145131499be0c4b755fc2e2ac19be11a50bce6a/sample_projects/tagging/tag_test.py#L13
LICENSE,repo,README.md,-,-,32,33,33,33,33,33,52,55,61,61,63,60,62,62,64,64,64,64,69,70,72,72,67,67,76,76,76,76,76,76,76,77,77,82,82,82,93,95,95,95,89,89,89,89,89,91,92,92,92,92,92,92,92,92,92,https://github.com/google/dotty/blob/ce9764363b0ff4659b683d9151ca3c8e594326b7/README.md,https://github.com/google/dotty/blob/b145131499be0c4b755fc2e2ac19be11a50bce6a/setup.cfg#L5
OF,repo,README.md,-,-,32,33,33,33,33,33,52,55,61,61,63,60,62,62,64,64,64,64,69,70,72,72,67,67,76,76,76,76,76,76,76,77,77,80,80,80,91,93,93,93,87,87,87,87,87,89,90,90,90,90,90,90,90,90,90,https://github.com/google/dotty/blob/ce9764363b0ff4659b683d9151ca3c8e594326b7/README.md,https://github.com/google/dotty/blob/b145131499be0c4b755fc2e2ac19be11a50bce6a/sample_projects/tagging/tag_test.py#L13
OR,repo,README.md,-,-,35,36,36,36,36,36,56,59,66,66,68,65,67,67,69,69,69,69,74,76,78,78,72,72,90,90,90,90,90,90,90,91,91,93,93,93,108,110,110,110,104,104,104,104,104,106,107,107,107,107,107,107,107,107,107,https://github.com/google/dotty/blob/ce9764363b0ff4659b683d9151ca3c8e594326b7/README.md,https://github.com/google/dotty/blob/b145131499be0c4b755fc2e2ac19be11a50bce6a/sample_projects/tagging/tag_test.py#L13
ORDER,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,https://github.com/google/dotty/blob/ce9764363b0ff4659b683d9151ca3c8e594326b7/README.md,https://github.com/google/dotty/blob/b145131499be0c4b755fc2e2ac19be11a50bce6a/efilter_tests/unit/parsers/dottysql/parser.py#L450
SELECT,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,48,48,48,48,48,46,46,46,46,46,55,55,55,55,58,58,60,60,60,60,60,60,60,60,https://github.com/google/dotty/blob/ce9764363b0ff4659b683d9151ca3c8e594326b7/README.md,https://github.com/google/dotty/blob/b145131499be0c4b755fc2e2ac19be11a50bce6a/sample_projects/star_catalog/star_catalog.py#L61
SQL,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10,10,10,10,10,12,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,14,14,14,https://github.com/google/dotty/blob/ce9764363b0ff4659b683d9151ca3c8e594326b7/README.md,https://github.com/google/dotty/blob/b145131499be0c4b755fc2e2ac19be11a50bce6a/sample_projects/star_catalog/star_catalog.py#L64
WARRANTIES,repo,README.md,-,-,32,33,33,33,33,33,52,55,61,61,63,60,62,62,64,64,64,64,69,70,72,72,67,67,76,76,76,76,76,76,76,77,77,79,79,79,90,92,92,92,86,86,86,86,86,88,89,89,89,89,89,89,89,89,89,https://github.com/google/dotty/blob/ce9764363b0ff4659b683d9151ca3c8e594326b7/README.md,https://github.com/google/dotty/blob/b145131499be0c4b755fc2e2ac19be11a50bce6a/sample_projects/tagging/tag_test.py#L13
WHERE,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,24,24,24,24,24,22,22,22,22,22,27,27,27,27,27,27,27,27,27,27,27,27,27,27,https://github.com/google/dotty/blob/ce9764363b0ff4659b683d9151ca3c8e594326b7/README.md,https://github.com/google/dotty/blob/b145131499be0c4b755fc2e2ac19be11a50bce6a/sample_projects/star_catalog/star_catalog.py#L68
WITHOUT,repo,README.md,-,-,32,33,33,33,33,33,52,55,61,61,63,60,62,62,64,64,64,64,69,70,72,72,67,67,76,76,76,76,76,76,76,77,77,79,79,79,91,93,93,93,87,87,87,87,87,89,90,90,90,90,90,90,90,90,90,https://github.com/google/dotty/blob/ce9764363b0ff4659b683d9151ca3c8e594326b7/README.md,https://github.com/google/dotty/blob/b145131499be0c4b755fc2e2ac19be11a50bce6a/sample_projects/tagging/tag_test.py#L13
allow_io,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,https://github.com/google/dotty/blob/ce9764363b0ff4659b683d9151ca3c8e594326b7/README.md,https://github.com/google/dotty/blob/b145131499be0c4b755fc2e2ac19be11a50bce6a/sample_projects/star_catalog/star_catalog.py#L95
