code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,doc_link,source_link
--prod,repo,README.md,1,1,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/dynamic-form/blob/bde369358c85e4a385c0ee49c431dbc25e81c39b/README.md,https://github.com/google/dynamic-form/blob/ce5ae26e3ab51bd54cbeab7438a1a3169131378d/src/environments/environment.ts#L2
CLI,repo,README.md,2,2,2,3,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/dynamic-form/blob/bde369358c85e4a385c0ee49c431dbc25e81c39b/README.md,https://github.com/google/dynamic-form/blob/ce5ae26e3ab51bd54cbeab7438a1a3169131378d/test/polyfills.ts#L74
DynamicForm,repo,README.md,1,1,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/dynamic-form/blob/bde369358c85e4a385c0ee49c431dbc25e81c39b/README.md,https://github.com/google/dynamic-form/blob/ce5ae26e3ab51bd54cbeab7438a1a3169131378d/src/demo-app/index.html#L5
GitHub,repo,README.md,-,-,-,-,-,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/dynamic-form/blob/bde369358c85e4a385c0ee49c431dbc25e81c39b/README.md,https://github.com/google/dynamic-form/blob/38f06e0fc556443d52d4dc960e6fdb7f51f2ad89/CONTRIBUTING.md#L21
README,repo,README.md,0,1,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/dynamic-form/blob/bde369358c85e4a385c0ee49c431dbc25e81c39b/README.md,https://github.com/google/dynamic-form/blob/226d84013d6707dafda2d4073c66dadce191f7e9/src/lib/build-tools/release-composer.js#L32
build:lib,repo,README.md,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/dynamic-form/blob/bde369358c85e4a385c0ee49c431dbc25e81c39b/README.md,https://github.com/google/dynamic-form/blob/38f06e0fc556443d52d4dc960e6fdb7f51f2ad89/package.json#L11
dist/,repo,README.md,0,1,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/dynamic-form/blob/bde369358c85e4a385c0ee49c431dbc25e81c39b/README.md,https://github.com/google/dynamic-form/blob/ce5ae26e3ab51bd54cbeab7438a1a3169131378d/.gitignore#L6
http://localhost:4200/,repo,README.md,1,1,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/dynamic-form/blob/bde369358c85e4a385c0ee49c431dbc25e81c39b/README.md,https://github.com/google/dynamic-form/blob/ce5ae26e3ab51bd54cbeab7438a1a3169131378d/e2e/protractor.conf.js#L15
@NgModule,wiki,get-started.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,5,5,5,5,5,5,5,5,https://github.com/google/dynamic-form/wiki/get-started/6485d0dbde3d16b03cb93f32ed3d59f83b01c7aa,https://github.com/google/dynamic-form/blob/38f06e0fc556443d52d4dc960e6fdb7f51f2ad89/src/lib/src/dynamic_form_module.ts#L44
BOOLEAN,wiki,get-started.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,11,11,11,11,11,11,11,11,https://github.com/google/dynamic-form/wiki/get-started/6485d0dbde3d16b03cb93f32ed3d59f83b01c7aa,https://github.com/google/dynamic-form/blob/38f06e0fc556443d52d4dc960e6fdb7f51f2ad89/test/showhide_context.spec.ts#L79
DynamicFormModule,wiki,get-started.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,47,47,47,47,47,47,47,47,https://github.com/google/dynamic-form/wiki/get-started/6485d0dbde3d16b03cb93f32ed3d59f83b01c7aa,https://github.com/google/dynamic-form/blob/38f06e0fc556443d52d4dc960e6fdb7f51f2ad89/test/showhide_context.spec.ts#L23
STRING,wiki,get-started.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,100,100,100,100,100,100,100,100,https://github.com/google/dynamic-form/wiki/get-started/6485d0dbde3d16b03cb93f32ed3d59f83b01c7aa,https://github.com/google/dynamic-form/blob/38f06e0fc556443d52d4dc960e6fdb7f51f2ad89/test/showhide_context.spec.ts#L65
