code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,doc_link,source_link
ANY,repo,README.md,.,-,53,53,53,53,53,53,53,https://github.com/google/etc2comp/blob/39422c1aa2f4889d636db5790af1d0be6ff3a226/README.md,https://github.com/google/etc2comp/blob/39422c1aa2f4889d636db5790af1d0be6ff3a226/LICENSE#L147
AS,repo,README.md,.,-,53,53,53,53,53,53,53,https://github.com/google/etc2comp/blob/39422c1aa2f4889d636db5790af1d0be6ff3a226/README.md,https://github.com/google/etc2comp/blob/39422c1aa2f4889d636db5790af1d0be6ff3a226/LICENSE#L146
BASIS,repo,README.md,.,-,53,53,53,53,53,53,53,https://github.com/google/etc2comp/blob/39422c1aa2f4889d636db5790af1d0be6ff3a226/README.md,https://github.com/google/etc2comp/blob/39422c1aa2f4889d636db5790af1d0be6ff3a226/LICENSE#L146
CONDITIONS,repo,README.md,.,-,55,55,55,55,55,55,55,https://github.com/google/etc2comp/blob/39422c1aa2f4889d636db5790af1d0be6ff3a226/README.md,https://github.com/google/etc2comp/blob/39422c1aa2f4889d636db5790af1d0be6ff3a226/LICENSE#L6
Encode(),repo,README.md,.,-,2,2,2,2,2,2,2,https://github.com/google/etc2comp/blob/39422c1aa2f4889d636db5790af1d0be6ff3a226/README.md,https://github.com/google/etc2comp/blob/39422c1aa2f4889d636db5790af1d0be6ff3a226/EtcLib/Etc/EtcImage.cpp#L78
EncodingStatus,repo,README.md,.,-,29,29,29,29,29,29,29,https://github.com/google/etc2comp/blob/39422c1aa2f4889d636db5790af1d0be6ff3a226/README.md,https://github.com/google/etc2comp/blob/39422c1aa2f4889d636db5790af1d0be6ff3a226/EtcTool/EtcTool.cpp#L262
Etc2Comp,repo,README.md,.,3,54,54,54,54,54,54,54,https://github.com/google/etc2comp/blob/39422c1aa2f4889d636db5790af1d0be6ff3a226/README.md,https://github.com/google/etc2comp/blob/39422c1aa2f4889d636db5790af1d0be6ff3a226/EtcTool/EtcTool.h#L2
EtcTest,repo,README.md,.,-,1,1,1,1,1,1,1,https://github.com/google/etc2comp/blob/39422c1aa2f4889d636db5790af1d0be6ff3a226/README.md,https://github.com/google/etc2comp/blob/39422c1aa2f4889d636db5790af1d0be6ff3a226/CMakeLists.txt#L16
EtcTool,repo,README.md,.,-,7,7,7,7,7,7,7,https://github.com/google/etc2comp/blob/39422c1aa2f4889d636db5790af1d0be6ff3a226/README.md,https://github.com/google/etc2comp/blob/39422c1aa2f4889d636db5790af1d0be6ff3a226/EtcTool/EtcTool.cpp#L35
IS,repo,README.md,.,-,53,53,53,53,53,53,53,https://github.com/google/etc2comp/blob/39422c1aa2f4889d636db5790af1d0be6ff3a226/README.md,https://github.com/google/etc2comp/blob/39422c1aa2f4889d636db5790af1d0be6ff3a226/LICENSE#L146
KIND,repo,README.md,.,-,53,53,53,53,53,53,53,https://github.com/google/etc2comp/blob/39422c1aa2f4889d636db5790af1d0be6ff3a226/README.md,https://github.com/google/etc2comp/blob/39422c1aa2f4889d636db5790af1d0be6ff3a226/LICENSE#L147
LICENSE,repo,README.md,.,-,54,54,54,54,54,54,54,https://github.com/google/etc2comp/blob/39422c1aa2f4889d636db5790af1d0be6ff3a226/README.md,https://github.com/google/etc2comp/blob/39422c1aa2f4889d636db5790af1d0be6ff3a226/LICENSE#L196
NOTE,repo,README.md,.,-,-,-,7,7,7,7,7,https://github.com/google/etc2comp/blob/39422c1aa2f4889d636db5790af1d0be6ff3a226/README.md,https://github.com/google/etc2comp/blob/39422c1aa2f4889d636db5790af1d0be6ff3a226/third_party/lodepng/lodepng.h#L181
OF,repo,README.md,.,-,54,54,54,54,54,54,54,https://github.com/google/etc2comp/blob/39422c1aa2f4889d636db5790af1d0be6ff3a226/README.md,https://github.com/google/etc2comp/blob/39422c1aa2f4889d636db5790af1d0be6ff3a226/LICENSE#L147
OR,repo,README.md,.,-,53,53,53,53,53,53,53,https://github.com/google/etc2comp/blob/39422c1aa2f4889d636db5790af1d0be6ff3a226/README.md,https://github.com/google/etc2comp/blob/39422c1aa2f4889d636db5790af1d0be6ff3a226/LICENSE#L147
PSNR,repo,README.md,.,-,12,12,12,12,12,12,12,https://github.com/google/etc2comp/blob/39422c1aa2f4889d636db5790af1d0be6ff3a226/README.md,https://github.com/google/etc2comp/blob/39422c1aa2f4889d636db5790af1d0be6ff3a226/EtcTool/EtcComparison.cpp#L352
RGB,repo,README.md,.,-,37,37,37,37,37,37,37,https://github.com/google/etc2comp/blob/39422c1aa2f4889d636db5790af1d0be6ff3a226/README.md,https://github.com/google/etc2comp/blob/39422c1aa2f4889d636db5790af1d0be6ff3a226/third_party/lodepng/lodepng.h#L94
RGB8A1,repo,README.md,.,-,30,30,30,30,30,30,30,https://github.com/google/etc2comp/blob/39422c1aa2f4889d636db5790af1d0be6ff3a226/README.md,https://github.com/google/etc2comp/blob/39422c1aa2f4889d636db5790af1d0be6ff3a226/EtcTool/EtcTool.cpp#L575
RGBA,repo,README.md,.,-,33,33,33,33,33,33,33,https://github.com/google/etc2comp/blob/39422c1aa2f4889d636db5790af1d0be6ff3a226/README.md,https://github.com/google/etc2comp/blob/39422c1aa2f4889d636db5790af1d0be6ff3a226/third_party/lodepng/lodepng.h#L120
SRGB8A1,repo,README.md,.,-,13,13,13,13,13,13,13,https://github.com/google/etc2comp/blob/39422c1aa2f4889d636db5790af1d0be6ff3a226/README.md,https://github.com/google/etc2comp/blob/39422c1aa2f4889d636db5790af1d0be6ff3a226/EtcTool/EtcTool.cpp#L579
VS,repo,README.md,.,-,-,-,2,2,2,2,2,https://github.com/google/etc2comp/blob/39422c1aa2f4889d636db5790af1d0be6ff3a226/README.md,https://github.com/google/etc2comp/blob/39422c1aa2f4889d636db5790af1d0be6ff3a226/third_party/lodepng/lodepng.h#L1496
WARRANTIES,repo,README.md,.,-,53,53,53,53,53,53,53,https://github.com/google/etc2comp/blob/39422c1aa2f4889d636db5790af1d0be6ff3a226/README.md,https://github.com/google/etc2comp/blob/39422c1aa2f4889d636db5790af1d0be6ff3a226/LICENSE#L147
WITHOUT,repo,README.md,.,-,53,53,53,53,53,53,53,https://github.com/google/etc2comp/blob/39422c1aa2f4889d636db5790af1d0be6ff3a226/README.md,https://github.com/google/etc2comp/blob/39422c1aa2f4889d636db5790af1d0be6ff3a226/LICENSE#L147
analysis_folder,repo,README.md,.,-,1,1,1,1,1,1,1,https://github.com/google/etc2comp/blob/39422c1aa2f4889d636db5790af1d0be6ff3a226/README.md,https://github.com/google/etc2comp/blob/39422c1aa2f4889d636db5790af1d0be6ff3a226/EtcTool/EtcTool.cpp#L790
arg_file,repo,README.md,.,-,1,1,1,1,1,1,1,https://github.com/google/etc2comp/blob/39422c1aa2f4889d636db5790af1d0be6ff3a226/README.md,https://github.com/google/etc2comp/blob/39422c1aa2f4889d636db5790af1d0be6ff3a226/EtcTool/EtcTool.cpp#L791
blockAtHV,repo,README.md,.,-,4,4,4,4,4,4,4,https://github.com/google/etc2comp/blob/39422c1aa2f4889d636db5790af1d0be6ff3a226/README.md,https://github.com/google/etc2comp/blob/39422c1aa2f4889d636db5790af1d0be6ff3a226/EtcTool/EtcTool.cpp#L424
comparison_image,repo,README.md,.,-,2,2,2,2,2,2,2,https://github.com/google/etc2comp/blob/39422c1aa2f4889d636db5790af1d0be6ff3a226/README.md,https://github.com/google/etc2comp/blob/39422c1aa2f4889d636db5790af1d0be6ff3a226/EtcTool/EtcTool.cpp#L794
encoded_image,repo,README.md,.,-,2,2,2,2,2,2,2,https://github.com/google/etc2comp/blob/39422c1aa2f4889d636db5790af1d0be6ff3a226/README.md,https://github.com/google/etc2comp/blob/39422c1aa2f4889d636db5790af1d0be6ff3a226/EtcTool/EtcTool.cpp#L637
