code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,doc_link,source_link
ANY,repo,README.md,.,.,12,12,15,15,15,15,15,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,14,14,14,14,https://github.com/google/floodlight-audit/blob/5c448ef18b03cb3ddfdd6650c1eb9b5197f76a04/README.md,https://github.com/google/floodlight-audit/blob/f04b9c0f25a57314c55471b32dfea9e840803719/main.html#L12
AS,repo,README.md,.,.,12,12,15,15,15,15,15,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,14,14,14,14,https://github.com/google/floodlight-audit/blob/5c448ef18b03cb3ddfdd6650c1eb9b5197f76a04/README.md,https://github.com/google/floodlight-audit/blob/f04b9c0f25a57314c55471b32dfea9e840803719/main.html#L11
BASIS,repo,README.md,.,.,12,12,15,15,15,15,15,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,14,14,14,14,https://github.com/google/floodlight-audit/blob/5c448ef18b03cb3ddfdd6650c1eb9b5197f76a04/README.md,https://github.com/google/floodlight-audit/blob/f04b9c0f25a57314c55471b32dfea9e840803719/main.html#L11
CM,repo,README.md,.,.,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,1,1,1,-,-,-,-,-,-,-,https://github.com/google/floodlight-audit/blob/5c448ef18b03cb3ddfdd6650c1eb9b5197f76a04/README.md,https://github.com/google/floodlight-audit/blob/72b5f636ea095d64b9c7949ebc94f8c179c0f4aa/background.html#L65
CONDITIONS,repo,README.md,.,.,12,12,17,17,17,17,17,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,16,16,16,16,https://github.com/google/floodlight-audit/blob/5c448ef18b03cb3ddfdd6650c1eb9b5197f76a04/README.md,https://github.com/google/floodlight-audit/blob/f04b9c0f25a57314c55471b32dfea9e840803719/main.html#L12
CSV,repo,README.md,.,.,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,https://github.com/google/floodlight-audit/blob/5c448ef18b03cb3ddfdd6650c1eb9b5197f76a04/README.md,https://github.com/google/floodlight-audit/blob/5e0092d267946689bd4fa06993b458294586bcdb/floodlight_audit.js#L326
GST,repo,README.md,.,.,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://github.com/google/floodlight-audit/blob/5c448ef18b03cb3ddfdd6650c1eb9b5197f76a04/README.md,https://github.com/google/floodlight-audit/blob/5bf5b7e6da1adc23b77bab2e22a9d97278734661/globalSiteTagVerification.js#L145
ID,repo,README.md,.,.,17,17,17,17,17,17,17,15,15,15,15,15,15,15,15,15,15,15,15,15,-,15,15,15,15,15,15,https://github.com/google/floodlight-audit/blob/5c448ef18b03cb3ddfdd6650c1eb9b5197f76a04/README.md,https://github.com/google/floodlight-audit/blob/f04b9c0f25a57314c55471b32dfea9e840803719/third_party/jquery.js#L2
IS,repo,README.md,.,.,12,12,15,15,15,15,15,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,14,14,14,14,https://github.com/google/floodlight-audit/blob/5c448ef18b03cb3ddfdd6650c1eb9b5197f76a04/README.md,https://github.com/google/floodlight-audit/blob/f04b9c0f25a57314c55471b32dfea9e840803719/main.html#L11
KIND,repo,README.md,.,.,12,12,15,15,15,15,15,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,14,14,14,14,https://github.com/google/floodlight-audit/blob/5c448ef18b03cb3ddfdd6650c1eb9b5197f76a04/README.md,https://github.com/google/floodlight-audit/blob/f04b9c0f25a57314c55471b32dfea9e840803719/main.html#L12
LICENSE,repo,README.md,.,.,12,12,15,15,15,15,15,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,15,15,15,15,https://github.com/google/floodlight-audit/blob/5c448ef18b03cb3ddfdd6650c1eb9b5197f76a04/README.md,https://github.com/google/floodlight-audit/blob/f04b9c0f25a57314c55471b32dfea9e840803719/third_party/bootstrap.min.css#L4
LLC,repo,README.md,.,.,-,-,12,12,12,12,12,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,https://github.com/google/floodlight-audit/blob/5c448ef18b03cb3ddfdd6650c1eb9b5197f76a04/README.md,https://github.com/google/floodlight-audit/blob/f04b9c0f25a57314c55471b32dfea9e840803719/main.html#L2
OF,repo,README.md,.,.,12,12,16,16,16,16,16,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,15,15,15,15,https://github.com/google/floodlight-audit/blob/5c448ef18b03cb3ddfdd6650c1eb9b5197f76a04/README.md,https://github.com/google/floodlight-audit/blob/f04b9c0f25a57314c55471b32dfea9e840803719/main.html#L12
OGT,repo,README.md,.,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,https://github.com/google/floodlight-audit/blob/5c448ef18b03cb3ddfdd6650c1eb9b5197f76a04/README.md,https://github.com/google/floodlight-audit/blob/f04b9c0f25a57314c55471b32dfea9e840803719/js/floodlightTracker.js#L367
OR,repo,README.md,.,.,12,12,15,15,15,15,15,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,14,14,14,14,https://github.com/google/floodlight-audit/blob/5c448ef18b03cb3ddfdd6650c1eb9b5197f76a04/README.md,https://github.com/google/floodlight-audit/blob/f04b9c0f25a57314c55471b32dfea9e840803719/main.html#L12
