code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,rev_34,rev_35,rev_36,rev_37,rev_38,rev_39,rev_40,rev_41,rev_42,rev_43,rev_44,rev_45,rev_46,rev_47,rev_48,rev_49,rev_50,rev_51,rev_52,rev_53,rev_54,rev_55,rev_56,rev_57,rev_58,rev_59,rev_60,rev_61,rev_62,rev_63,rev_64,rev_65,rev_66,rev_67,doc_link,source_link
ANY,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,56,2,64,65,65,65,65,77,78,85,85,85,87,87,87,87,87,87,87,87,87,87,87,87,87,87,https://github.com/google/gcm/blob/352dcc97eee238c3e33c1c07d307a61e60d7144e/README.md,https://github.com/google/gcm/blob/9198287d4cb62687a4dada1f5c632fc071cb3c7f/samples/android/gcm-demo/src/main/res/values/themes.xml#L13
API,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-,-,21,21,21,21,21,24,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/gcm/blob/352dcc97eee238c3e33c1c07d307a61e60d7144e/README.md,https://github.com/google/gcm/blob/882e28a4d05291a880a83baaeb2f8283e6482f67/samples/android/gcm-demo/src/main/res/values/strings.xml#L49
AS,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,56,2,64,65,65,65,65,77,78,85,85,85,87,87,87,87,87,87,87,87,87,87,87,87,87,87,https://github.com/google/gcm/blob/352dcc97eee238c3e33c1c07d307a61e60d7144e/README.md,https://github.com/google/gcm/blob/9198287d4cb62687a4dada1f5c632fc071cb3c7f/samples/android/gcm-demo/src/main/res/values/themes.xml#L12
ASF,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/gcm/blob/352dcc97eee238c3e33c1c07d307a61e60d7144e/README.md,https://github.com/google/gcm/blob/9198287d4cb62687a4dada1f5c632fc071cb3c7f/samples/android/gcm-demo/README.md#L49
BASIS,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,56,2,64,65,65,65,65,77,78,85,85,85,87,87,87,87,87,87,87,87,87,87,87,87,87,87,https://github.com/google/gcm/blob/352dcc97eee238c3e33c1c07d307a61e60d7144e/README.md,https://github.com/google/gcm/blob/9198287d4cb62687a4dada1f5c632fc071cb3c7f/samples/android/gcm-demo/src/main/res/values/themes.xml#L12
CONDITIONS,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,58,4,66,67,67,67,67,79,80,87,87,87,89,89,89,89,89,89,89,89,89,89,89,89,89,89,https://github.com/google/gcm/blob/352dcc97eee238c3e33c1c07d307a61e60d7144e/README.md,https://github.com/google/gcm/blob/9198287d4cb62687a4dada1f5c632fc071cb3c7f/samples/android/gcm-demo/src/main/res/values/themes.xml#L13
GCM,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,114,0,29,29,29,29,29,62,67,72,72,72,67,67,70,70,70,70,70,70,70,70,70,71,71,71,https://github.com/google/gcm/blob/352dcc97eee238c3e33c1c07d307a61e60d7144e/README.md,https://github.com/google/gcm/blob/9198287d4cb62687a4dada1f5c632fc071cb3c7f/samples/android/gcm-demo/src/main/res/values/strings.xml#L18
ID,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-,-,-,-,-,-,15,15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/gcm/blob/352dcc97eee238c3e33c1c07d307a61e60d7144e/README.md,https://github.com/google/gcm/blob/882e28a4d05291a880a83baaeb2f8283e6482f67/samples/android/gcm-demo/src/main/res/values/strings.xml#L45
IS,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,56,2,64,65,65,65,65,77,78,85,85,85,87,87,87,87,87,87,87,87,87,87,87,87,87,87,https://github.com/google/gcm/blob/352dcc97eee238c3e33c1c07d307a61e60d7144e/README.md,https://github.com/google/gcm/blob/9198287d4cb62687a4dada1f5c632fc071cb3c7f/samples/android/gcm-demo/src/main/res/values/themes.xml#L12
KIND,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,56,2,64,65,65,65,65,77,78,85,85,85,87,87,87,87,87,87,87,87,87,87,87,87,87,87,https://github.com/google/gcm/blob/352dcc97eee238c3e33c1c07d307a61e60d7144e/README.md,https://github.com/google/gcm/blob/9198287d4cb62687a4dada1f5c632fc071cb3c7f/samples/android/gcm-demo/src/main/res/values/themes.xml#L13
