code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,rev_34,rev_35,rev_36,rev_37,rev_38,rev_39,rev_40,rev_41,rev_42,rev_43,rev_44,rev_45,rev_46,rev_47,rev_48,rev_49,doc_link,source_link
AMP,repo,README.md,12,12,12,11,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,12,12,12,12,12,12,12,12,12,12,15,15,15,15,15,15,19,19,23,25,27,27,20,14,14,14,2,2,2,https://github.com/google/github-owners-bot/blob/13e6eb94263bff8070b7eba2e1474799ba4e8c79/README.md,https://github.com/google/github-owners-bot/blob/13e6eb94263bff8070b7eba2e1474799ba4e8c79/test/fixtures/actions/rerequested.35.json#L16
ANY,repo,README.md,15,15,15,15,15,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,8,8,8,8,8,8,8,8,8,8,7,9,9,https://github.com/google/github-owners-bot/blob/13e6eb94263bff8070b7eba2e1474799ba4e8c79/README.md,https://github.com/google/github-owners-bot/blob/13e6eb94263bff8070b7eba2e1474799ba4e8c79/test/index.test.js#L12
APP_DIR,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,-,https://github.com/google/github-owners-bot/blob/13e6eb94263bff8070b7eba2e1474799ba4e8c79/README.md,https://github.com/google/github-owners-bot/blob/c0096d84b646da88eb839bf83f74e5e4392a2fd0/gce/startup-script.sh#L19
AS,repo,README.md,15,15,15,15,15,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,8,8,8,8,8,8,8,8,8,8,7,9,9,https://github.com/google/github-owners-bot/blob/13e6eb94263bff8070b7eba2e1474799ba4e8c79/README.md,https://github.com/google/github-owners-bot/blob/13e6eb94263bff8070b7eba2e1474799ba4e8c79/test/index.test.js#L11
BASIS,repo,README.md,15,15,15,15,15,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,8,8,8,8,8,8,8,8,8,8,7,9,9,https://github.com/google/github-owners-bot/blob/13e6eb94263bff8070b7eba2e1474799ba4e8c79/README.md,https://github.com/google/github-owners-bot/blob/13e6eb94263bff8070b7eba2e1474799ba4e8c79/test/index.test.js#L11
CLOUD_BUCKET,repo,README.md,5,5,5,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,3,3,3,3,3,3,3,3,3,3,3,3,-,https://github.com/google/github-owners-bot/blob/13e6eb94263bff8070b7eba2e1474799ba4e8c79/README.md,https://github.com/google/github-owners-bot/blob/c0096d84b646da88eb839bf83f74e5e4392a2fd0/gce/startup-script.sh#L23
CONDITIONS,repo,README.md,17,17,17,17,17,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,10,10,10,10,10,10,10,10,10,10,9,11,11,https://github.com/google/github-owners-bot/blob/13e6eb94263bff8070b7eba2e1474799ba4e8c79/README.md,https://github.com/google/github-owners-bot/blob/13e6eb94263bff8070b7eba2e1474799ba4e8c79/test/index.test.js#L12
GCE,repo,README.md,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,-,https://github.com/google/github-owners-bot/blob/13e6eb94263bff8070b7eba2e1474799ba4e8c79/README.md,https://github.com/google/github-owners-bot/blob/c0096d84b646da88eb839bf83f74e5e4392a2fd0/index.js#L24
GCLOUD_PROJECT,repo,README.md,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,1,1,1,1,1,1,1,1,1,1,1,1,-,https://github.com/google/github-owners-bot/blob/13e6eb94263bff8070b7eba2e1474799ba4e8c79/README.md,https://github.com/google/github-owners-bot/blob/c0096d84b646da88eb839bf83f74e5e4392a2fd0/gce/startup-script.sh#L75
GITHUB_ACCESS_TOKEN,repo,README.md,9,9,9,9,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,3,3,3,3,3,3,3,3,3,3,3,3,-,https://github.com/google/github-owners-bot/blob/13e6eb94263bff8070b7eba2e1474799ba4e8c79/README.md,https://github.com/google/github-owners-bot/blob/c0096d84b646da88eb839bf83f74e5e4392a2fd0/gce/startup-script.sh#L24
