code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,doc_link,source_link
"Date(2015, time.June, 1, 0, 0, 0, 0, tz)",repo,README.md,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/go-intervals/blob/a11cf0649984131026b4ef2e5a4bcdf0159e5107/README.md,https://github.com/google/go-intervals/blob/128ea6388501ef570072c42d94cdc093d7038f26/timespanset/doc_test.go#L37
"Date(2015, time.June, 15, 0, 0, 0, 0, tz)",repo,README.md,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/go-intervals/blob/a11cf0649984131026b4ef2e5a4bcdf0159e5107/README.md,https://github.com/google/go-intervals/blob/128ea6388501ef570072c42d94cdc093d7038f26/timespanset/doc_test.go#L42
"Date(2015, time.June, 22, 0, 0, 0, 0, tz)",repo,README.md,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/go-intervals/blob/a11cf0649984131026b4ef2e5a4bcdf0159e5107/README.md,https://github.com/google/go-intervals/blob/128ea6388501ef570072c42d94cdc093d7038f26/timespanset/doc_test.go#L46
"Date(2015, time.June, 8, 0, 0, 0, 0, tz)",repo,README.md,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/go-intervals/blob/a11cf0649984131026b4ef2e5a4bcdf0159e5107/README.md,https://github.com/google/go-intervals/blob/128ea6388501ef570072c42d94cdc093d7038f26/timespanset/doc_test.go#L38
"Insert(week1.start, week3.end)",repo,README.md,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/go-intervals/blob/a11cf0649984131026b4ef2e5a4bcdf0159e5107/README.md,https://github.com/google/go-intervals/blob/128ea6388501ef570072c42d94cdc093d7038f26/timespanset/doc_test.go#L52
"Insert(week2.start, week2.end)",repo,README.md,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/go-intervals/blob/a11cf0649984131026b4ef2e5a4bcdf0159e5107/README.md,https://github.com/google/go-intervals/blob/128ea6388501ef570072c42d94cdc093d7038f26/timespanset/timespanset_test.go#L70
"LoadLocation(""PST8PDT"")",repo,README.md,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/go-intervals/blob/a11cf0649984131026b4ef2e5a4bcdf0159e5107/README.md,https://github.com/google/go-intervals/blob/128ea6388501ef570072c42d94cdc093d7038f26/timespanset/timespanset_test.go#L33
O(log(n),repo,README.md,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/go-intervals/blob/a11cf0649984131026b4ef2e5a4bcdf0159e5107/README.md,https://github.com/google/go-intervals/blob/128ea6388501ef570072c42d94cdc093d7038f26/intervalset/intervalset.go#L196
O(n),repo,README.md,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/go-intervals/blob/a11cf0649984131026b4ef2e5a4bcdf0159e5107/README.md,https://github.com/google/go-intervals/blob/128ea6388501ef570072c42d94cdc093d7038f26/intervalset/intervalset.go#L197
"Printf(""Empty set: %s\n"", set)",repo,README.md,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/go-intervals/blob/a11cf0649984131026b4ef2e5a4bcdf0159e5107/README.md,https://github.com/google/go-intervals/blob/128ea6388501ef570072c42d94cdc093d7038f26/timespanset/doc_test.go#L50
"Printf(""Week 1-3 minus week 2: %s\n"", set)",repo,README.md,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/go-intervals/blob/a11cf0649984131026b4ef2e5a4bcdf0159e5107/README.md,https://github.com/google/go-intervals/blob/128ea6388501ef570072c42d94cdc093d7038f26/timespanset/doc_test.go#L58
"Printf(""Week 1-3: %s\n"", set)",repo,README.md,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/go-intervals/blob/a11cf0649984131026b4ef2e5a4bcdf0159e5107/README.md,https://github.com/google/go-intervals/blob/128ea6388501ef570072c42d94cdc093d7038f26/timespanset/doc_test.go#L53
Sub(set2),repo,README.md,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/go-intervals/blob/a11cf0649984131026b4ef2e5a4bcdf0159e5107/README.md,https://github.com/google/go-intervals/blob/128ea6388501ef570072c42d94cdc093d7038f26/timespanset/doc_test.go#L57
func(),repo,README.md,14,14,14,18,18,18,29,31,31,31,37,40,43,https://github.com/google/go-intervals/blob/a11cf0649984131026b4ef2e5a4bcdf0159e5107/README.md,https://github.com/google/go-intervals/blob/128ea6388501ef570072c42d94cdc093d7038f26/timespanset/timespanset_test.go#L138
"panic(fmt.Errorf(""timezone not available: %v"", err)",repo,README.md,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/go-intervals/blob/a11cf0649984131026b4ef2e5a4bcdf0159e5107/README.md,https://github.com/google/go-intervals/blob/128ea6388501ef570072c42d94cdc093d7038f26/timespanset/timespanset_test.go#L35
timespanset.Empty(),repo,README.md,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/go-intervals/blob/a11cf0649984131026b4ef2e5a4bcdf0159e5107/README.md,https://github.com/google/go-intervals/blob/128ea6388501ef570072c42d94cdc093d7038f26/timespanset/doc_test.go#L49
