code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,rev_34,rev_35,rev_36,rev_37,rev_38,rev_39,rev_40,rev_41,rev_42,rev_43,rev_44,rev_45,rev_46,rev_47,rev_48,rev_49,rev_50,rev_51,rev_52,rev_53,rev_54,rev_55,rev_56,rev_57,rev_58,rev_59,rev_60,rev_61,rev_62,rev_63,doc_link,source_link
ASCII,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/gomemcache/blob/c1c93e4523ee6d2dcfa9d24ccc1aed748a84d36e/README.md,https://github.com/google/gomemcache/blob/d0b04728d8f885cb07a97eb44c39cdba90e717fc/memcache/memcache.go#L59
Add(item *Item),repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/gomemcache/blob/c1c93e4523ee6d2dcfa9d24ccc1aed748a84d36e/README.md,https://github.com/google/gomemcache/blob/d0b04728d8f885cb07a97eb44c39cdba90e717fc/memcache/memcache.go#L389
CompareAndSwap,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/gomemcache/blob/c1c93e4523ee6d2dcfa9d24ccc1aed748a84d36e/README.md,https://github.com/google/gomemcache/blob/d0b04728d8f885cb07a97eb44c39cdba90e717fc/memcache/memcache.go#L42
CompareAndSwap(item *Item),repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/gomemcache/blob/c1c93e4523ee6d2dcfa9d24ccc1aed748a84d36e/README.md,https://github.com/google/gomemcache/blob/d0b04728d8f885cb07a97eb44c39cdba90e717fc/memcache/memcache.go#L404
DefaultTimeoutNanos,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/gomemcache/blob/c1c93e4523ee6d2dcfa9d24ccc1aed748a84d36e/README.md,https://github.com/google/gomemcache/blob/d0b04728d8f885cb07a97eb44c39cdba90e717fc/memcache/memcache.go#L67
Delete(key string),repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/gomemcache/blob/c1c93e4523ee6d2dcfa9d24ccc1aed748a84d36e/README.md,https://github.com/google/gomemcache/blob/d0b04728d8f885cb07a97eb44c39cdba90e717fc/memcache/memcache.go#L480
DeleteLock,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/gomemcache/blob/c1c93e4523ee6d2dcfa9d24ccc1aed748a84d36e/README.md,https://github.com/google/gomemcache/blob/d0b04728d8f885cb07a97eb44c39cdba90e717fc/memcache/memcache.go#L481
"DeleteLock(key string, seconds int)",repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/gomemcache/blob/c1c93e4523ee6d2dcfa9d24ccc1aed748a84d36e/README.md,https://github.com/google/gomemcache/blob/d0b04728d8f885cb07a97eb44c39cdba90e717fc/memcache/memcache.go#L488
ErrCASConflict,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/gomemcache/blob/c1c93e4523ee6d2dcfa9d24ccc1aed748a84d36e/README.md,https://github.com/google/gomemcache/blob/d0b04728d8f885cb07a97eb44c39cdba90e717fc/memcache/memcache.go#L42
ErrCacheMiss,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/gomemcache/blob/c1c93e4523ee6d2dcfa9d24ccc1aed748a84d36e/README.md,https://github.com/google/gomemcache/blob/d0b04728d8f885cb07a97eb44c39cdba90e717fc/memcache/memcache_test.go#L104
ErrMalformedKey,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/gomemcache/blob/c1c93e4523ee6d2dcfa9d24ccc1aed748a84d36e/README.md,https://github.com/google/gomemcache/blob/d0b04728d8f885cb07a97eb44c39cdba90e717fc/memcache/memcache.go#L58
ErrNoServers,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/gomemcache/blob/c1c93e4523ee6d2dcfa9d24ccc1aed748a84d36e/README.md,https://github.com/google/gomemcache/blob/d0b04728d8f885cb07a97eb44c39cdba90e717fc/memcache/selector.go#L71
ErrNoStats,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/gomemcache/blob/c1c93e4523ee6d2dcfa9d24ccc1aed748a84d36e/README.md,https://github.com/google/gomemcache/blob/d0b04728d8f885cb07a97eb44c39cdba90e717fc/memcache/memcache.go#L55
ErrNotStored,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/gomemcache/blob/c1c93e4523ee6d2dcfa9d24ccc1aed748a84d36e/README.md,https://github.com/google/gomemcache/blob/d0b04728d8f885cb07a97eb44c39cdba90e717fc/memcache/memcache_test.go#L73
