code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,doc_link,source_link
/,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2015,2022,2022,2024,2024,2024,https://github.com/google/gps-measurement-tools/blob/ec02f8848401ff18f4bbf6e0e47c7d339a679e96/README.md,https://github.com/google/gps-measurement-tools/blob/063e2275e29de1f5476f2a9a9e0cb900a37d0b68/opensource/demoFiles/hour2350.16n#L1
ANY,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,82,82,82,82,82,82,https://github.com/google/gps-measurement-tools/blob/ec02f8848401ff18f4bbf6e0e47c7d339a679e96/README.md,https://github.com/google/gps-measurement-tools/blob/063e2275e29de1f5476f2a9a9e0cb900a37d0b68/opensource/Xyz2Lla.m#L79
APK,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,2,2,2,2,https://github.com/google/gps-measurement-tools/blob/ec02f8848401ff18f4bbf6e0e47c7d339a679e96/README.md,https://github.com/google/gps-measurement-tools/blob/063e2275e29de1f5476f2a9a9e0cb900a37d0b68/opensource/README.md#L88
AS,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,82,82,82,82,82,82,https://github.com/google/gps-measurement-tools/blob/ec02f8848401ff18f4bbf6e0e47c7d339a679e96/README.md,https://github.com/google/gps-measurement-tools/blob/063e2275e29de1f5476f2a9a9e0cb900a37d0b68/opensource/Xyz2Lla.m#L78
BASIS,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,82,82,82,82,82,82,https://github.com/google/gps-measurement-tools/blob/ec02f8848401ff18f4bbf6e0e47c7d339a679e96/README.md,https://github.com/google/gps-measurement-tools/blob/063e2275e29de1f5476f2a9a9e0cb900a37d0b68/opensource/Xyz2Lla.m#L78
CONDITIONS,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,86,86,86,86,86,86,https://github.com/google/gps-measurement-tools/blob/ec02f8848401ff18f4bbf6e0e47c7d339a679e96/README.md,https://github.com/google/gps-measurement-tools/blob/063e2275e29de1f5476f2a9a9e0cb900a37d0b68/opensource/Xyz2Lla.m#L79
CTS,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,https://github.com/google/gps-measurement-tools/blob/ec02f8848401ff18f4bbf6e0e47c7d339a679e96/README.md,https://github.com/google/gps-measurement-tools/blob/063e2275e29de1f5476f2a9a9e0cb900a37d0b68/opensource/README.md#L95
FTP,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,2,2,2,2,https://github.com/google/gps-measurement-tools/blob/ec02f8848401ff18f4bbf6e0e47c7d339a679e96/README.md,https://github.com/google/gps-measurement-tools/blob/063e2275e29de1f5476f2a9a9e0cb900a37d0b68/opensource/README.txt#L27
GNSS,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,47,52,52,52,52,52,https://github.com/google/gps-measurement-tools/blob/ec02f8848401ff18f4bbf6e0e47c7d339a679e96/README.md,https://github.com/google/gps-measurement-tools/blob/063e2275e29de1f5476f2a9a9e0cb900a37d0b68/opensource/Xyz2Lla.m#L12
GNSSLogger,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,4,4,4,4,4,https://github.com/google/gps-measurement-tools/blob/ec02f8848401ff18f4bbf6e0e47c7d339a679e96/README.md,https://github.com/google/gps-measurement-tools/blob/063e2275e29de1f5476f2a9a9e0cb900a37d0b68/opensource/README.md#L80
GPS,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,164,184,184,184,184,184,https://github.com/google/gps-measurement-tools/blob/ec02f8848401ff18f4bbf6e0e47c7d339a679e96/README.md,https://github.com/google/gps-measurement-tools/blob/063e2275e29de1f5476f2a9a9e0cb900a37d0b68/opensource/Xyz2Lla.m#L18
GetNasaHourlyEphemeris,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,25,25,25,25,25,25,https://github.com/google/gps-measurement-tools/blob/ec02f8848401ff18f4bbf6e0e47c7d339a679e96/README.md,https://github.com/google/gps-measurement-tools/blob/063e2275e29de1f5476f2a9a9e0cb900a37d0b68/opensource/README.txt#L24
GitHub,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,2,2,2,2,https://github.com/google/gps-measurement-tools/blob/ec02f8848401ff18f4bbf6e0e47c7d339a679e96/README.md,https://github.com/google/gps-measurement-tools/blob/063e2275e29de1f5476f2a9a9e0cb900a37d0b68/opensource/README.md#L12
GnssLogger,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16,16,16,16,16,16,https://github.com/google/gps-measurement-tools/blob/ec02f8848401ff18f4bbf6e0e47c7d339a679e96/README.md,https://github.com/google/gps-measurement-tools/blob/063e2275e29de1f5476f2a9a9e0cb900a37d0b68/opensource/ReadGnssLogger.m#L13
IS,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,94,94,94,94,94,94,https://github.com/google/gps-measurement-tools/blob/ec02f8848401ff18f4bbf6e0e47c7d339a679e96/README.md,https://github.com/google/gps-measurement-tools/blob/063e2275e29de1f5476f2a9a9e0cb900a37d0b68/opensource/Xyz2Lla.m#L78
KIND,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,82,82,82,82,82,82,https://github.com/google/gps-measurement-tools/blob/ec02f8848401ff18f4bbf6e0e47c7d339a679e96/README.md,https://github.com/google/gps-measurement-tools/blob/063e2275e29de1f5476f2a9a9e0cb900a37d0b68/opensource/Xyz2Lla.m#L79
LICENSE,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,82,82,82,82,82,82,https://github.com/google/gps-measurement-tools/blob/ec02f8848401ff18f4bbf6e0e47c7d339a679e96/README.md,https://github.com/google/gps-measurement-tools/blob/063e2275e29de1f5476f2a9a9e0cb900a37d0b68/opensource/Xyz2Lla.m#L75
