code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,doc_link,source_link
CLI,repo,README.md,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/har2csv/blob/8ca5f69bda7bc80721b0346d525c37d3514758a7/README.md,https://github.com/google/har2csv/blob/64005936a8060a72c56a179c8aa28b01be3b2227/package.json#L4
CSV,repo,README.md,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/har2csv/blob/8ca5f69bda7bc80721b0346d525c37d3514758a7/README.md,https://github.com/google/har2csv/blob/64005936a8060a72c56a179c8aa28b01be3b2227/package.json#L4
GET,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,https://github.com/google/har2csv/blob/8ca5f69bda7bc80721b0346d525c37d3514758a7/README.md,https://github.com/google/har2csv/blob/64005936a8060a72c56a179c8aa28b01be3b2227/index.js#L68
HAR,repo,README.md,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/har2csv/blob/8ca5f69bda7bc80721b0346d525c37d3514758a7/README.md,https://github.com/google/har2csv/blob/64005936a8060a72c56a179c8aa28b01be3b2227/package.json#L4
LICENSE,repo,README.md,2,3,4,4,4,4,4,4,3,3,3,3,3,3,3,3,https://github.com/google/har2csv/blob/8ca5f69bda7bc80721b0346d525c37d3514758a7/README.md,https://github.com/google/har2csv/blob/64005936a8060a72c56a179c8aa28b01be3b2227/index.js#L8
POST,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,https://github.com/google/har2csv/blob/8ca5f69bda7bc80721b0346d525c37d3514758a7/README.md,https://github.com/google/har2csv/blob/64005936a8060a72c56a179c8aa28b01be3b2227/index.js#L68
bodySize,repo,README.md,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,https://github.com/google/har2csv/blob/8ca5f69bda7bc80721b0346d525c37d3514758a7/README.md,https://github.com/google/har2csv/blob/64005936a8060a72c56a179c8aa28b01be3b2227/index.js#L72
httpVersion,repo,README.md,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,https://github.com/google/har2csv/blob/8ca5f69bda7bc80721b0346d525c37d3514758a7/README.md,https://github.com/google/har2csv/blob/64005936a8060a72c56a179c8aa28b01be3b2227/index.js#L70
pageRef,repo,README.md,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,https://github.com/google/har2csv/blob/8ca5f69bda7bc80721b0346d525c37d3514758a7/README.md,https://github.com/google/har2csv/blob/64005936a8060a72c56a179c8aa28b01be3b2227/index.js#L65
requestHeaderSize,repo,README.md,-,-,-,-,-,-,-,-,-,2,2,2,2,2,2,2,https://github.com/google/har2csv/blob/8ca5f69bda7bc80721b0346d525c37d3514758a7/README.md,https://github.com/google/har2csv/blob/64005936a8060a72c56a179c8aa28b01be3b2227/index.js#L71
requestHttpVersion,repo,README.md,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,https://github.com/google/har2csv/blob/8ca5f69bda7bc80721b0346d525c37d3514758a7/README.md,https://github.com/google/har2csv/blob/64005936a8060a72c56a179c8aa28b01be3b2227/index.js#L70
requestMethod,repo,README.md,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,https://github.com/google/har2csv/blob/8ca5f69bda7bc80721b0346d525c37d3514758a7/README.md,https://github.com/google/har2csv/blob/64005936a8060a72c56a179c8aa28b01be3b2227/index.js#L68
requestUrl,repo,README.md,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,https://github.com/google/har2csv/blob/8ca5f69bda7bc80721b0346d525c37d3514758a7/README.md,https://github.com/google/har2csv/blob/64005936a8060a72c56a179c8aa28b01be3b2227/index.js#L69
responseCacheControl,repo,README.md,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,https://github.com/google/har2csv/blob/8ca5f69bda7bc80721b0346d525c37d3514758a7/README.md,https://github.com/google/har2csv/blob/64005936a8060a72c56a179c8aa28b01be3b2227/index.js#L82
responseContentSize,repo,README.md,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,https://github.com/google/har2csv/blob/8ca5f69bda7bc80721b0346d525c37d3514758a7/README.md,https://github.com/google/har2csv/blob/64005936a8060a72c56a179c8aa28b01be3b2227/index.js#L77
responseContentType,repo,README.md,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,https://github.com/google/har2csv/blob/8ca5f69bda7bc80721b0346d525c37d3514758a7/README.md,https://github.com/google/har2csv/blob/64005936a8060a72c56a179c8aa28b01be3b2227/index.js#L80
responseStatus,repo,README.md,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,https://github.com/google/har2csv/blob/8ca5f69bda7bc80721b0346d525c37d3514758a7/README.md,https://github.com/google/har2csv/blob/64005936a8060a72c56a179c8aa28b01be3b2227/index.js#L75
startedDateTime,repo,README.md,-,-,-,-,-,-,-,-,-,2,2,2,2,2,2,2,https://github.com/google/har2csv/blob/8ca5f69bda7bc80721b0346d525c37d3514758a7/README.md,https://github.com/google/har2csv/blob/64005936a8060a72c56a179c8aa28b01be3b2227/index.js#L66
