code_element,page_type,page_name,rev_1,rev_2,doc_link,source_link
API,repo,README.md,6,6,https://github.com/google/hotel-ads-etl-tool/blob/e39ffd3534821506971ffb329e4b28c2d099b582/README.md,https://github.com/google/hotel-ads-etl-tool/blob/e39ffd3534821506971ffb329e4b28c2d099b582/hotel_ads_beam_utils/setup.py#L19
BigQuery,repo,README.md,4,4,https://github.com/google/hotel-ads-etl-tool/blob/e39ffd3534821506971ffb329e4b28c2d099b582/README.md,https://github.com/google/hotel-ads-etl-tool/blob/e39ffd3534821506971ffb329e4b28c2d099b582/scripts/template_metadata#L3
CONTENTS,repo,README.md,1,1,https://github.com/google/hotel-ads-etl-tool/blob/e39ffd3534821506971ffb329e4b28c2d099b582/README.md,https://github.com/google/hotel-ads-etl-tool/blob/e39ffd3534821506971ffb329e4b28c2d099b582/gae/main.py#L55
END,repo,README.md,2,2,https://github.com/google/hotel-ads-etl-tool/blob/e39ffd3534821506971ffb329e4b28c2d099b582/README.md,https://github.com/google/hotel-ads-etl-tool/blob/e39ffd3534821506971ffb329e4b28c2d099b582/gae/main.py#L57
ETL,repo,README.md,1,1,https://github.com/google/hotel-ads-etl-tool/blob/e39ffd3534821506971ffb329e4b28c2d099b582/README.md,https://github.com/google/hotel-ads-etl-tool/blob/e39ffd3534821506971ffb329e4b28c2d099b582/gae/main.py#L14
FILE,repo,README.md,1,1,https://github.com/google/hotel-ads-etl-tool/blob/e39ffd3534821506971ffb329e4b28c2d099b582/README.md,https://github.com/google/hotel-ads-etl-tool/blob/e39ffd3534821506971ffb329e4b28c2d099b582/gae/main.py#L55
GCP,repo,README.md,2,2,https://github.com/google/hotel-ads-etl-tool/blob/e39ffd3534821506971ffb329e4b28c2d099b582/README.md,https://github.com/google/hotel-ads-etl-tool/blob/e39ffd3534821506971ffb329e4b28c2d099b582/scripts/get_table_commands.py#L32
HERE,repo,README.md,1,1,https://github.com/google/hotel-ads-etl-tool/blob/e39ffd3534821506971ffb329e4b28c2d099b582/README.md,https://github.com/google/hotel-ads-etl-tool/blob/e39ffd3534821506971ffb329e4b28c2d099b582/gae/main.py#L55
HotelAdsDataTransfer,repo,README.md,2,2,https://github.com/google/hotel-ads-etl-tool/blob/e39ffd3534821506971ffb329e4b28c2d099b582/README.md,https://github.com/google/hotel-ads-etl-tool/blob/e39ffd3534821506971ffb329e4b28c2d099b582/scripts/template_metadata#L2
OF,repo,README.md,21,21,https://github.com/google/hotel-ads-etl-tool/blob/e39ffd3534821506971ffb329e4b28c2d099b582/README.md,https://github.com/google/hotel-ads-etl-tool/blob/e39ffd3534821506971ffb329e4b28c2d099b582/scripts/get_table_commands.sh#L12
PASTE,repo,README.md,2,2,https://github.com/google/hotel-ads-etl-tool/blob/e39ffd3534821506971ffb329e4b28c2d099b582/README.md,https://github.com/google/hotel-ads-etl-tool/blob/e39ffd3534821506971ffb329e4b28c2d099b582/gae/main.py#L55
SECTION,repo,README.md,1,1,https://github.com/google/hotel-ads-etl-tool/blob/e39ffd3534821506971ffb329e4b28c2d099b582/README.md,https://github.com/google/hotel-ads-etl-tool/blob/e39ffd3534821506971ffb329e4b28c2d099b582/gae/main.py#L57
THE,repo,README.md,2,2,https://github.com/google/hotel-ads-etl-tool/blob/e39ffd3534821506971ffb329e4b28c2d099b582/README.md,https://github.com/google/hotel-ads-etl-tool/blob/e39ffd3534821506971ffb329e4b28c2d099b582/gae/main.py#L55
TODO,repo,README.md,1,1,https://github.com/google/hotel-ads-etl-tool/blob/e39ffd3534821506971ffb329e4b28c2d099b582/README.md,https://github.com/google/hotel-ads-etl-tool/blob/e39ffd3534821506971ffb329e4b28c2d099b582/gae/main.py#L55
account_ids,repo,README.md,8,8,https://github.com/google/hotel-ads-etl-tool/blob/e39ffd3534821506971ffb329e4b28c2d099b582/README.md,https://github.com/google/hotel-ads-etl-tool/blob/e39ffd3534821506971ffb329e4b28c2d099b582/scripts/get_table_commands.sh#L19
app_engine_region,repo,README.md,2,2,https://github.com/google/hotel-ads-etl-tool/blob/e39ffd3534821506971ffb329e4b28c2d099b582/README.md,https://github.com/google/hotel-ads-etl-tool/blob/e39ffd3534821506971ffb329e4b28c2d099b582/scripts/config.sh.sample#L5
autoprovision.sh,repo,README.md,1,1,https://github.com/google/hotel-ads-etl-tool/blob/e39ffd3534821506971ffb329e4b28c2d099b582/README.md,code_element is a file name
cs_filename,repo,README.md,16,16,https://github.com/google/hotel-ads-etl-tool/blob/e39ffd3534821506971ffb329e4b28c2d099b582/README.md,https://github.com/google/hotel-ads-etl-tool/blob/e39ffd3534821506971ffb329e4b28c2d099b582/scripts/template_metadata#L5
gae/,repo,README.md,1,1,https://github.com/google/hotel-ads-etl-tool/blob/e39ffd3534821506971ffb329e4b28c2d099b582/README.md,https://github.com/google/hotel-ads-etl-tool/blob/e39ffd3534821506971ffb329e4b28c2d099b582/scripts/autoprovision.sh#L65
gae/main.py,repo,README.md,1,1,https://github.com/google/hotel-ads-etl-tool/blob/e39ffd3534821506971ffb329e4b28c2d099b582/README.md,code_element is a file name
hotel_ads_dataset,repo,README.md,2,2,https://github.com/google/hotel-ads-etl-tool/blob/e39ffd3534821506971ffb329e4b28c2d099b582/README.md,https://github.com/google/hotel-ads-etl-tool/blob/e39ffd3534821506971ffb329e4b28c2d099b582/scripts/create_template.py#L87
key_file,repo,README.md,11,11,https://github.com/google/hotel-ads-etl-tool/blob/e39ffd3534821506971ffb329e4b28c2d099b582/README.md,https://github.com/google/hotel-ads-etl-tool/blob/e39ffd3534821506971ffb329e4b28c2d099b582/scripts/config.sh.sample#L11
partner_names,repo,README.md,4,4,https://github.com/google/hotel-ads-etl-tool/blob/e39ffd3534821506971ffb329e4b28c2d099b582/README.md,https://github.com/google/hotel-ads-etl-tool/blob/e39ffd3534821506971ffb329e4b28c2d099b582/scripts/config.sh.sample#L3
scripts/config.sh,repo,README.md,2,2,https://github.com/google/hotel-ads-etl-tool/blob/e39ffd3534821506971ffb329e4b28c2d099b582/README.md,https://github.com/google/hotel-ads-etl-tool/blob/e39ffd3534821506971ffb329e4b28c2d099b582/gae/main.py#L55
scripts/config.sh.sample,repo,README.md,1,1,https://github.com/google/hotel-ads-etl-tool/blob/e39ffd3534821506971ffb329e4b28c2d099b582/README.md,code_element is a file name
storage_class,repo,README.md,2,2,https://github.com/google/hotel-ads-etl-tool/blob/e39ffd3534821506971ffb329e4b28c2d099b582/README.md,https://github.com/google/hotel-ads-etl-tool/blob/e39ffd3534821506971ffb329e4b28c2d099b582/scripts/config.sh.sample#L7
storage_region,repo,README.md,2,2,https://github.com/google/hotel-ads-etl-tool/blob/e39ffd3534821506971ffb329e4b28c2d099b582/README.md,https://github.com/google/hotel-ads-etl-tool/blob/e39ffd3534821506971ffb329e4b28c2d099b582/scripts/config.sh.sample#L6
