code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,doc_link,source_link
API,repo,README.md,6,6,6,6,6,7,7,7,8,9,11,11,11,https://github.com/google/hotel-booking-api-validator/blob/03efbd3dfc057f2c475217fce7ff248832736800/README.md,https://github.com/google/hotel-booking-api-validator/blob/137c1d99058602f7edbab7de7d3e3fe5455b4536/v1/v1.pb.go#L1
BookingAvailability,repo,README.md,8,8,8,8,8,8,13,13,13,13,13,13,13,https://github.com/google/hotel-booking-api-validator/blob/03efbd3dfc057f2c475217fce7ff248832736800/README.md,https://github.com/google/hotel-booking-api-validator/blob/137c1d99058602f7edbab7de7d3e3fe5455b4536/utils/testdata.go#L72
BookingAvailabilityRequest,repo,README.md,33,33,33,37,37,37,40,40,40,40,43,43,43,https://github.com/google/hotel-booking-api-validator/blob/03efbd3dfc057f2c475217fce7ff248832736800/README.md,https://github.com/google/hotel-booking-api-validator/blob/137c1d99058602f7edbab7de7d3e3fe5455b4536/v1/v1.pb.go#L904
BookingSubmit,repo,README.md,8,8,8,8,8,8,13,13,13,13,13,13,13,https://github.com/google/hotel-booking-api-validator/blob/03efbd3dfc057f2c475217fce7ff248832736800/README.md,https://github.com/google/hotel-booking-api-validator/blob/137c1d99058602f7edbab7de7d3e3fe5455b4536/utils/testdata.go#L87
BookingSubmitRequest,repo,README.md,43,44,44,44,44,44,47,47,47,47,56,56,56,https://github.com/google/hotel-booking-api-validator/blob/03efbd3dfc057f2c475217fce7ff248832736800/README.md,https://github.com/google/hotel-booking-api-validator/blob/137c1d99058602f7edbab7de7d3e3fe5455b4536/v1/v1.pb.go#L1198
CN,repo,README.md,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/hotel-booking-api-validator/blob/03efbd3dfc057f2c475217fce7ff248832736800/README.md,https://github.com/google/hotel-booking-api-validator/blob/137c1d99058602f7edbab7de7d3e3fe5455b4536/testclient/hotelBookingApiValidator.go#L33
URL,repo,README.md,6,6,6,6,6,6,7,7,7,7,7,7,7,https://github.com/google/hotel-booking-api-validator/blob/03efbd3dfc057f2c475217fce7ff248832736800/README.md,https://github.com/google/hotel-booking-api-validator/blob/137c1d99058602f7edbab7de7d3e3fe5455b4536/v1/v1.pb.go#L2810
availability_endpoint,repo,README.md,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/hotel-booking-api-validator/blob/03efbd3dfc057f2c475217fce7ff248832736800/README.md,https://github.com/google/hotel-booking-api-validator/blob/137c1d99058602f7edbab7de7d3e3fe5455b4536/testclient/hotelBookingApiValidator.go#L36
availability_request,repo,README.md,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/hotel-booking-api-validator/blob/03efbd3dfc057f2c475217fce7ff248832736800/README.md,https://github.com/google/hotel-booking-api-validator/blob/137c1d99058602f7edbab7de7d3e3fe5455b4536/testclient/hotelBookingApiValidator.go#L34
ca_file,repo,README.md,4,4,4,4,4,4,3,3,3,3,3,3,3,https://github.com/google/hotel-booking-api-validator/blob/03efbd3dfc057f2c475217fce7ff248832736800/README.md,https://github.com/google/hotel-booking-api-validator/blob/137c1d99058602f7edbab7de7d3e3fe5455b4536/testclient/hotelBookingApiValidator.go#L32
credentials_file,repo,README.md,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/hotel-booking-api-validator/blob/03efbd3dfc057f2c475217fce7ff248832736800/README.md,https://github.com/google/hotel-booking-api-validator/blob/137c1d99058602f7edbab7de7d3e3fe5455b4536/testclient/hotelBookingApiValidator.go#L31
full_server_name,repo,README.md,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/hotel-booking-api-validator/blob/03efbd3dfc057f2c475217fce7ff248832736800/README.md,https://github.com/google/hotel-booking-api-validator/blob/137c1d99058602f7edbab7de7d3e3fe5455b4536/testclient/hotelBookingApiValidator.go#L33
host:port,repo,README.md,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/hotel-booking-api-validator/blob/03efbd3dfc057f2c475217fce7ff248832736800/README.md,https://github.com/google/hotel-booking-api-validator/blob/137c1d99058602f7edbab7de7d3e3fe5455b4536/testclient/hotelBookingApiValidator.go#L30
localhost:8080,repo,README.md,1,1,1,1,1,1,7,7,7,7,7,7,7,https://github.com/google/hotel-booking-api-validator/blob/03efbd3dfc057f2c475217fce7ff248832736800/README.md,https://github.com/google/hotel-booking-api-validator/blob/137c1d99058602f7edbab7de7d3e3fe5455b4536/testclient/hotelBookingApiValidator.go#L30
server_addr,repo,README.md,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/hotel-booking-api-validator/blob/03efbd3dfc057f2c475217fce7ff248832736800/README.md,https://github.com/google/hotel-booking-api-validator/blob/137c1d99058602f7edbab7de7d3e3fe5455b4536/testclient/hotelBookingApiValidator.go#L30
submit_endpoint,repo,README.md,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/hotel-booking-api-validator/blob/03efbd3dfc057f2c475217fce7ff248832736800/README.md,https://github.com/google/hotel-booking-api-validator/blob/137c1d99058602f7edbab7de7d3e3fe5455b4536/testclient/hotelBookingApiValidator.go#L37
submit_request,repo,README.md,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/hotel-booking-api-validator/blob/03efbd3dfc057f2c475217fce7ff248832736800/README.md,https://github.com/google/hotel-booking-api-validator/blob/137c1d99058602f7edbab7de7d3e3fe5455b4536/testclient/hotelBookingApiValidator.go#L35
username:password,repo,README.md,1,1,1,1,1,1,2,2,2,2,2,2,2,https://github.com/google/hotel-booking-api-validator/blob/03efbd3dfc057f2c475217fce7ff248832736800/README.md,https://github.com/google/hotel-booking-api-validator/blob/137c1d99058602f7edbab7de7d3e3fe5455b4536/testclient/hotelBookingApiValidator.go#L31
