code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,doc_link,source_link
--bazel-args,repo,README.md,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/hrepl/blob/2648a55cc38407c5b60a3a086217e2d827ca6cb6/README.md,https://github.com/google/hrepl/blob/a1d55353b70244da26bd939ee2505961e5c14930/hrepl/tests/ReplTestLib.hs#L114
--output_base,repo,README.md,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/hrepl/blob/2648a55cc38407c5b60a3a086217e2d827ca6cb6/README.md,https://github.com/google/hrepl/blob/1550800b51c1531cc17e9ebf77d4e359284f76d3/hrepl/tests/ReplTestLib.hs#L73
--package,repo,README.md,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,https://github.com/google/hrepl/blob/2648a55cc38407c5b60a3a086217e2d827ca6cb6/README.md,https://github.com/google/hrepl/blob/a1d55353b70244da26bd939ee2505961e5c14930/rule_info/RuleInfo.hs#L159
-XPackageImports,repo,README.md,2,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/hrepl/blob/2648a55cc38407c5b60a3a086217e2d827ca6cb6/README.md,https://github.com/google/hrepl/blob/1550800b51c1531cc17e9ebf77d4e359284f76d3/hrepl/tests/BUILD.bazel#L338
-c,repo,README.md,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,https://github.com/google/hrepl/blob/2648a55cc38407c5b60a3a086217e2d827ca6cb6/README.md,https://github.com/google/hrepl/blob/a1d55353b70244da26bd939ee2505961e5c14930/hrepl/tests/BUILD.bazel#L424
...,repo,README.md,16,19,19,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/hrepl/blob/2648a55cc38407c5b60a3a086217e2d827ca6cb6/README.md,https://github.com/google/hrepl/blob/1550800b51c1531cc17e9ebf77d4e359284f76d3/src/Bazel/QueryTest.hs#L67
//hrepl,repo,README.md,43,43,43,43,44,44,44,44,44,44,45,45,45,45,45,45,45,45,45,45,44,47,47,https://github.com/google/hrepl/blob/2648a55cc38407c5b60a3a086217e2d827ca6cb6/README.md,https://github.com/google/hrepl/blob/a1d55353b70244da26bd939ee2505961e5c14930/hrepl/tests/test.bzl#L9
:module,repo,README.md,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/hrepl/blob/2648a55cc38407c5b60a3a086217e2d827ca6cb6/README.md,https://github.com/google/hrepl/blob/a1d55353b70244da26bd939ee2505961e5c14930/hrepl/Repl.hs#L183
:quit,repo,README.md,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,https://github.com/google/hrepl/blob/2648a55cc38407c5b60a3a086217e2d827ca6cb6/README.md,https://github.com/google/hrepl/blob/38adae07c50abca6de885e07c7bdbe9895b454b4/hrepl/tests/ReplTestLib.hs#L143
:reload,repo,README.md,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,6,6,https://github.com/google/hrepl/blob/2648a55cc38407c5b60a3a086217e2d827ca6cb6/README.md,https://github.com/google/hrepl/blob/a1d55353b70244da26bd939ee2505961e5c14930/hrepl/tests/BUILD.bazel#L145
@stackage,repo,README.md,94,94,94,94,96,96,97,97,97,97,104,104,104,104,104,104,105,110,110,110,118,118,118,https://github.com/google/hrepl/blob/2648a55cc38407c5b60a3a086217e2d827ca6cb6/README.md,https://github.com/google/hrepl/blob/a1d55353b70244da26bd939ee2505961e5c14930/rule_info/RuleInfo/BUILD.bazel#L10
BUILD,repo,README.md,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,https://github.com/google/hrepl/blob/2648a55cc38407c5b60a3a086217e2d827ca6cb6/README.md,https://github.com/google/hrepl/blob/a1d55353b70244da26bd939ee2505961e5c14930/hrepl/Repl.hs#L99
GHC,repo,README.md,23,23,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,https://github.com/google/hrepl/blob/2648a55cc38407c5b60a3a086217e2d827ca6cb6/README.md,https://github.com/google/hrepl/blob/a1d55353b70244da26bd939ee2505961e5c14930/rule_info/RuleInfo.hs#L116
PACKAGE,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,https://github.com/google/hrepl/blob/2648a55cc38407c5b60a3a086217e2d827ca6cb6/README.md,https://github.com/google/hrepl/blob/a1d55353b70244da26bd939ee2505961e5c14930/hrepl/repl_main.hs#L133
RTS,repo,README.md,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/hrepl/blob/2648a55cc38407c5b60a3a086217e2d827ca6cb6/README.md,https://github.com/google/hrepl/blob/a1d55353b70244da26bd939ee2505961e5c14930/hrepl/repl_main.hs#L125
TODO,repo,README.md,14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/hrepl/blob/2648a55cc38407c5b60a3a086217e2d827ca6cb6/README.md,https://github.com/google/hrepl/blob/be630b6361507193c44a37acda802dba183b7403/src/Bazel.hs#L200
WORKSPACE,repo,README.md,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/hrepl/blob/2648a55cc38407c5b60a3a086217e2d827ca6cb6/README.md,code_element is a file name
XPackageImports,repo,README.md,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/hrepl/blob/2648a55cc38407c5b60a3a086217e2d827ca6cb6/README.md,https://github.com/google/hrepl/blob/a1d55353b70244da26bd939ee2505961e5c14930/rule_info/RuleInfo.hs#L155
bazel,repo,README.md,55,57,56,56,56,56,58,58,58,58,60,60,60,60,60,60,60,60,60,60,61,62,62,https://github.com/google/hrepl/blob/2648a55cc38407c5b60a3a086217e2d827ca6cb6/README.md,https://github.com/google/hrepl/blob/a1d55353b70244da26bd939ee2505961e5c14930/rule_info/RuleInfo/BUILD.bazel#L1
compiler_flags,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9,9,https://github.com/google/hrepl/blob/2648a55cc38407c5b60a3a086217e2d827ca6cb6/README.md,https://github.com/google/hrepl/blob/a1d55353b70244da26bd939ee2505961e5c14930/hrepl/tests/BUILD.bazel#L156
deps,repo,README.md,56,56,55,55,56,56,56,56,56,56,58,58,58,58,58,58,58,58,58,58,59,63,63,https://github.com/google/hrepl/blob/2648a55cc38407c5b60a3a086217e2d827ca6cb6/README.md,https://github.com/google/hrepl/blob/a1d55353b70244da26bd939ee2505961e5c14930/rule_info/RuleInfo/BUILD.bazel#L8
haskell_proto_library,repo,README.md,7,7,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/hrepl/blob/2648a55cc38407c5b60a3a086217e2d827ca6cb6/README.md,https://github.com/google/hrepl/blob/1550800b51c1531cc17e9ebf77d4e359284f76d3/hrepl/tests/BUILD.bazel#L8
hrepl,repo,README.md,28,28,27,27,27,28,31,31,31,31,31,31,31,31,32,34,34,35,35,35,36,36,36,https://github.com/google/hrepl/blob/2648a55cc38407c5b60a3a086217e2d827ca6cb6/README.md,https://github.com/google/hrepl/blob/a1d55353b70244da26bd939ee2505961e5c14930/rule_info/RuleInfo.hs#L154
https://github.com/judah/rules_haskell,repo,README.md,-,1,1,1,1,1,1,1,1,1,1,1,1,-,-,-,-,-,-,-,-,-,-,https://github.com/google/hrepl/blob/2648a55cc38407c5b60a3a086217e2d827ca6cb6/README.md,https://github.com/google/hrepl/blob/d946c54471fa5f1ca7dc5b8baf0db6a19429b319/WORKSPACE#L8
import,repo,README.md,173,174,174,174,176,176,178,178,178,178,190,190,190,190,190,190,190,187,187,190,190,194,194,https://github.com/google/hrepl/blob/2648a55cc38407c5b60a3a086217e2d827ca6cb6/README.md,https://github.com/google/hrepl/blob/a1d55353b70244da26bd939ee2505961e5c14930/rule_info/RuleInfo/ExecutionRootTest.hs#L8
plugins,repo,README.md,3,3,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/hrepl/blob/2648a55cc38407c5b60a3a086217e2d827ca6cb6/README.md,https://github.com/google/hrepl/blob/1550800b51c1531cc17e9ebf77d4e359284f76d3/hrepl/tests/PluginLib.hs#L15
rules_haskell,repo,README.md,20,20,20,20,20,21,21,21,21,21,22,22,22,23,23,23,23,23,23,23,24,25,25,https://github.com/google/hrepl/blob/2648a55cc38407c5b60a3a086217e2d827ca6cb6/README.md,https://github.com/google/hrepl/blob/a1d55353b70244da26bd939ee2505961e5c14930/rule_info/RuleInfo/BUILD.bazel#L2
