code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,rev_34,rev_35,rev_36,rev_37,rev_38,rev_39,rev_40,rev_41,rev_42,rev_43,rev_44,rev_45,rev_46,rev_47,rev_48,rev_49,rev_50,rev_51,rev_52,rev_53,rev_54,rev_55,rev_56,rev_57,rev_58,rev_59,rev_60,rev_61,rev_62,rev_63,rev_64,rev_65,rev_66,rev_67,rev_68,rev_69,rev_70,rev_71,rev_72,rev_73,rev_74,rev_75,rev_76,rev_77,rev_78,rev_79,rev_80,doc_link,source_link
Applicative,repo,README.md,17,17,17,17,22,23,24,24,24,24,27,27,30,30,30,30,30,30,30,30,30,30,31,31,33,33,34,34,34,35,35,35,35,35,40,40,40,41,42,42,42,42,42,42,42,42,42,42,42,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,42,https://github.com/google/hs-ten/blob/fa0a9cf31c84f3a9127bac1fb721ca3631f06578/README.md,https://github.com/google/hs-ten/blob/a34c9963c6985d8846d6f48e19ea5efd1f2f81d6/ten/test/Traversable10Test.hs#L61
CI,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,2,2,2,2,2,2,2,2,https://github.com/google/hs-ten/blob/fa0a9cf31c84f3a9127bac1fb721ca3631f06578/README.md,https://github.com/google/hs-ten/blob/a34c9963c6985d8846d6f48e19ea5efd1f2f81d6/.github/workflows/stack-ci.yml#L15
Foldable,repo,README.md,2,2,2,8,8,9,10,10,10,10,18,18,18,18,18,18,18,18,18,18,18,18,18,18,19,19,19,19,19,19,20,21,21,21,21,21,22,29,31,33,33,33,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,36,https://github.com/google/hs-ten/blob/fa0a9cf31c84f3a9127bac1fb721ca3631f06578/README.md,https://github.com/google/hs-ten/blob/a34c9963c6985d8846d6f48e19ea5efd1f2f81d6/ten/test/Traversable10Test.hs#L57
Functor,repo,README.md,16,16,20,22,23,24,24,24,24,24,32,32,34,34,34,34,36,36,37,37,37,42,43,57,63,65,69,69,69,73,74,75,74,74,72,72,72,82,81,83,83,83,86,86,89,89,90,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,89,89,89,89,89,89,87,https://github.com/google/hs-ten/blob/fa0a9cf31c84f3a9127bac1fb721ca3631f06578/README.md,https://github.com/google/hs-ten/blob/a34c9963c6985d8846d6f48e19ea5efd1f2f81d6/ten/test/Traversable10Test.hs#L31
Functor10,repo,README.md,73,73,73,74,75,76,76,76,76,76,81,81,81,80,80,80,80,80,80,80,80,80,80,80,80,80,82,82,82,82,84,87,87,61,61,61,61,65,60,61,61,61,63,63,65,65,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,https://github.com/google/hs-ten/blob/fa0a9cf31c84f3a9127bac1fb721ca3631f06578/README.md,https://github.com/google/hs-ten/blob/a34c9963c6985d8846d6f48e19ea5efd1f2f81d6/ten/test/Traversable10Test.hs#L45
Identity,repo,README.md,13,13,11,10,10,10,10,10,10,10,9,9,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,21,21,21,21,19,19,19,19,19,19,19,16,16,16,16,16,16,24,24,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,31,31,31,31,31,https://github.com/google/hs-ten/blob/fa0a9cf31c84f3a9127bac1fb721ca3631f06578/README.md,https://github.com/google/hs-ten/blob/a34c9963c6985d8846d6f48e19ea5efd1f2f81d6/ten/test/Traversable10Test.hs#L32
Maybe,repo,README.md,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,8,8,8,8,8,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,14,14,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,https://github.com/google/hs-ten/blob/fa0a9cf31c84f3a9127bac1fb721ca3631f06578/README.md,https://github.com/google/hs-ten/blob/a34c9963c6985d8846d6f48e19ea5efd1f2f81d6/ten/test/Traversable10Test.hs#L80
Representable,repo,README.md,2,2,2,2,2,2,7,7,8,8,9,9,9,9,9,10,11,11,11,11,11,11,11,17,22,22,27,27,27,28,28,28,28,28,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,26,https://github.com/google/hs-ten/blob/fa0a9cf31c84f3a9127bac1fb721ca3631f06578/README.md,https://github.com/google/hs-ten/blob/a34c9963c6985d8846d6f48e19ea5efd1f2f81d6/ten/test/Traversable10Test.hs#L40
Traversable,repo,README.md,4,4,4,9,9,10,11,11,11,11,15,15,15,15,15,15,15,15,15,15,15,15,15,15,16,16,16,16,16,16,17,18,18,18,23,23,23,30,31,33,33,33,34,34,34,34,34,34,34,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,34,https://github.com/google/hs-ten/blob/fa0a9cf31c84f3a9127bac1fb721ca3631f06578/README.md,https://github.com/google/hs-ten/blob/a34c9963c6985d8846d6f48e19ea5efd1f2f81d6/ten/test/Traversable10Test.hs#L57
__Hask__,repo,README.md,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/hs-ten/blob/fa0a9cf31c84f3a9127bac1fb721ca3631f06578/README.md,https://github.com/google/hs-ten/blob/a34c9963c6985d8846d6f48e19ea5efd1f2f81d6/ten/ten.cabal#L12
