code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,doc_link,source_link
@article,repo,README.md,.,.,0,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/hypernerf/blob/959d752ec108c3a80660003ef615c67ca8b75d91/README.md,https://github.com/google/hypernerf/blob/d433ebeba4ddd91fd83aa9af3423333d2d5934e7/notebooks/HyperNeRF_Training.ipynb#L53
HyperNeRF,repo,README.md,.,.,1,9,9,9,9,9,9,9,9,9,9,9,9,9,https://github.com/google/hypernerf/blob/959d752ec108c3a80660003ef615c67ca8b75d91/README.md,https://github.com/google/hypernerf/blob/d433ebeba4ddd91fd83aa9af3423333d2d5934e7/setup.py#L25
HyperNeRF_Training,repo,README.md,.,.,-,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/hypernerf/blob/959d752ec108c3a80660003ef615c67ca8b75d91/README.md,https://github.com/google/hypernerf/blob/d433ebeba4ddd91fd83aa9af3423333d2d5934e7/notebooks/HyperNeRF_Render_Video.ipynb#L39
JAX,repo,README.md,.,.,3,3,4,4,4,4,4,4,4,4,4,4,4,4,https://github.com/google/hypernerf/blob/959d752ec108c3a80660003ef615c67ca8b75d91/README.md,https://github.com/google/hypernerf/blob/d433ebeba4ddd91fd83aa9af3423333d2d5934e7/notebooks/figures/nerfies_2d_experiments.ipynb#L115
arXiv,repo,README.md,.,.,0,1,1,1,1,-,-,-,-,-,-,-,-,-,https://github.com/google/hypernerf/blob/959d752ec108c3a80660003ef615c67ca8b75d91/README.md,https://github.com/google/hypernerf/blob/7d39491931bd78cc60a546ed6d05936ac868884d/notebooks/HyperNeRF_Training.ipynb#L56
arXiv:2106,repo,README.md,.,.,0,1,1,1,1,-,-,-,-,-,-,-,-,-,https://github.com/google/hypernerf/blob/959d752ec108c3a80660003ef615c67ca8b75d91/README.md,https://github.com/google/hypernerf/blob/7d39491931bd78cc60a546ed6d05936ac868884d/notebooks/HyperNeRF_Training.ipynb#L56
base_folder,repo,README.md,.,.,6,6,6,6,6,6,6,6,6,6,6,6,6,6,https://github.com/google/hypernerf/blob/959d752ec108c3a80660003ef615c67ca8b75d91/README.md,https://github.com/google/hypernerf/blob/d433ebeba4ddd91fd83aa9af3423333d2d5934e7/train.py#L47
data_dir,repo,README.md,.,.,38,44,50,50,50,50,50,50,50,50,50,50,50,50,https://github.com/google/hypernerf/blob/959d752ec108c3a80660003ef615c67ca8b75d91/README.md,https://github.com/google/hypernerf/blob/d433ebeba4ddd91fd83aa9af3423333d2d5934e7/notebooks/figures/hypernerf_ap_ds_figure.ipynb#L170
gin_bindings,repo,README.md,.,.,4,4,4,4,4,4,4,4,4,4,4,4,4,4,https://github.com/google/hypernerf/blob/959d752ec108c3a80660003ef615c67ca8b75d91/README.md,https://github.com/google/hypernerf/blob/d433ebeba4ddd91fd83aa9af3423333d2d5934e7/train.py#L49
gin_configs,repo,README.md,.,.,10,10,10,10,10,10,10,10,10,10,10,10,10,10,https://github.com/google/hypernerf/blob/959d752ec108c3a80660003ef615c67ca8b75d91/README.md,https://github.com/google/hypernerf/blob/d433ebeba4ddd91fd83aa9af3423333d2d5934e7/train.py#L50
hypernerf_interp_ap_2d.gin,repo,README.md,.,.,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/hypernerf/blob/959d752ec108c3a80660003ef615c67ca8b75d91/README.md,code_element is a file name
hypernerf_interp_ds_2d.gin,repo,README.md,.,.,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/hypernerf/blob/959d752ec108c3a80660003ef615c67ca8b75d91/README.md,code_element is a file name
hypernerf_vrig_ap_2d.gin,repo,README.md,.,.,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/hypernerf/blob/959d752ec108c3a80660003ef615c67ca8b75d91/README.md,code_element is a file name
hypernerf_vrig_ds_2d.gin,repo,README.md,.,.,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/hypernerf/blob/959d752ec108c3a80660003ef615c67ca8b75d91/README.md,code_element is a file name
