code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,doc_link,source_link
ANDROID_HOME,repo,README.md,-,-,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,https://github.com/google/java-time-client/blob/ddc81af0f41acbf60f0c60f0e0131026c92531d2/README.md,https://github.com/google/java-time-client/blob/67737a9a9d60d97e51fc76f09551dc6b280bd3f2/before-upload.sh#L53
API,repo,README.md,-,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3,5,5,5,5,https://github.com/google/java-time-client/blob/ddc81af0f41acbf60f0c60f0e0131026c92531d2/README.md,https://github.com/google/java-time-client/blob/67737a9a9d60d97e51fc76f09551dc6b280bd3f2/javase/java/com/google/time/client/base/testing/TestEnvironmentUtils.java#L53
BUILD,repo,README.md,-,8,8,9,9,16,16,16,16,16,16,16,16,0,0,0,0,0,0,0,https://github.com/google/java-time-client/blob/ddc81af0f41acbf60f0c60f0e0131026c92531d2/README.md,code_element is a file name
JDK,repo,README.md,-,-,-,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/java-time-client/blob/ddc81af0f41acbf60f0c60f0e0131026c92531d2/README.md,https://github.com/google/java-time-client/blob/67737a9a9d60d97e51fc76f09551dc6b280bd3f2/common/javatests/com/google/time/client/base/InstantTest.java#L140
NTP,repo,README.md,-,-,-,-,-,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,https://github.com/google/java-time-client/blob/ddc81af0f41acbf60f0c60f0e0131026c92531d2/README.md,https://github.com/google/java-time-client/blob/67737a9a9d60d97e51fc76f09551dc6b280bd3f2/javase/java/com/google/time/client/sntp/tools/SntpTool.java#L70
SDK,repo,README.md,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/java-time-client/blob/ddc81af0f41acbf60f0c60f0e0131026c92531d2/README.md,https://github.com/google/java-time-client/blob/67737a9a9d60d97e51fc76f09551dc6b280bd3f2/android/WORKSPACE#L1
SE,repo,README.md,-,0,0,10,10,10,10,12,12,12,12,12,12,12,12,12,15,15,15,15,https://github.com/google/java-time-client/blob/ddc81af0f41acbf60f0c60f0e0131026c92531d2/README.md,https://github.com/google/java-time-client/blob/67737a9a9d60d97e51fc76f09551dc6b280bd3f2/javase/java/com/google/time/client/base/testing/TestEnvironmentUtils.java#L23
SNTP,repo,README.md,-,-,-,-,-,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,https://github.com/google/java-time-client/blob/ddc81af0f41acbf60f0c60f0e0131026c92531d2/README.md,https://github.com/google/java-time-client/blob/67737a9a9d60d97e51fc76f09551dc6b280bd3f2/common/javatests/com/google/time/client/sntp/impl/SntpClientEngineUnitTest.java#L718
WORKSPACE,repo,README.md,-,-,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/java-time-client/blob/ddc81af0f41acbf60f0c60f0e0131026c92531d2/README.md,code_element is a file name
android/,repo,README.md,-,1,1,1,1,1,4,8,8,8,8,8,8,8,8,8,8,8,8,8,https://github.com/google/java-time-client/blob/ddc81af0f41acbf60f0c60f0e0131026c92531d2/README.md,https://github.com/google/java-time-client/blob/67737a9a9d60d97e51fc76f09551dc6b280bd3f2/rm-copies-of-common.sh#L17
