code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,rev_34,rev_35,rev_36,rev_37,rev_38,rev_39,rev_40,rev_41,rev_42,rev_43,rev_44,rev_45,doc_link,source_link
2.0,repo,README.md,.,-,-,-,-,-,-,-,35,35,35,35,35,35,35,35,36,36,36,36,36,36,36,38,36,36,35,35,35,35,35,37,37,37,37,37,37,37,37,37,37,37,37,37,37,https://github.com/google/jsinterop-annotations/blob/1ed60a16d2da01aba130b57cce6e94edaf7acd56/README.md,https://github.com/google/jsinterop-annotations/blob/46b3187c30925aa6becc9f280e06ccd8f39a5767/maven/release_jsinterop_annotations.sh#L4
GWT,repo,README.md,.,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,https://github.com/google/jsinterop-annotations/blob/1ed60a16d2da01aba130b57cce6e94edaf7acd56/README.md,https://github.com/google/jsinterop-annotations/blob/46b3187c30925aa6becc9f280e06ccd8f39a5767/maven/pom-annotations.xml#L12
JsInterop,repo,README.md,.,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,https://github.com/google/jsinterop-annotations/blob/1ed60a16d2da01aba130b57cce6e94edaf7acd56/README.md,https://github.com/google/jsinterop-annotations/blob/46b3187c30925aa6becc9f280e06ccd8f39a5767/maven/release_jsinterop_annotations.sh#L16
LICENSE,repo,README.md,.,16,17,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,20,19,19,19,19,19,19,19,20,20,20,20,20,20,20,20,20,20,20,20,20,20,https://github.com/google/jsinterop-annotations/blob/1ed60a16d2da01aba130b57cce6e94edaf7acd56/README.md,https://github.com/google/jsinterop-annotations/blob/46b3187c30925aa6becc9f280e06ccd8f39a5767/maven/release_jsinterop_annotations.sh#L8
WORKSPACE,repo,README.md,.,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/jsinterop-annotations/blob/1ed60a16d2da01aba130b57cce6e94edaf7acd56/README.md,https://github.com/google/jsinterop-annotations/blob/46b3187c30925aa6becc9f280e06ccd8f39a5767/maven/release_jsinterop_annotations.sh#L71
annotations:annotations,repo,README.md,.,1,1,1,1,1,1,1,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/jsinterop-annotations/blob/1ed60a16d2da01aba130b57cce6e94edaf7acd56/README.md,https://github.com/google/jsinterop-annotations/blob/afcdd8bcd40cf0f549f0a3b4051d8e68ef41b5fb/BUILD#L20
artifactId,repo,README.md,.,0,0,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/jsinterop-annotations/blob/1ed60a16d2da01aba130b57cce6e94edaf7acd56/README.md,https://github.com/google/jsinterop-annotations/blob/46b3187c30925aa6becc9f280e06ccd8f39a5767/maven/pom-annotations.xml#L6
bazel-bin/java/jsinterop/annotations,repo,README.md,.,0,0,2,2,2,2,2,2,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/jsinterop-annotations/blob/1ed60a16d2da01aba130b57cce6e94edaf7acd56/README.md,https://github.com/google/jsinterop-annotations/blob/afcdd8bcd40cf0f549f0a3b4051d8e68ef41b5fb/release_jsinterop_annotations.sh#L40
com_google_jsinterop_annotations,repo,README.md,.,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/jsinterop-annotations/blob/1ed60a16d2da01aba130b57cce6e94edaf7acd56/README.md,https://github.com/google/jsinterop-annotations/blob/46b3187c30925aa6becc9f280e06ccd8f39a5767/WORKSPACE#L1
groupId,repo,README.md,.,0,0,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/jsinterop-annotations/blob/1ed60a16d2da01aba130b57cce6e94edaf7acd56/README.md,https://github.com/google/jsinterop-annotations/blob/46b3187c30925aa6becc9f280e06ccd8f39a5767/maven/pom-annotations.xml#L5
