code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,rev_34,rev_35,rev_36,rev_37,rev_38,rev_39,rev_40,rev_41,rev_42,rev_43,rev_44,rev_45,rev_46,rev_47,rev_48,rev_49,rev_50,rev_51,rev_52,rev_53,rev_54,rev_55,rev_56,rev_57,rev_58,rev_59,rev_60,rev_61,rev_62,rev_63,rev_64,rev_65,rev_66,rev_67,rev_68,rev_69,rev_70,rev_71,rev_72,rev_73,rev_74,rev_75,rev_76,rev_77,rev_78,rev_79,rev_80,rev_81,rev_82,rev_83,rev_84,rev_85,rev_86,doc_link,source_link
&,repo,README.md,170,170,170,170,168,168,168,168,168,168,168,168,168,168,168,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,156,156,156,156,158,158,158,158,158,158,160,160,160,161,166,162,162,162,164,194,194,194,194,194,212,212,212,212,212,218,218,218,218,218,218,218,218,217,222,220,193,197,197,197,201,201,201,201,201,201,201,201,203,203,203,209,https://github.com/google/kafel/blob/8e69b8efae415cde3debffbb1e379d9e7a16835a/README.md,https://github.com/google/kafel/blob/1af0975af45ca4404f357b9a4e1636f53a01bfd3/tools/dump_policy_bpf/print.c#L74
42,repo,README.md,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,https://github.com/google/kafel/blob/8e69b8efae415cde3debffbb1e379d9e7a16835a/README.md,https://github.com/google/kafel/blob/1af0975af45ca4404f357b9a4e1636f53a01bfd3/src/syscalls/riscv64_syscalls.c#L969
ALLOW,repo,README.md,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,41,41,41,41,41,41,41,41,41,41,45,45,45,45,45,45,45,45,45,51,51,51,51,53,53,53,53,53,53,53,54,55,56,56,56,56,59,59,59,59,61,61,61,61,62,63,63,63,63,63,63,63,63,63,63,63,https://github.com/google/kafel/blob/8e69b8efae415cde3debffbb1e379d9e7a16835a/README.md,https://github.com/google/kafel/blob/1af0975af45ca4404f357b9a4e1636f53a01bfd3/tools/dump_policy_bpf/disasm.c#L128
BPF,repo,README.md,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,https://github.com/google/kafel/blob/8e69b8efae415cde3debffbb1e379d9e7a16835a/README.md,https://github.com/google/kafel/blob/1af0975af45ca4404f357b9a4e1636f53a01bfd3/tools/dump_policy_bpf/print.h#L2
DEFAULT,repo,README.md,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,50,50,51,51,51,51,51,51,51,51,62,62,62,62,62,62,62,62,62,68,68,68,68,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,https://github.com/google/kafel/blob/8e69b8efae415cde3debffbb1e379d9e7a16835a/README.md,https://github.com/google/kafel/blob/1af0975af45ca4404f357b9a4e1636f53a01bfd3/test/includes.c#L33
DENY,repo,README.md,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,https://github.com/google/kafel/blob/8e69b8efae415cde3debffbb1e379d9e7a16835a/README.md,https://github.com/google/kafel/blob/1af0975af45ca4404f357b9a4e1636f53a01bfd3/test/broken.c#L68
IS,repo,README.md,30,30,30,30,30,30,30,30,30,30,30,30,32,32,32,39,39,39,39,39,39,40,42,42,43,43,43,43,43,43,44,44,44,44,44,44,44,44,44,44,47,47,47,47,49,49,49,49,49,49,49,49,49,49,51,51,51,51,51,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,54,54,54,54,54,54,54,https://github.com/google/kafel/blob/8e69b8efae415cde3debffbb1e379d9e7a16835a/README.md,https://github.com/google/kafel/blob/1af0975af45ca4404f357b9a4e1636f53a01bfd3/tools/gen_syscalls/gen_syscalls.sh#L16
KILL,repo,README.md,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,52,52,53,53,53,53,53,53,53,53,65,65,65,66,66,66,66,66,66,72,72,72,72,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,https://github.com/google/kafel/blob/8e69b8efae415cde3debffbb1e379d9e7a16835a/README.md,https://github.com/google/kafel/blob/1af0975af45ca4404f357b9a4e1636f53a01bfd3/tools/dump_policy_bpf/disasm.c#L125
KILL_PROCESS,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,https://github.com/google/kafel/blob/8e69b8efae415cde3debffbb1e379d9e7a16835a/README.md,https://github.com/google/kafel/blob/1af0975af45ca4404f357b9a4e1636f53a01bfd3/tools/dump_policy_bpf/disasm.c#L108
KILL_THREAD,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/kafel/blob/8e69b8efae415cde3debffbb1e379d9e7a16835a/README.md,https://github.com/google/kafel/blob/1af0975af45ca4404f357b9a4e1636f53a01bfd3/src/lexer.l#L139
LOG,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,https://github.com/google/kafel/blob/8e69b8efae415cde3debffbb1e379d9e7a16835a/README.md,https://github.com/google/kafel/blob/1af0975af45ca4404f357b9a4e1636f53a01bfd3/tools/dump_policy_bpf/disasm.c#L116
NOT,repo,README.md,3,3,3,3,3,3,3,3,3,3,3,3,5,5,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,https://github.com/google/kafel/blob/8e69b8efae415cde3debffbb1e379d9e7a16835a/README.md,https://github.com/google/kafel/blob/1af0975af45ca4404f357b9a4e1636f53a01bfd3/tools/dump_policy_bpf/Makefile#L31
POLICY,repo,README.md,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,54,54,55,55,55,55,55,55,55,55,65,65,65,65,65,65,65,65,65,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,https://github.com/google/kafel/blob/8e69b8efae415cde3debffbb1e379d9e7a16835a/README.md,https://github.com/google/kafel/blob/1af0975af45ca4404f357b9a4e1636f53a01bfd3/test/testdata/empty.policy#L1
SECCOMP_RET_ALLOW,repo,README.md,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,https://github.com/google/kafel/blob/8e69b8efae415cde3debffbb1e379d9e7a16835a/README.md,https://github.com/google/kafel/blob/1af0975af45ca4404f357b9a4e1636f53a01bfd3/tools/dump_policy_bpf/print.c#L54
SECCOMP_RET_KILL,repo,README.md,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,https://github.com/google/kafel/blob/8e69b8efae415cde3debffbb1e379d9e7a16835a/README.md,https://github.com/google/kafel/blob/1af0975af45ca4404f357b9a4e1636f53a01bfd3/tools/dump_policy_bpf/print.c#L48
