code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,rev_34,rev_35,rev_36,rev_37,rev_38,rev_39,rev_40,rev_41,rev_42,rev_43,rev_44,rev_45,rev_46,rev_47,rev_48,rev_49,rev_50,rev_51,rev_52,rev_53,rev_54,rev_55,rev_56,rev_57,rev_58,rev_59,rev_60,rev_61,rev_62,rev_63,rev_64,rev_65,rev_66,rev_67,rev_68,rev_69,rev_70,rev_71,rev_72,rev_73,rev_74,rev_75,rev_76,rev_77,rev_78,rev_79,rev_80,rev_81,rev_82,rev_83,rev_84,rev_85,rev_86,rev_87,rev_88,doc_link,source_link
IN,repo,README.md,.,.,.,.,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,8,8,8,8,8,8,8,8,8,https://github.com/google/lisp-koans/blob/9f4aa7461375edee90bd3e326ad88c530ad16024/README.md,https://github.com/google/lisp-koans/blob/fa286eb6a98b0ab463c9c6da97b3113220d34216/test-framework.lisp#L29
NIL,repo,README.md,.,.,.,.,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,41,41,41,41,41,41,41,41,41,41,https://github.com/google/lisp-koans/blob/9f4aa7461375edee90bd3e326ad88c530ad16024/README.md,https://github.com/google/lisp-koans/blob/fa286eb6a98b0ab463c9c6da97b3113220d34216/koans/type-checking.lisp#L17
SBCL,repo,README.md,.,.,.,.,.,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/lisp-koans/blob/9f4aa7461375edee90bd3e326ad88c530ad16024/README.md,https://github.com/google/lisp-koans/blob/35a520021fab4393b2565dd42ca9e626ac0951b7/koans/special-forms.lsp#L33
THE,repo,README.md,.,.,.,.,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,13,13,13,13,13,13,13,13,13,https://github.com/google/lisp-koans/blob/9f4aa7461375edee90bd3e326ad88c530ad16024/README.md,https://github.com/google/lisp-koans/blob/fa286eb6a98b0ab463c9c6da97b3113220d34216/test-framework.lisp#L27
____,repo,README.md,.,.,.,.,.,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,121,121,121,121,121,121,121,121,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,152,152,152,709,709,709,709,709,712,712,712,712,712,https://github.com/google/lisp-koans/blob/9f4aa7461375edee90bd3e326ad88c530ad16024/README.md,https://github.com/google/lisp-koans/blob/fa286eb6a98b0ab463c9c6da97b3113220d34216/test-framework.lisp#L55
fswatch,repo,README.md,.,.,.,.,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/lisp-koans/blob/9f4aa7461375edee90bd3e326ad88c530ad16024/README.md,https://github.com/google/lisp-koans/blob/fa286eb6a98b0ab463c9c6da97b3113220d34216/meditate-macos.sh#L42
meditate-linux.sh,repo,README.md,.,.,.,.,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/lisp-koans/blob/9f4aa7461375edee90bd3e326ad88c530ad16024/README.md,code_element is a file name
meditate-macos.sh,repo,README.md,.,.,.,.,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/lisp-koans/blob/9f4aa7461375edee90bd3e326ad88c530ad16024/README.md,code_element is a file name
meditate.sh,repo,README.md,.,.,.,.,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/lisp-koans/blob/9f4aa7461375edee90bd3e326ad88c530ad16024/README.md,https://github.com/google/lisp-koans/blob/642da0e81823480b7b1b6b819dbc8dc9dfceb5f0/meditate.sh#L4
API,wiki,Home.md,.,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/lisp-koans/wiki/Home/60398fc835f3d7160e0f3801d0a4b30f98d5fee0,https://github.com/google/lisp-koans/blob/9a8f29fdd08f78d46f612e8d34d87da6dbd86618/README#L61
