code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,rev_34,rev_35,rev_36,rev_37,rev_38,rev_39,rev_40,rev_41,rev_42,rev_43,rev_44,rev_45,rev_46,rev_47,rev_48,rev_49,rev_50,rev_51,rev_52,rev_53,rev_54,rev_55,rev_56,rev_57,rev_58,rev_59,rev_60,rev_61,rev_62,rev_63,rev_64,rev_65,rev_66,rev_67,rev_68,rev_69,rev_70,rev_71,rev_72,rev_73,rev_74,rev_75,rev_76,rev_77,rev_78,rev_79,rev_80,rev_81,rev_82,rev_83,rev_84,rev_85,rev_86,rev_87,rev_88,rev_89,rev_90,rev_91,rev_92,rev_93,rev_94,rev_95,doc_link,source_link
ANY,repo,README.md,41,41,41,41,41,41,41,41,41,41,41,41,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,41,44,44,41,41,41,41,41,41,41,41,41,44,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,https://github.com/google/localtoast/blob/4f65e113a94b77bda109efe8b5a996b78ce70598/README.md,https://github.com/google/localtoast/blob/a18280843aef0e3a1fa8bdbef33983365c2f40b0/sqlquerier/sql_querier_test.go#L11
AS,repo,README.md,41,41,41,41,41,41,41,41,41,41,41,41,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,41,44,44,41,41,41,41,41,41,41,41,41,44,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,https://github.com/google/localtoast/blob/4f65e113a94b77bda109efe8b5a996b78ce70598/README.md,https://github.com/google/localtoast/blob/a18280843aef0e3a1fa8bdbef33983365c2f40b0/sqlquerier/sql_querier_test.go#L10
BASIS,repo,README.md,41,41,41,41,41,41,41,41,41,41,41,41,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,41,44,44,41,41,41,41,41,41,41,41,41,44,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,https://github.com/google/localtoast/blob/4f65e113a94b77bda109efe8b5a996b78ce70598/README.md,https://github.com/google/localtoast/blob/a18280843aef0e3a1fa8bdbef33983365c2f40b0/sqlquerier/sql_querier_test.go#L10
CIS,repo,README.md,12,12,12,12,12,12,12,12,12,12,12,12,8,8,8,8,8,11,11,11,11,11,11,11,11,11,11,11,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,16,20,20,10,10,9,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,536,537,537,537,537,537,https://github.com/google/localtoast/blob/4f65e113a94b77bda109efe8b5a996b78ce70598/README.md,https://github.com/google/localtoast/blob/a18280843aef0e3a1fa8bdbef33983365c2f40b0/scannerlib/scanner_test.go#L223
CONDITIONS,repo,README.md,43,43,43,43,43,43,43,43,43,43,43,43,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,43,46,46,43,43,43,43,43,43,43,43,43,46,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,https://github.com/google/localtoast/blob/4f65e113a94b77bda109efe8b5a996b78ce70598/README.md,https://github.com/google/localtoast/blob/a18280843aef0e3a1fa8bdbef33983365c2f40b0/sqlquerier/sql_querier_test.go#L11
IS,repo,README.md,41,41,41,41,41,41,41,41,41,41,41,41,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,41,44,44,41,41,41,41,41,41,41,41,41,44,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,https://github.com/google/localtoast/blob/4f65e113a94b77bda109efe8b5a996b78ce70598/README.md,https://github.com/google/localtoast/blob/a18280843aef0e3a1fa8bdbef33983365c2f40b0/sqlquerier/sql_querier_test.go#L10
KIND,repo,README.md,41,41,41,41,41,41,41,41,41,41,41,41,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,41,44,44,41,41,41,41,41,41,41,41,41,44,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,https://github.com/google/localtoast/blob/4f65e113a94b77bda109efe8b5a996b78ce70598/README.md,https://github.com/google/localtoast/blob/a18280843aef0e3a1fa8bdbef33983365c2f40b0/sqlquerier/sql_querier_test.go#L11
LICENSE,repo,README.md,42,42,42,42,42,42,42,42,42,42,42,42,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,42,45,45,42,42,42,42,41,41,41,41,41,44,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,https://github.com/google/localtoast/blob/4f65e113a94b77bda109efe8b5a996b78ce70598/README.md,https://github.com/google/localtoast/blob/a18280843aef0e3a1fa8bdbef33983365c2f40b0/sqlquerier/sql_querier_test.go#L7
OF,repo,README.md,42,42,42,42,42,42,42,42,42,42,42,42,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,42,45,45,42,42,42,42,42,42,42,42,42,45,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,https://github.com/google/localtoast/blob/4f65e113a94b77bda109efe8b5a996b78ce70598/README.md,https://github.com/google/localtoast/blob/a18280843aef0e3a1fa8bdbef33983365c2f40b0/sqlquerier/sql_querier_test.go#L11
OR,repo,README.md,55,55,55,55,55,55,55,55,55,55,55,55,54,54,54,54,54,58,58,58,58,58,58,58,58,58,58,58,59,62,62,59,59,59,59,59,59,59,59,59,62,59,59,59,59,59,63,67,67,58,57,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,https://github.com/google/localtoast/blob/4f65e113a94b77bda109efe8b5a996b78ce70598/README.md,https://github.com/google/localtoast/blob/a18280843aef0e3a1fa8bdbef33983365c2f40b0/sqlquerier/sql_querier_test.go#L11
OS,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,87,87,87,87,87,87,87,87,89,89,89,88,88,88,88,88,88,385,385,385,385,385,385,https://github.com/google/localtoast/blob/4f65e113a94b77bda109efe8b5a996b78ce70598/README.md,https://github.com/google/localtoast/blob/a18280843aef0e3a1fa8bdbef33983365c2f40b0/scannerlib/proto/api.proto#L97
ScanAPIProvider,repo,README.md,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,8,8,https://github.com/google/localtoast/blob/4f65e113a94b77bda109efe8b5a996b78ce70598/README.md,https://github.com/google/localtoast/blob/a18280843aef0e3a1fa8bdbef33983365c2f40b0/scannerlib/scanner.go#L36
WARRANTIES,repo,README.md,41,41,41,41,41,41,41,41,41,41,41,41,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,41,44,44,41,41,41,41,41,41,41,41,41,44,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,https://github.com/google/localtoast/blob/4f65e113a94b77bda109efe8b5a996b78ce70598/README.md,https://github.com/google/localtoast/blob/a18280843aef0e3a1fa8bdbef33983365c2f40b0/sqlquerier/sql_querier_test.go#L11
