code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,doc_link,source_link
ANY,repo,README.md,2,2,2,2,https://github.com/google/longbet/blob/37bcff92fbf233cd1279cd67c34cd2b4593c6f35/README.md,https://github.com/google/longbet/blob/ee23e6ed18c76987f51cb6d3ec231ed90d09f8bc/LICENSE#L147
AS,repo,README.md,2,2,2,2,https://github.com/google/longbet/blob/37bcff92fbf233cd1279cd67c34cd2b4593c6f35/README.md,https://github.com/google/longbet/blob/ee23e6ed18c76987f51cb6d3ec231ed90d09f8bc/LICENSE#L146
BASIS,repo,README.md,2,2,2,2,https://github.com/google/longbet/blob/37bcff92fbf233cd1279cd67c34cd2b4593c6f35/README.md,https://github.com/google/longbet/blob/ee23e6ed18c76987f51cb6d3ec231ed90d09f8bc/LICENSE#L146
CONDITIONS,repo,README.md,4,4,4,4,https://github.com/google/longbet/blob/37bcff92fbf233cd1279cd67c34cd2b4593c6f35/README.md,https://github.com/google/longbet/blob/ee23e6ed18c76987f51cb6d3ec231ed90d09f8bc/LICENSE#L6
IS,repo,README.md,2,2,2,2,https://github.com/google/longbet/blob/37bcff92fbf233cd1279cd67c34cd2b4593c6f35/README.md,https://github.com/google/longbet/blob/ee23e6ed18c76987f51cb6d3ec231ed90d09f8bc/LICENSE#L146
KIND,repo,README.md,2,2,2,2,https://github.com/google/longbet/blob/37bcff92fbf233cd1279cd67c34cd2b4593c6f35/README.md,https://github.com/google/longbet/blob/ee23e6ed18c76987f51cb6d3ec231ed90d09f8bc/LICENSE#L147
LICENSE,repo,README.md,2,2,2,3,https://github.com/google/longbet/blob/37bcff92fbf233cd1279cd67c34cd2b4593c6f35/README.md,https://github.com/google/longbet/blob/ee23e6ed18c76987f51cb6d3ec231ed90d09f8bc/LICENSE#L196
OF,repo,README.md,3,3,3,3,https://github.com/google/longbet/blob/37bcff92fbf233cd1279cd67c34cd2b4593c6f35/README.md,https://github.com/google/longbet/blob/ee23e6ed18c76987f51cb6d3ec231ed90d09f8bc/LICENSE#L147
OR,repo,README.md,2,2,2,2,https://github.com/google/longbet/blob/37bcff92fbf233cd1279cd67c34cd2b4593c6f35/README.md,https://github.com/google/longbet/blob/ee23e6ed18c76987f51cb6d3ec231ed90d09f8bc/LICENSE#L147
WARRANTIES,repo,README.md,2,2,2,2,https://github.com/google/longbet/blob/37bcff92fbf233cd1279cd67c34cd2b4593c6f35/README.md,https://github.com/google/longbet/blob/ee23e6ed18c76987f51cb6d3ec231ed90d09f8bc/LICENSE#L147
WITHOUT,repo,README.md,2,2,2,2,https://github.com/google/longbet/blob/37bcff92fbf233cd1279cd67c34cd2b4593c6f35/README.md,https://github.com/google/longbet/blob/ee23e6ed18c76987f51cb6d3ec231ed90d09f8bc/LICENSE#L147
