code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,doc_link,source_link
-output_prefix,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,https://github.com/google/medical_claims_tools/blob/961426a144e5f5a49245fde61bd219a719217ab4/README.md,https://github.com/google/medical_claims_tools/blob/918019feccf3a85f2f06d398941c022a0f551cb2/docs/periodic_gcp_ingestion.md#L54
-since_file,repo,README.md,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/medical_claims_tools/blob/961426a144e5f5a49245fde61bd219a719217ab4/README.md,https://github.com/google/medical_claims_tools/blob/918019feccf3a85f2f06d398941c022a0f551cb2/docs/periodic_gcp_ingestion.md#L54
09T11:00:00,repo,README.md,22,22,22,23,23,23,23,23,23,23,23,23,24,24,24,37,37,49,49,49,49,49,49,49,49,49,49,https://github.com/google/medical_claims_tools/blob/961426a144e5f5a49245fde61bd219a719217ab4/README.md,https://github.com/google/medical_claims_tools/blob/918019feccf3a85f2f06d398941c022a0f551cb2/fhir/time_test.go#L47
API,repo,README.md,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,36,36,36,36,36,36,36,40,42,42,42,42,https://github.com/google/medical_claims_tools/blob/961426a144e5f5a49245fde61bd219a719217ab4/README.md,https://github.com/google/medical_claims_tools/blob/918019feccf3a85f2f06d398941c022a0f551cb2/fhirstore/uploader_test.go#L147
BCDA,repo,README.md,57,57,57,57,57,57,57,57,57,57,59,59,61,61,61,63,63,64,63,63,63,63,63,63,63,63,63,https://github.com/google/medical_claims_tools/blob/961426a144e5f5a49245fde61bd219a719217ab4/README.md,https://github.com/google/medical_claims_tools/blob/918019feccf3a85f2f06d398941c022a0f551cb2/fhir/rectify_test.go#L37
BigQuery,repo,README.md,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,https://github.com/google/medical_claims_tools/blob/961426a144e5f5a49245fde61bd219a719217ab4/README.md,https://github.com/google/medical_claims_tools/blob/918019feccf3a85f2f06d398941c022a0f551cb2/docs/periodic_gcp_ingestion.md#L4
FHIR,repo,README.md,77,77,77,77,77,77,77,77,77,77,78,78,78,78,78,78,78,79,86,86,86,86,90,95,95,95,95,https://github.com/google/medical_claims_tools/blob/961426a144e5f5a49245fde61bd219a719217ab4/README.md,https://github.com/google/medical_claims_tools/blob/918019feccf3a85f2f06d398941c022a0f551cb2/internal/testhelpers/fhirstore.go#L22
GCP,repo,README.md,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,15,15,15,15,https://github.com/google/medical_claims_tools/blob/961426a144e5f5a49245fde61bd219a719217ab4/README.md,https://github.com/google/medical_claims_tools/blob/918019feccf3a85f2f06d398941c022a0f551cb2/fhirstore/fhirstore.go#L15
GitHub,repo,README.md,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/medical_claims_tools/blob/961426a144e5f5a49245fde61bd219a719217ab4/README.md,https://github.com/google/medical_claims_tools/blob/918019feccf3a85f2f06d398941c022a0f551cb2/docs/periodic_gcp_ingestion.md#L43
NDJSON,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12,12,12,12,https://github.com/google/medical_claims_tools/blob/961426a144e5f5a49245fde61bd219a719217ab4/README.md,https://github.com/google/medical_claims_tools/blob/918019feccf3a85f2f06d398941c022a0f551cb2/internal/testhelpers/fhirstore.go#L115
TODO(b/199179306),repo,README.md,2,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://github.com/google/medical_claims_tools/blob/961426a144e5f5a49245fde61bd219a719217ab4/README.md,https://github.com/google/medical_claims_tools/blob/12f94cc2ed37be5ce2edc94fdde0c4890b5225ca/docs/periodic_gcp_ingestion.md#L60
VM,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9,9,9,9,https://github.com/google/medical_claims_tools/blob/961426a144e5f5a49245fde61bd219a719217ab4/README.md,https://github.com/google/medical_claims_tools/blob/918019feccf3a85f2f06d398941c022a0f551cb2/docs/periodic_gcp_ingestion.md#L34
bcda_fetch,repo,README.md,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,12,12,12,12,12,12,12,12,18,18,18,18,https://github.com/google/medical_claims_tools/blob/961426a144e5f5a49245fde61bd219a719217ab4/README.md,https://github.com/google/medical_claims_tools/blob/918019feccf3a85f2f06d398941c022a0f551cb2/docs/periodic_gcp_ingestion.md#L4
