code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,doc_link,source_link
$PWD,repo,README.md,-,-,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/mentornet/blob/e7c8eb1c6048a823a3110d55a736c9ff616d4b4c/README.md,https://github.com/google/mentornet/blob/76d6be2db1be39714dec6db6bb3bcbb77855ce6e/commands/training_mentornet_command.sh#L16
$PYTHONPATH,repo,README.md,-,-,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/mentornet/blob/e7c8eb1c6048a823a3110d55a736c9ff616d4b4c/README.md,https://github.com/google/mentornet/blob/76d6be2db1be39714dec6db6bb3bcbb77855ce6e/commands/training_mentornet_command.sh#L16
--burn_in_epoch,repo,README.md,-,-,48,48,48,48,48,48,48,48,48,48,48,https://github.com/google/mentornet/blob/e7c8eb1c6048a823a3110d55a736c9ff616d4b4c/README.md,https://github.com/google/mentornet/blob/76d6be2db1be39714dec6db6bb3bcbb77855ce6e/commands/train_studentnet_resnet.sh#L102
--example_dropout_rates,repo,README.md,-,-,48,48,48,48,48,48,48,48,48,48,48,https://github.com/google/mentornet/blob/e7c8eb1c6048a823a3110d55a736c9ff616d4b4c/README.md,https://github.com/google/mentornet/blob/76d6be2db1be39714dec6db6bb3bcbb77855ce6e/commands/train_studentnet_resnet.sh#L103
--fixed_epoch_after_burn_in,repo,README.md,-,-,12,12,12,12,12,12,12,12,12,12,12,https://github.com/google/mentornet/blob/e7c8eb1c6048a823a3110d55a736c9ff616d4b4c/README.md,https://github.com/google/mentornet/blob/76d6be2db1be39714dec6db6bb3bcbb77855ce6e/commands/train_studentnet_resnet.sh#L408
--trained_mentornet_dir,repo,README.md,-,-,48,48,48,48,48,48,48,48,48,48,48,https://github.com/google/mentornet/blob/e7c8eb1c6048a823a3110d55a736c9ff616d4b4c/README.md,https://github.com/google/mentornet/blob/76d6be2db1be39714dec6db6bb3bcbb77855ce6e/commands/train_studentnet_resnet.sh#L99
0,repo,README.md,-,-,684,684,684,684,684,688,688,688,688,688,688,https://github.com/google/mentornet/blob/e7c8eb1c6048a823a3110d55a736c9ff616d4b4c/README.md,https://github.com/google/mentornet/blob/76d6be2db1be39714dec6db6bb3bcbb77855ce6e/requirements.txt#L2
0.5,repo,README.md,-,-,37,37,37,37,37,37,37,37,37,37,37,https://github.com/google/mentornet/blob/e7c8eb1c6048a823a3110d55a736c9ff616d4b4c/README.md,https://github.com/google/mentornet/blob/76d6be2db1be39714dec6db6bb3bcbb77855ce6e/commands/train_studentnet_resnet.sh#L309
0.7,repo,README.md,-,-,25,25,25,25,25,25,25,25,25,25,25,https://github.com/google/mentornet/blob/e7c8eb1c6048a823a3110d55a736c9ff616d4b4c/README.md,https://github.com/google/mentornet/blob/76d6be2db1be39714dec6db6bb3bcbb77855ce6e/commands/train_studentnet_resnet.sh#L100
CIFAR,repo,README.md,-,-,22,22,22,22,22,25,25,25,25,25,25,https://github.com/google/mentornet/blob/e7c8eb1c6048a823a3110d55a736c9ff616d4b4c/README.md,https://github.com/google/mentornet/blob/76d6be2db1be39714dec6db6bb3bcbb77855ce6e/commands/train_studentnet_resnet.sh#L24
