code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,rev_34,rev_35,rev_36,rev_37,rev_38,rev_39,rev_40,rev_41,rev_42,rev_43,rev_44,rev_45,rev_46,rev_47,rev_48,rev_49,rev_50,rev_51,rev_52,rev_53,rev_54,rev_55,rev_56,rev_57,rev_58,rev_59,rev_60,rev_61,rev_62,doc_link,source_link
API,repo,README.md,-,-,-,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,https://github.com/google/mlir-hs/blob/00dc535c3ce0b23a2ca2c178c39f5753f3787bfe/README.md,https://github.com/google/mlir-hs/blob/a1d0a937e691e8d90cb4ab9197abd7da5772e03d/test/MLIR/RewriteSpec.hs#L41
DCMAKE_BUILD_TYPE,repo,README.md,-,-,-,0,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/mlir-hs/blob/00dc535c3ce0b23a2ca2c178c39f5753f3787bfe/README.md,https://github.com/google/mlir-hs/blob/a1d0a937e691e8d90cb4ab9197abd7da5772e03d/.github/workflows/docs.yml#L48
DCMAKE_INSTALL_PREFIX,repo,README.md,-,-,-,0,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/mlir-hs/blob/00dc535c3ce0b23a2ca2c178c39f5753f3787bfe/README.md,https://github.com/google/mlir-hs/blob/a1d0a937e691e8d90cb4ab9197abd7da5772e03d/.github/workflows/docs.yml#L50
DLLVM_BUILD_EXAMPLES,repo,README.md,-,-,-,0,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/mlir-hs/blob/00dc535c3ce0b23a2ca2c178c39f5753f3787bfe/README.md,https://github.com/google/mlir-hs/blob/8a3a8f155abdc211d68ebd605d89c2a06383128d/.github/workflows/docs.yml#L49
DLLVM_BUILD_LLVM_DYLIB,repo,README.md,-,-,-,0,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,-,-,-,-,-,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/mlir-hs/blob/00dc535c3ce0b23a2ca2c178c39f5753f3787bfe/README.md,https://github.com/google/mlir-hs/blob/a1d0a937e691e8d90cb4ab9197abd7da5772e03d/.github/workflows/docs.yml#L48
DLLVM_ENABLE_PROJECTS,repo,README.md,-,-,-,0,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/mlir-hs/blob/00dc535c3ce0b23a2ca2c178c39f5753f3787bfe/README.md,https://github.com/google/mlir-hs/blob/a1d0a937e691e8d90cb4ab9197abd7da5772e03d/.github/workflows/docs.yml#L49
DMLIR_BUILD_MLIR_C_DYLIB,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/mlir-hs/blob/00dc535c3ce0b23a2ca2c178c39f5753f3787bfe/README.md,https://github.com/google/mlir-hs/blob/a1d0a937e691e8d90cb4ab9197abd7da5772e03d/.github/workflows/docs.yml#L48
LD_LIBRARY_PATH,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,https://github.com/google/mlir-hs/blob/00dc535c3ce0b23a2ca2c178c39f5753f3787bfe/README.md,https://github.com/google/mlir-hs/blob/a1d0a937e691e8d90cb4ab9197abd7da5772e03d/.github/workflows/docs.yml#L60
LICENSE,repo,README.md,-,-,-,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,28,29,29,29,30,30,30,30,30,30,30,30,30,30,30,30,31,31,31,31,31,31,31,31,31,31,31,30,30,30,30,30,30,31,31,31,31,31,31,https://github.com/google/mlir-hs/blob/00dc535c3ce0b23a2ca2c178c39f5753f3787bfe/README.md,https://github.com/google/mlir-hs/blob/a1d0a937e691e8d90cb4ab9197abd7da5772e03d/test/MLIR/Test/Generators.hs#L7
LLVM,repo,README.md,-,-,-,1,2,3,3,3,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,12,12,12,12,17,17,17,17,17,18,18,19,19,19,19,19,19,19,19,19,19,19,19,19,19,20,20,15,15,15,15,15,15,15,15,15,15,15,15,https://github.com/google/mlir-hs/blob/00dc535c3ce0b23a2ca2c178c39f5753f3787bfe/README.md,https://github.com/google/mlir-hs/blob/a1d0a937e691e8d90cb4ab9197abd7da5772e03d/test/MLIR/NativeSpec.hs#L141
MLIR,repo,README.md,193,193,194,194,194,195,195,195,230,230,231,234,234,234,234,234,234,234,234,236,236,243,244,253,257,261,261,263,263,263,263,263,263,263,271,278,280,284,284,292,292,292,292,293,293,308,308,308,308,308,307,307,307,307,307,307,313,313,313,313,313,313,https://github.com/google/mlir-hs/blob/00dc535c3ce0b23a2ca2c178c39f5753f3787bfe/README.md,https://github.com/google/mlir-hs/blob/a1d0a937e691e8d90cb4ab9197abd7da5772e03d/test/MLIR/Test/Generators.hs#L16
OFF,repo,README.md,-,-,-,0,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/mlir-hs/blob/00dc535c3ce0b23a2ca2c178c39f5753f3787bfe/README.md,https://github.com/google/mlir-hs/blob/8a3a8f155abdc211d68ebd605d89c2a06383128d/.github/workflows/docs.yml#L49
ON,repo,README.md,-,-,-,0,1,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,6,6,6,6,6,6,6,6,6,6,6,6,https://github.com/google/mlir-hs/blob/00dc535c3ce0b23a2ca2c178c39f5753f3787bfe/README.md,https://github.com/google/mlir-hs/blob/a1d0a937e691e8d90cb4ab9197abd7da5772e03d/.github/workflows/docs.yml#L47
PATH,repo,README.md,-,-,-,0,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,https://github.com/google/mlir-hs/blob/00dc535c3ce0b23a2ca2c178c39f5753f3787bfe/README.md,https://github.com/google/mlir-hs/blob/a1d0a937e691e8d90cb4ab9197abd7da5772e03d/.github/workflows/docs.yml#L46
