code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,rev_34,rev_35,rev_36,rev_37,rev_38,rev_39,rev_40,rev_41,rev_42,rev_43,doc_link,source_link
NPM_TOKEN,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/node-dependency-analysis/blob/600661b82e25a933186283f663cce5422a533a56/README.md,https://github.com/google/node-dependency-analysis/blob/600661b82e25a933186283f663cce5422a533a56/test/test-analysis.ts#L323
doBadThings,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/node-dependency-analysis/blob/600661b82e25a933186283f663cce5422a533a56/README.md,https://github.com/google/node-dependency-analysis/blob/600661b82e25a933186283f663cce5422a533a56/test/test-analysis.ts#L292
eval(),repo,README.md,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/node-dependency-analysis/blob/600661b82e25a933186283f663cce5422a533a56/README.md,https://github.com/google/node-dependency-analysis/blob/600661b82e25a933186283f663cce5422a533a56/test/test-analysis.ts#L239
global,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,18,18,18,23,23,23,https://github.com/google/node-dependency-analysis/blob/600661b82e25a933186283f663cce5422a533a56/README.md,https://github.com/google/node-dependency-analysis/blob/600661b82e25a933186283f663cce5422a533a56/test/test-analysis.ts#L197
child_process,wiki,What-your-output-means.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,5,5,https://github.com/google/node-dependency-analysis/wiki/What-your-output-means/364ba38ce6f15fb295feeb9ae3eda02dcda087d8,https://github.com/google/node-dependency-analysis/blob/600661b82e25a933186283f663cce5422a533a56/test/test-analysis.ts#L82
dynamicArgument,wiki,What-your-output-means.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,6,6,https://github.com/google/node-dependency-analysis/wiki/What-your-output-means/364ba38ce6f15fb295feeb9ae3eda02dcda087d8,https://github.com/google/node-dependency-analysis/blob/600661b82e25a933186283f663cce5422a533a56/test/test-analysis.ts#L117
dynamicProperty,wiki,What-your-output-means.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,4,4,https://github.com/google/node-dependency-analysis/wiki/What-your-output-means/364ba38ce6f15fb295feeb9ae3eda02dcda087d8,https://github.com/google/node-dependency-analysis/blob/600661b82e25a933186283f663cce5422a533a56/test/test-analysis.ts#L310
eval(),wiki,What-your-output-means.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,1,https://github.com/google/node-dependency-analysis/wiki/What-your-output-means/364ba38ce6f15fb295feeb9ae3eda02dcda087d8,https://github.com/google/node-dependency-analysis/blob/600661b82e25a933186283f663cce5422a533a56/test/test-analysis.ts#L239
functionCall,wiki,What-your-output-means.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,6,6,https://github.com/google/node-dependency-analysis/wiki/What-your-output-means/364ba38ce6f15fb295feeb9ae3eda02dcda087d8,https://github.com/google/node-dependency-analysis/blob/600661b82e25a933186283f663cce5422a533a56/test/test-analysis.ts#L244
propertyAccess,wiki,What-your-output-means.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,5,5,https://github.com/google/node-dependency-analysis/wiki/What-your-output-means/364ba38ce6f15fb295feeb9ae3eda02dcda087d8,https://github.com/google/node-dependency-analysis/blob/600661b82e25a933186283f663cce5422a533a56/test/test-analysis.ts#L272
