code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,rev_34,rev_35,rev_36,rev_37,rev_38,rev_39,rev_40,rev_41,rev_42,rev_43,rev_44,rev_45,doc_link,source_link
",",repo,README.md,-,-,-,-,2581,2581,2581,2618,2618,2618,2620,2622,2622,3106,3106,3106,3106,3175,3192,3194,3194,3195,3196,3196,3196,3199,3199,3199,3199,3199,3199,3200,3200,3280,3296,3303,3303,3303,3309,3309,3329,3329,3329,3329,3329,https://github.com/google/nodejs-container-image-builder/blob/70f6e3bbe7d701fee69215e8553d87bbb622295a/README.md,https://github.com/google/nodejs-container-image-builder/blob/bafaf93e172cdd41e3e84d7bbbb134053c2a8cfc/tsconfig.json#L2
0o644,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/nodejs-container-image-builder/blob/70f6e3bbe7d701fee69215e8553d87bbb622295a/README.md,https://github.com/google/nodejs-container-image-builder/blob/bafaf93e172cdd41e3e84d7bbbb134053c2a8cfc/src/packer.ts#L280
AND,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/nodejs-container-image-builder/blob/70f6e3bbe7d701fee69215e8553d87bbb622295a/README.md,https://github.com/google/nodejs-container-image-builder/blob/bafaf93e172cdd41e3e84d7bbbb134053c2a8cfc/LICENSE#L5
CustomFile,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,https://github.com/google/nodejs-container-image-builder/blob/70f6e3bbe7d701fee69215e8553d87bbb622295a/README.md,https://github.com/google/nodejs-container-image-builder/blob/bafaf93e172cdd41e3e84d7bbbb134053c2a8cfc/test/packer.ts#L6
CustomFiles,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/nodejs-container-image-builder/blob/70f6e3bbe7d701fee69215e8553d87bbb622295a/README.md,https://github.com/google/nodejs-container-image-builder/blob/bafaf93e172cdd41e3e84d7bbbb134053c2a8cfc/CHANGELOG.md#L74
Date(),repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/nodejs-container-image-builder/blob/70f6e3bbe7d701fee69215e8553d87bbb622295a/README.md,https://github.com/google/nodejs-container-image-builder/blob/bafaf93e172cdd41e3e84d7bbbb134053c2a8cfc/src/packer.ts#L266
GCR,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/nodejs-container-image-builder/blob/70f6e3bbe7d701fee69215e8553d87bbb622295a/README.md,https://github.com/google/nodejs-container-image-builder/blob/bafaf93e172cdd41e3e84d7bbbb134053c2a8cfc/src/auth/gcr.ts#L63
GCRAuthOptions,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,4,4,4,4,4,4,4,4,4,https://github.com/google/nodejs-container-image-builder/blob/70f6e3bbe7d701fee69215e8553d87bbb622295a/README.md,https://github.com/google/nodejs-container-image-builder/blob/bafaf93e172cdd41e3e84d7bbbb134053c2a8cfc/src/index.ts#L20
GOOGLE_APPLICATION_CREDENTIALS,repo,README.md,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,https://github.com/google/nodejs-container-image-builder/blob/70f6e3bbe7d701fee69215e8553d87bbb622295a/README.md,https://github.com/google/nodejs-container-image-builder/blob/bafaf93e172cdd41e3e84d7bbbb134053c2a8cfc/test/test.ts#L126
GcrClient,repo,README.md,5,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/nodejs-container-image-builder/blob/70f6e3bbe7d701fee69215e8553d87bbb622295a/README.md,https://github.com/google/nodejs-container-image-builder/blob/8a771c2ccd940ae6c8f4fe27b08687dfdd304646/src/registry.ts#L31
HOME,repo,README.md,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/nodejs-container-image-builder/blob/70f6e3bbe7d701fee69215e8553d87bbb622295a/README.md,https://github.com/google/nodejs-container-image-builder/blob/bafaf93e172cdd41e3e84d7bbbb134053c2a8cfc/src/credentials-helper.ts#L24
Image,repo,README.md,-,-,-,-,-,-,-,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,13,13,13,13,13,13,13,13,13,16,16,16,16,16,16,16,16,16,16,16,https://github.com/google/nodejs-container-image-builder/blob/70f6e3bbe7d701fee69215e8553d87bbb622295a/README.md,https://github.com/google/nodejs-container-image-builder/blob/bafaf93e172cdd41e3e84d7bbbb134053c2a8cfc/test/test.ts#L20
ImageConfig,repo,README.md,-,-,-,-,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,https://github.com/google/nodejs-container-image-builder/blob/70f6e3bbe7d701fee69215e8553d87bbb622295a/README.md,https://github.com/google/nodejs-container-image-builder/blob/bafaf93e172cdd41e3e84d7bbbb134053c2a8cfc/src/registry.ts#L482
