code_element,page_type,page_name,rev_1,rev_2,doc_link,source_link
/orismologer,repo,README.md,-,1,https://github.com/google/orismologer/blob/1a53c0f85e862d08b20858e9c658108d42b2dfbe/README.md,https://github.com/google/orismologer/blob/1a53c0f85e862d08b20858e9c658108d42b2dfbe/oc_translate.go#L27
/proto,repo,README.md,-,4,https://github.com/google/orismologer/blob/1a53c0f85e862d08b20858e9c658108d42b2dfbe/README.md,https://github.com/google/orismologer/blob/1a53c0f85e862d08b20858e9c658108d42b2dfbe/utils/utils.go#L27
1000,repo,README.md,-,9,https://github.com/google/orismologer/blob/1a53c0f85e862d08b20858e9c658108d42b2dfbe/README.md,https://github.com/google/orismologer/blob/1a53c0f85e862d08b20858e9c658108d42b2dfbe/testdata/orismologer_test_transformations.pb#L50
ANY,repo,README.md,2,-,https://github.com/google/orismologer/blob/1a53c0f85e862d08b20858e9c658108d42b2dfbe/README.md,https://github.com/google/orismologer/blob/c0af3a23e1d3ea14885d7f94aa19617316acf063/LICENSE#L147
AS,repo,README.md,2,-,https://github.com/google/orismologer/blob/1a53c0f85e862d08b20858e9c658108d42b2dfbe/README.md,https://github.com/google/orismologer/blob/c0af3a23e1d3ea14885d7f94aa19617316acf063/LICENSE#L146
BASIS,repo,README.md,2,-,https://github.com/google/orismologer/blob/1a53c0f85e862d08b20858e9c658108d42b2dfbe/README.md,https://github.com/google/orismologer/blob/c0af3a23e1d3ea14885d7f94aa19617316acf063/LICENSE#L146
CLI,repo,README.md,-,2,https://github.com/google/orismologer/blob/1a53c0f85e862d08b20858e9c658108d42b2dfbe/README.md,https://github.com/google/orismologer/blob/1a53c0f85e862d08b20858e9c658108d42b2dfbe/proto/paths.proto#L61
CONDITIONS,repo,README.md,4,-,https://github.com/google/orismologer/blob/1a53c0f85e862d08b20858e9c658108d42b2dfbe/README.md,https://github.com/google/orismologer/blob/c0af3a23e1d3ea14885d7f94aa19617316acf063/LICENSE#L6
GitHub,repo,README.md,2,-,https://github.com/google/orismologer/blob/1a53c0f85e862d08b20858e9c658108d42b2dfbe/README.md,https://github.com/google/orismologer/blob/c0af3a23e1d3ea14885d7f94aa19617316acf063/CONTRIBUTING.md#L21
IS,repo,README.md,2,-,https://github.com/google/orismologer/blob/1a53c0f85e862d08b20858e9c658108d42b2dfbe/README.md,https://github.com/google/orismologer/blob/c0af3a23e1d3ea14885d7f94aa19617316acf063/LICENSE#L146
KB,repo,README.md,-,2,https://github.com/google/orismologer/blob/1a53c0f85e862d08b20858e9c658108d42b2dfbe/README.md,https://github.com/google/orismologer/blob/1a53c0f85e862d08b20858e9c658108d42b2dfbe/proto/transformations.pb#L98
KIND,repo,README.md,2,-,https://github.com/google/orismologer/blob/1a53c0f85e862d08b20858e9c658108d42b2dfbe/README.md,https://github.com/google/orismologer/blob/c0af3a23e1d3ea14885d7f94aa19617316acf063/LICENSE#L147
LICENSE,repo,README.md,2,-,https://github.com/google/orismologer/blob/1a53c0f85e862d08b20858e9c658108d42b2dfbe/README.md,https://github.com/google/orismologer/blob/c0af3a23e1d3ea14885d7f94aa19617316acf063/LICENSE#L196
NB,repo,README.md,-,3,https://github.com/google/orismologer/blob/1a53c0f85e862d08b20858e9c658108d42b2dfbe/README.md,https://github.com/google/orismologer/blob/1a53c0f85e862d08b20858e9c658108d42b2dfbe/proto/mappings.pb#L71
NocPath,repo,README.md,-,32,https://github.com/google/orismologer/blob/1a53c0f85e862d08b20858e9c658108d42b2dfbe/README.md,https://github.com/google/orismologer/blob/1a53c0f85e862d08b20858e9c658108d42b2dfbe/proto/paths.proto#L41
NocPaths,repo,README.md,-,8,https://github.com/google/orismologer/blob/1a53c0f85e862d08b20858e9c658108d42b2dfbe/README.md,https://github.com/google/orismologer/blob/1a53c0f85e862d08b20858e9c658108d42b2dfbe/proto/paths.proto#L65
OF,repo,README.md,3,-,https://github.com/google/orismologer/blob/1a53c0f85e862d08b20858e9c658108d42b2dfbe/README.md,https://github.com/google/orismologer/blob/c0af3a23e1d3ea14885d7f94aa19617316acf063/LICENSE#L147
OID,repo,README.md,-,4,https://github.com/google/orismologer/blob/1a53c0f85e862d08b20858e9c658108d42b2dfbe/README.md,https://github.com/google/orismologer/blob/1a53c0f85e862d08b20858e9c658108d42b2dfbe/proto/transformations.pb#L82
OR,repo,README.md,2,-,https://github.com/google/orismologer/blob/1a53c0f85e862d08b20858e9c658108d42b2dfbe/README.md,https://github.com/google/orismologer/blob/c0af3a23e1d3ea14885d7f94aa19617316acf063/LICENSE#L147
OpenConfig,repo,README.md,-,29,https://github.com/google/orismologer/blob/1a53c0f85e862d08b20858e9c658108d42b2dfbe/README.md,https://github.com/google/orismologer/blob/1a53c0f85e862d08b20858e9c658108d42b2dfbe/proto/paths.proto#L20
SNMP,repo,README.md,-,5,https://github.com/google/orismologer/blob/1a53c0f85e862d08b20858e9c658108d42b2dfbe/README.md,https://github.com/google/orismologer/blob/1a53c0f85e862d08b20858e9c658108d42b2dfbe/proto/paths.proto#L51
WARRANTIES,repo,README.md,2,-,https://github.com/google/orismologer/blob/1a53c0f85e862d08b20858e9c658108d42b2dfbe/README.md,https://github.com/google/orismologer/blob/c0af3a23e1d3ea14885d7f94aa19617316acf063/LICENSE#L147
WITHOUT,repo,README.md,2,-,https://github.com/google/orismologer/blob/1a53c0f85e862d08b20858e9c658108d42b2dfbe/README.md,https://github.com/google/orismologer/blob/c0af3a23e1d3ea14885d7f94aa19617316acf063/LICENSE#L147
bind,repo,README.md,-,82,https://github.com/google/orismologer/blob/1a53c0f85e862d08b20858e9c658108d42b2dfbe/README.md,https://github.com/google/orismologer/blob/1a53c0f85e862d08b20858e9c658108d42b2dfbe/testdata/orismologer_test_transformations.pb#L19
functions/functions.go,repo,README.md,-,1,https://github.com/google/orismologer/blob/1a53c0f85e862d08b20858e9c658108d42b2dfbe/README.md,code_element is a file name
noc_paths,repo,README.md,-,32,https://github.com/google/orismologer/blob/1a53c0f85e862d08b20858e9c658108d42b2dfbe/README.md,https://github.com/google/orismologer/blob/1a53c0f85e862d08b20858e9c658108d42b2dfbe/testdata/orismologer_test_transformations.pb#L22
oc_translate,repo,README.md,-,1,https://github.com/google/orismologer/blob/1a53c0f85e862d08b20858e9c658108d42b2dfbe/README.md,https://github.com/google/orismologer/blob/1a53c0f85e862d08b20858e9c658108d42b2dfbe/oc_translate.go#L18
oc_translate.go,repo,README.md,-,1,https://github.com/google/orismologer/blob/1a53c0f85e862d08b20858e9c658108d42b2dfbe/README.md,code_element is a file name
orismologer,repo,README.md,-,18,https://github.com/google/orismologer/blob/1a53c0f85e862d08b20858e9c658108d42b2dfbe/README.md,https://github.com/google/orismologer/blob/1a53c0f85e862d08b20858e9c658108d42b2dfbe/utils/utils.go#L27
proto/mappings.pb,repo,README.md,-,2,https://github.com/google/orismologer/blob/1a53c0f85e862d08b20858e9c658108d42b2dfbe/README.md,https://github.com/google/orismologer/blob/1a53c0f85e862d08b20858e9c658108d42b2dfbe/oc_translate.go#L31
