code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,doc_link,source_link
A,repo,README.md,-,-,-,10,10,10,10,10,10,10,10,10,10,10,10,10,10,https://github.com/google/osqp-cpp/blob/c8596e85ae538e0900df59bd30edc2121c539b56/README.md,https://github.com/google/osqp-cpp/blob/8cd904e2b49c24dd41d11f8c6e0adb113dd5e26c/test/osqp++_test.cc#L111
ADMM,repo,README.md,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,https://github.com/google/osqp-cpp/blob/c8596e85ae538e0900df59bd30edc2121c539b56/README.md,https://github.com/google/osqp-cpp/blob/8cd904e2b49c24dd41d11f8c6e0adb113dd5e26c/include/osqp++.h#L234
Eigen3,repo,README.md,-,-,-,-,-,-,5,5,5,5,5,5,5,5,5,5,5,https://github.com/google/osqp-cpp/blob/c8596e85ae538e0900df59bd30edc2121c539b56/README.md,https://github.com/google/osqp-cpp/blob/8cd904e2b49c24dd41d11f8c6e0adb113dd5e26c/CMakeLists.txt#L44
FetchContent,repo,README.md,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/osqp-cpp/blob/c8596e85ae538e0900df59bd30edc2121c539b56/README.md,https://github.com/google/osqp-cpp/blob/8cd904e2b49c24dd41d11f8c6e0adb113dd5e26c/CMakeLists.txt#L27
GitHub,repo,README.md,-,-,-,-,-,-,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/osqp-cpp/blob/c8596e85ae538e0900df59bd30edc2121c539b56/README.md,https://github.com/google/osqp-cpp/blob/8cd904e2b49c24dd41d11f8c6e0adb113dd5e26c/CONTRIBUTING.md#L22
"Init(instance, settings)",repo,README.md,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,https://github.com/google/osqp-cpp/blob/c8596e85ae538e0900df59bd30edc2121c539b56/README.md,https://github.com/google/osqp-cpp/blob/8cd904e2b49c24dd41d11f8c6e0adb113dd5e26c/test/osqp++_test.cc#L59
OSQP,repo,README.md,35,35,35,35,35,35,36,36,36,39,39,39,39,39,39,39,39,https://github.com/google/osqp-cpp/blob/c8596e85ae538e0900df59bd30edc2121c539b56/README.md,https://github.com/google/osqp-cpp/blob/8cd904e2b49c24dd41d11f8c6e0adb113dd5e26c/test/osqp++_test.cc#L111
OSQPWorkspace,repo,README.md,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/osqp-cpp/blob/c8596e85ae538e0900df59bd30edc2121c539b56/README.md,https://github.com/google/osqp-cpp/blob/8cd904e2b49c24dd41d11f8c6e0adb113dd5e26c/src/osqp++.cc#L115
OsqpExitCode,repo,README.md,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,72,https://github.com/google/osqp-cpp/blob/c8596e85ae538e0900df59bd30edc2121c539b56/README.md,https://github.com/google/osqp-cpp/blob/8cd904e2b49c24dd41d11f8c6e0adb113dd5e26c/test/osqp++_test.cc#L160
OsqpInstance,repo,README.md,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,https://github.com/google/osqp-cpp/blob/c8596e85ae538e0900df59bd30edc2121c539b56/README.md,https://github.com/google/osqp-cpp/blob/8cd904e2b49c24dd41d11f8c6e0adb113dd5e26c/test/osqp++_test.cc#L48
