code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,doc_link,source_link
ANY,repo,README.md,2,-,-,-,https://github.com/google/overcoming-conflicting-data/blob/69c37bdb7026e6e466150f5e971f2b3b6702362a/README.md,https://github.com/google/overcoming-conflicting-data/blob/1867ea379bb20c0157c46074320672419562e826/LICENSE#L147
AS,repo,README.md,2,-,-,-,https://github.com/google/overcoming-conflicting-data/blob/69c37bdb7026e6e466150f5e971f2b3b6702362a/README.md,https://github.com/google/overcoming-conflicting-data/blob/1867ea379bb20c0157c46074320672419562e826/LICENSE#L146
BASIS,repo,README.md,2,-,-,-,https://github.com/google/overcoming-conflicting-data/blob/69c37bdb7026e6e466150f5e971f2b3b6702362a/README.md,https://github.com/google/overcoming-conflicting-data/blob/1867ea379bb20c0157c46074320672419562e826/LICENSE#L146
CONDITIONS,repo,README.md,4,-,-,-,https://github.com/google/overcoming-conflicting-data/blob/69c37bdb7026e6e466150f5e971f2b3b6702362a/README.md,https://github.com/google/overcoming-conflicting-data/blob/1867ea379bb20c0157c46074320672419562e826/LICENSE#L6
EMNLP,repo,README.md,-,-,-,1,https://github.com/google/overcoming-conflicting-data/blob/69c37bdb7026e6e466150f5e971f2b3b6702362a/README.md,https://github.com/google/overcoming-conflicting-data/blob/69c37bdb7026e6e466150f5e971f2b3b6702362a/LICENSE#L8
GitHub,repo,README.md,2,-,-,-,https://github.com/google/overcoming-conflicting-data/blob/69c37bdb7026e6e466150f5e971f2b3b6702362a/README.md,https://github.com/google/overcoming-conflicting-data/blob/1867ea379bb20c0157c46074320672419562e826/docs/contributing.md#L21
IS,repo,README.md,2,-,-,-,https://github.com/google/overcoming-conflicting-data/blob/69c37bdb7026e6e466150f5e971f2b3b6702362a/README.md,https://github.com/google/overcoming-conflicting-data/blob/1867ea379bb20c0157c46074320672419562e826/LICENSE#L146
KIND,repo,README.md,2,-,-,-,https://github.com/google/overcoming-conflicting-data/blob/69c37bdb7026e6e466150f5e971f2b3b6702362a/README.md,https://github.com/google/overcoming-conflicting-data/blob/1867ea379bb20c0157c46074320672419562e826/LICENSE#L147
LICENSE,repo,README.md,2,-,-,-,https://github.com/google/overcoming-conflicting-data/blob/69c37bdb7026e6e466150f5e971f2b3b6702362a/README.md,https://github.com/google/overcoming-conflicting-data/blob/1867ea379bb20c0157c46074320672419562e826/LICENSE#L196
OF,repo,README.md,3,-,-,-,https://github.com/google/overcoming-conflicting-data/blob/69c37bdb7026e6e466150f5e971f2b3b6702362a/README.md,https://github.com/google/overcoming-conflicting-data/blob/1867ea379bb20c0157c46074320672419562e826/LICENSE#L147
OR,repo,README.md,2,-,-,-,https://github.com/google/overcoming-conflicting-data/blob/69c37bdb7026e6e466150f5e971f2b3b6702362a/README.md,https://github.com/google/overcoming-conflicting-data/blob/1867ea379bb20c0157c46074320672419562e826/LICENSE#L147
TOP,repo,README.md,-,-,-,1,https://github.com/google/overcoming-conflicting-data/blob/69c37bdb7026e6e466150f5e971f2b3b6702362a/README.md,https://github.com/google/overcoming-conflicting-data/blob/69c37bdb7026e6e466150f5e971f2b3b6702362a/LICENSE#L1
WARRANTIES,repo,README.md,2,-,-,-,https://github.com/google/overcoming-conflicting-data/blob/69c37bdb7026e6e466150f5e971f2b3b6702362a/README.md,https://github.com/google/overcoming-conflicting-data/blob/1867ea379bb20c0157c46074320672419562e826/LICENSE#L147
WITHOUT,repo,README.md,2,-,-,-,https://github.com/google/overcoming-conflicting-data/blob/69c37bdb7026e6e466150f5e971f2b3b6702362a/README.md,https://github.com/google/overcoming-conflicting-data/blob/1867ea379bb20c0157c46074320672419562e826/LICENSE#L147
