code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,doc_link,source_link
ANY,repo,README.md,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,https://github.com/google/praxis/blob/e27d4be2b2a4213d9e7a36349018bd044e2159ba/README.md,https://github.com/google/praxis/blob/704e731391f3b9f555f14a9bff97b6606d0028cd/praxis/train_states.py#L12
AS,repo,README.md,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,https://github.com/google/praxis/blob/e27d4be2b2a4213d9e7a36349018bd044e2159ba/README.md,https://github.com/google/praxis/blob/704e731391f3b9f555f14a9bff97b6606d0028cd/praxis/train_states.py#L11
BASIS,repo,README.md,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,https://github.com/google/praxis/blob/e27d4be2b2a4213d9e7a36349018bd044e2159ba/README.md,https://github.com/google/praxis/blob/704e731391f3b9f555f14a9bff97b6606d0028cd/praxis/train_states.py#L11
CONDITIONS,repo,README.md,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,https://github.com/google/praxis/blob/e27d4be2b2a4213d9e7a36349018bd044e2159ba/README.md,https://github.com/google/praxis/blob/704e731391f3b9f555f14a9bff97b6606d0028cd/praxis/train_states.py#L12
IS,repo,README.md,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,https://github.com/google/praxis/blob/e27d4be2b2a4213d9e7a36349018bd044e2159ba/README.md,https://github.com/google/praxis/blob/704e731391f3b9f555f14a9bff97b6606d0028cd/praxis/train_states.py#L11
JAX,repo,README.md,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,https://github.com/google/praxis/blob/e27d4be2b2a4213d9e7a36349018bd044e2159ba/README.md,https://github.com/google/praxis/blob/704e731391f3b9f555f14a9bff97b6606d0028cd/praxis/test_utils.py#L16
KIND,repo,README.md,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,https://github.com/google/praxis/blob/e27d4be2b2a4213d9e7a36349018bd044e2159ba/README.md,https://github.com/google/praxis/blob/704e731391f3b9f555f14a9bff97b6606d0028cd/praxis/train_states.py#L12
LICENSE,repo,README.md,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,https://github.com/google/praxis/blob/e27d4be2b2a4213d9e7a36349018bd044e2159ba/README.md,https://github.com/google/praxis/blob/704e731391f3b9f555f14a9bff97b6606d0028cd/praxis/train_states.py#L8
LLC,repo,README.md,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,https://github.com/google/praxis/blob/e27d4be2b2a4213d9e7a36349018bd044e2159ba/README.md,https://github.com/google/praxis/blob/704e731391f3b9f555f14a9bff97b6606d0028cd/praxis/train_states.py#L2
ML,repo,README.md,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/praxis/blob/e27d4be2b2a4213d9e7a36349018bd044e2159ba/README.md,https://github.com/google/praxis/blob/704e731391f3b9f555f14a9bff97b6606d0028cd/praxis/base_layer.py#L871
OF,repo,README.md,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,https://github.com/google/praxis/blob/e27d4be2b2a4213d9e7a36349018bd044e2159ba/README.md,https://github.com/google/praxis/blob/704e731391f3b9f555f14a9bff97b6606d0028cd/praxis/train_states.py#L12
OR,repo,README.md,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,https://github.com/google/praxis/blob/e27d4be2b2a4213d9e7a36349018bd044e2159ba/README.md,https://github.com/google/praxis/blob/704e731391f3b9f555f14a9bff97b6606d0028cd/praxis/train_states.py#L12
WARRANTIES,repo,README.md,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,https://github.com/google/praxis/blob/e27d4be2b2a4213d9e7a36349018bd044e2159ba/README.md,https://github.com/google/praxis/blob/704e731391f3b9f555f14a9bff97b6606d0028cd/praxis/train_states.py#L12
WITHOUT,repo,README.md,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,https://github.com/google/praxis/blob/e27d4be2b2a4213d9e7a36349018bd044e2159ba/README.md,https://github.com/google/praxis/blob/704e731391f3b9f555f14a9bff97b6606d0028cd/praxis/train_states.py#L12
