code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,rev_34,rev_35,rev_36,rev_37,rev_38,rev_39,rev_40,rev_41,rev_42,rev_43,rev_44,rev_45,rev_46,rev_47,rev_48,rev_49,rev_50,rev_51,rev_52,rev_53,rev_54,rev_55,rev_56,rev_57,rev_58,rev_59,rev_60,rev_61,rev_62,rev_63,rev_64,rev_65,rev_66,rev_67,rev_68,rev_69,rev_70,rev_71,rev_72,rev_73,rev_74,rev_75,rev_76,rev_77,rev_78,rev_79,rev_80,rev_81,rev_82,rev_83,doc_link,source_link
.AdbCommands(),repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,15,15,15,15,15,0,0,0,0,0,0,0,0,0,https://github.com/google/python-adb/blob/f4e597fe55900651a8a91fccc1e09061fd96b5e9/README.md,https://github.com/google/python-adb/blob/97e2aa9c3d29c5db4f190c57e2573e251d331465/test/adb_test.py#L97
ADB,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,https://github.com/google/python-adb/blob/f4e597fe55900651a8a91fccc1e09061fd96b5e9/README.md,https://github.com/google/python-adb/blob/f4e597fe55900651a8a91fccc1e09061fd96b5e9/setup.py#L43
AdbCommands,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-,-,-,-,16,16,16,16,16,16,16,16,16,16,16,16,17,19,19,19,19,20,20,20,20,20,20,20,30,30,30,30,30,30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/python-adb/blob/f4e597fe55900651a8a91fccc1e09061fd96b5e9/README.md,https://github.com/google/python-adb/blob/9709d953fcec5bd854099d85fa8bddec2973d04e/test/adb_test.py#L77
CLSE,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,15,15,15,15,15,15,15,15,15,https://github.com/google/python-adb/blob/f4e597fe55900651a8a91fccc1e09061fd96b5e9/README.md,https://github.com/google/python-adb/blob/f4e597fe55900651a8a91fccc1e09061fd96b5e9/test/adb_test.py#L75
CPU,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/python-adb/blob/f4e597fe55900651a8a91fccc1e09061fd96b5e9/README.md,https://github.com/google/python-adb/blob/f4e597fe55900651a8a91fccc1e09061fd96b5e9/make_tools.py#L24
ConnectDevice,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-,-,-,-,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,27,27,27,27,27,https://github.com/google/python-adb/blob/f4e597fe55900651a8a91fccc1e09061fd96b5e9/README.md,https://github.com/google/python-adb/blob/f4e597fe55900651a8a91fccc1e09061fd96b5e9/test/fastboot_test.py#L65
CryptographySigner,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,3,3,https://github.com/google/python-adb/blob/f4e597fe55900651a8a91fccc1e09061fd96b5e9/README.md,https://github.com/google/python-adb/blob/f4e597fe55900651a8a91fccc1e09061fd96b5e9/adb/sign_cryptography.py#L24
Install,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,3,3,3,3,3,3,3,3,https://github.com/google/python-adb/blob/f4e597fe55900651a8a91fccc1e09061fd96b5e9/README.md,https://github.com/google/python-adb/blob/f4e597fe55900651a8a91fccc1e09061fd96b5e9/adb/adb_debug.py#L154
JeffLIrion,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,https://github.com/google/python-adb/blob/f4e597fe55900651a8a91fccc1e09061fd96b5e9/README.md,https://github.com/google/python-adb/blob/f4e597fe55900651a8a91fccc1e09061fd96b5e9/CONTRIBUTORS#L11
KitKat,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/python-adb/blob/f4e597fe55900651a8a91fccc1e09061fd96b5e9/README.md,https://github.com/google/python-adb/blob/f4e597fe55900651a8a91fccc1e09061fd96b5e9/adb/adb_protocol.py#L85
M2Crypto,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,5,5,5,5,5,0,0,0,https://github.com/google/python-adb/blob/f4e597fe55900651a8a91fccc1e09061fd96b5e9/README.md,https://github.com/google/python-adb/blob/d9b94b2dda555c14674c19806debb8449c0e9652/setup.py#L18
