code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,rev_34,rev_35,rev_36,rev_37,rev_38,rev_39,rev_40,rev_41,rev_42,rev_43,rev_44,rev_45,rev_46,rev_47,rev_48,rev_49,rev_50,rev_51,rev_52,rev_53,rev_54,rev_55,rev_56,rev_57,rev_58,rev_59,rev_60,rev_61,rev_62,rev_63,rev_64,rev_65,rev_66,rev_67,rev_68,rev_69,doc_link,source_link
--authorization_token,repo,README.md,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/resultstoreui/blob/4fd47dad58fc600e1d1f10c24f5c05b0168a26dc/README.md,https://github.com/google/resultstoreui/blob/f2ac8a4220103983f3e5f695e425946884094d6a/resultstore_client.py#L81
--command,repo,README.md,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/resultstoreui/blob/4fd47dad58fc600e1d1f10c24f5c05b0168a26dc/README.md,https://github.com/google/resultstoreui/blob/f2ac8a4220103983f3e5f695e425946884094d6a/resultstoreui.py#L51
--files,repo,README.md,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/resultstoreui/blob/4fd47dad58fc600e1d1f10c24f5c05b0168a26dc/README.md,https://github.com/google/resultstoreui/blob/f2ac8a4220103983f3e5f695e425946884094d6a/resultstore_client.py#L543
ANY,repo,README.md,2,14,14,14,14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/resultstoreui/blob/4fd47dad58fc600e1d1f10c24f5c05b0168a26dc/README.md,https://github.com/google/resultstoreui/blob/058657a7781c65bd999927ed5ecd7cc18efdd276/resultstoreapi/cloud/devtools/resultstore/v2/types.py#L13
AS,repo,README.md,2,18,18,18,18,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/resultstoreui/blob/4fd47dad58fc600e1d1f10c24f5c05b0168a26dc/README.md,https://github.com/google/resultstoreui/blob/058657a7781c65bd999927ed5ecd7cc18efdd276/resultstoreapi/cloud/devtools/resultstore_v2/proto/common_pb2.py#L47
BASIS,repo,README.md,2,14,14,14,14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/resultstoreui/blob/4fd47dad58fc600e1d1f10c24f5c05b0168a26dc/README.md,https://github.com/google/resultstoreui/blob/058657a7781c65bd999927ed5ecd7cc18efdd276/resultstoreapi/cloud/devtools/resultstore/v2/types.py#L12
CONDITIONS,repo,README.md,4,16,16,16,16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/resultstoreui/blob/4fd47dad58fc600e1d1f10c24f5c05b0168a26dc/README.md,https://github.com/google/resultstoreui/blob/058657a7781c65bd999927ed5ecd7cc18efdd276/resultstoreapi/cloud/devtools/resultstore/v2/types.py#L13
CSS,repo,README.md,0,4,4,4,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/resultstoreui/blob/4fd47dad58fc600e1d1f10c24f5c05b0168a26dc/README.md,https://github.com/google/resultstoreui/blob/058657a7781c65bd999927ed5ecd7cc18efdd276/resultstoreapi/cloud/devtools/resultstore_v2/proto/common_pb2.py#L55
GCP,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,https://github.com/google/resultstoreui/blob/4fd47dad58fc600e1d1f10c24f5c05b0168a26dc/README.md,https://github.com/google/resultstoreui/blob/c4b6e7a0c52951619cde980b47b11c760ef53c71/resultstoresearch/server/resultstoresearch/firestore/firestore_client.py#L16
GitHub,repo,README.md,2,2,2,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/resultstoreui/blob/4fd47dad58fc600e1d1f10c24f5c05b0168a26dc/README.md,https://github.com/google/resultstoreui/blob/058657a7781c65bd999927ed5ecd7cc18efdd276/docs/contributing.md#L21
