code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,rev_34,rev_35,rev_36,rev_37,rev_38,rev_39,rev_40,rev_41,rev_42,rev_43,rev_44,rev_45,rev_46,rev_47,rev_48,rev_49,rev_50,rev_51,rev_52,rev_53,rev_54,rev_55,rev_56,rev_57,rev_58,rev_59,rev_60,rev_61,rev_62,rev_63,rev_64,rev_65,rev_66,rev_67,rev_68,rev_69,rev_70,rev_71,rev_72,rev_73,rev_74,rev_75,rev_76,rev_77,doc_link,source_link
AddFile,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,7,7,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,9,9,10,10,10,10,10,10,10,10,10,10,10,13,13,13,https://github.com/google/rpmpack/blob/dc539ef4f2ea1c53ab359280cadc7249f2fb3e61/README.md,https://github.com/google/rpmpack/blob/51a1004ef6cbb74baee844c056ffd052ed7d946a/tar.go#L70
BUILD.bazel,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,https://github.com/google/rpmpack/blob/dc539ef4f2ea1c53ab359280cadc7249f2fb3e61/README.md,code_element is a file name
FILE,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/rpmpack/blob/dc539ef4f2ea1c53ab359280cadc7249f2fb3e61/README.md,https://github.com/google/rpmpack/blob/51a1004ef6cbb74baee844c056ffd052ed7d946a/cmd/tar2rpm/main.go#L61
OPTION,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/rpmpack/blob/dc539ef4f2ea1c53ab359280cadc7249f2fb3e61/README.md,https://github.com/google/rpmpack/blob/51a1004ef6cbb74baee844c056ffd052ed7d946a/cmd/tar2rpm/main.go#L67
RPMFile,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13,13,17,17,17,17,17,17,17,17,17,17,17,18,18,18,18,18,19,19,20,20,20,20,20,20,20,20,20,20,20,24,24,24,https://github.com/google/rpmpack/blob/dc539ef4f2ea1c53ab359280cadc7249f2fb3e61/README.md,https://github.com/google/rpmpack/blob/51a1004ef6cbb74baee844c056ffd052ed7d946a/tar.go#L71
WORKSPACE,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/rpmpack/blob/dc539ef4f2ea1c53ab359280cadc7249f2fb3e61/README.md,code_element is a file name
bazel_gazelle,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,https://github.com/google/rpmpack/blob/dc539ef4f2ea1c53ab359280cadc7249f2fb3e61/README.md,https://github.com/google/rpmpack/blob/51a1004ef6cbb74baee844c056ffd052ed7d946a/example_bazel/WORKSPACE#L30
"byte(""content of the file"")",repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/rpmpack/blob/dc539ef4f2ea1c53ab359280cadc7249f2fb3e61/README.md,https://github.com/google/rpmpack/blob/51a1004ef6cbb74baee844c056ffd052ed7d946a/rpm_test.go#L27
example_bazel,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,https://github.com/google/rpmpack/blob/dc539ef4f2ea1c53ab359280cadc7249f2fb3e61/README.md,https://github.com/google/rpmpack/blob/51a1004ef6cbb74baee844c056ffd052ed7d946a/cloudbuild.yaml#L10
gazelle_dependencies(),repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,3,3,3,3,3,3,3,3,https://github.com/google/rpmpack/blob/dc539ef4f2ea1c53ab359280cadc7249f2fb3e61/README.md,https://github.com/google/rpmpack/blob/51a1004ef6cbb74baee844c056ffd052ed7d946a/example_bazel/WORKSPACE#L45
