code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,rev_34,rev_35,rev_36,rev_37,rev_38,rev_39,rev_40,rev_41,rev_42,rev_43,rev_44,rev_45,rev_46,rev_47,rev_48,rev_49,rev_50,rev_51,rev_52,rev_53,rev_54,rev_55,rev_56,rev_57,rev_58,rev_59,rev_60,rev_61,rev_62,rev_63,rev_64,rev_65,rev_66,rev_67,rev_68,doc_link,source_link
ANY,repo,README.md,.,108,108,108,108,109,109,110,112,112,112,114,125,129,130,130,132,133,133,133,133,133,133,133,133,133,133,133,136,136,139,139,141,142,142,142,144,148,148,148,148,148,148,148,148,148,148,148,148,148,148,147,148,150,150,150,150,150,150,150,150,150,150,150,153,153,154,154,https://github.com/google/splot-java/blob/798cf5d61c22b3b3f07ab2fded8b500439b9f39d/README.md,https://github.com/google/splot-java/blob/798cf5d61c22b3b3f07ab2fded8b500439b9f39d/splot-traits/src/main/java/com/google/iot/m2m/trait/package-info.java#L12
API,repo,README.md,.,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,8,8,8,8,9,9,9,10,6,7,7,https://github.com/google/splot-java/blob/798cf5d61c22b3b3f07ab2fded8b500439b9f39d/README.md,https://github.com/google/splot-java/blob/798cf5d61c22b3b3f07ab2fded8b500439b9f39d/splot-local/src/main/java/com/google/iot/m2m/local/ResourceLink.java#L20
AS,repo,README.md,.,108,108,108,108,109,109,110,112,112,112,114,125,129,130,130,132,133,133,133,133,133,133,133,133,133,133,133,136,136,139,139,141,142,142,142,144,148,148,148,148,148,148,148,148,148,148,148,148,148,148,147,148,148,148,148,148,148,148,148,148,148,148,148,151,151,152,152,https://github.com/google/splot-java/blob/798cf5d61c22b3b3f07ab2fded8b500439b9f39d/README.md,https://github.com/google/splot-java/blob/798cf5d61c22b3b3f07ab2fded8b500439b9f39d/splot-traits/src/main/java/com/google/iot/m2m/trait/package-info.java#L11
BASIS,repo,README.md,.,108,108,108,108,109,109,110,112,112,112,114,125,129,130,130,132,133,133,133,133,133,133,133,133,133,133,133,136,136,139,139,141,142,142,142,144,148,148,148,148,148,148,148,148,148,148,148,148,148,148,147,148,148,148,148,148,148,148,148,148,148,148,148,151,151,152,152,https://github.com/google/splot-java/blob/798cf5d61c22b3b3f07ab2fded8b500439b9f39d/README.md,https://github.com/google/splot-java/blob/798cf5d61c22b3b3f07ab2fded8b500439b9f39d/splot-traits/src/main/java/com/google/iot/m2m/trait/package-info.java#L11
CBOR,repo,README.md,.,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,12,12,12,12,12,12,12,12,13,13,13,13,13,17,17,https://github.com/google/splot-java/blob/798cf5d61c22b3b3f07ab2fded8b500439b9f39d/README.md,https://github.com/google/splot-java/blob/798cf5d61c22b3b3f07ab2fded8b500439b9f39d/splot-base/src/main/java/com/google/iot/m2m/util/FilePersistentStateManager.java#L260
CONDITIONS,repo,README.md,.,110,110,110,110,111,111,112,114,114,114,116,127,131,132,132,134,135,135,135,135,135,135,135,135,135,135,135,138,138,141,141,143,144,144,144,146,150,150,150,150,150,150,150,150,150,150,150,150,150,150,149,150,150,150,150,150,150,150,150,150,150,150,150,153,153,154,154,https://github.com/google/splot-java/blob/798cf5d61c22b3b3f07ab2fded8b500439b9f39d/README.md,https://github.com/google/splot-java/blob/798cf5d61c22b3b3f07ab2fded8b500439b9f39d/splot-traits/src/main/java/com/google/iot/m2m/trait/package-info.java#L12
COSE,repo,README.md,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,https://github.com/google/splot-java/blob/798cf5d61c22b3b3f07ab2fded8b500439b9f39d/README.md,https://github.com/google/splot-java/blob/798cf5d61c22b3b3f07ab2fded8b500439b9f39d/doc/splot-book/src/ssm/intro.md#L93
CborTree,repo,README.md,.,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,https://github.com/google/splot-java/blob/798cf5d61c22b3b3f07ab2fded8b500439b9f39d/README.md,https://github.com/google/splot-java/blob/798cf5d61c22b3b3f07ab2fded8b500439b9f39d/smcp/src/main/java/com/google/iot/smcp/package-info.java#L21
CoAP,repo,README.md,.,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,13,13,13,18,18,31,31,https://github.com/google/splot-java/blob/798cf5d61c22b3b3f07ab2fded8b500439b9f39d/README.md,https://github.com/google/splot-java/blob/798cf5d61c22b3b3f07ab2fded8b500439b9f39d/splot-traits/src/main/java/com/google/iot/m2m/trait/ActionsTrait.java#L119
CoapBlaster,repo,README.md,.,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,https://github.com/google/splot-java/blob/798cf5d61c22b3b3f07ab2fded8b500439b9f39d/README.md,https://github.com/google/splot-java/blob/798cf5d61c22b3b3f07ab2fded8b500439b9f39d/smcp/src/main/java/com/google/iot/smcp/package-info.java#L20
DTLS,repo,README.md,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,https://github.com/google/splot-java/blob/798cf5d61c22b3b3f07ab2fded8b500439b9f39d/README.md,https://github.com/google/splot-java/blob/798cf5d61c22b3b3f07ab2fded8b500439b9f39d/doc/splot-book/src/ssm/intro.md#L73
HEAD-SNAPSHOT,repo,README.md,.,-,-,-,19,19,19,19,19,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,0,19,26,26,26,26,https://github.com/google/splot-java/blob/798cf5d61c22b3b3f07ab2fded8b500439b9f39d/README.md,https://github.com/google/splot-java/blob/798cf5d61c22b3b3f07ab2fded8b500439b9f39d/splot-traits/pom.xml#L8
IS,repo,README.md,.,108,108,108,108,109,109,110,112,112,112,114,125,129,130,130,132,133,133,133,133,133,133,133,133,133,133,133,136,136,139,139,141,142,142,142,144,149,149,149,149,149,149,149,149,149,149,149,149,149,149,148,149,149,149,149,149,149,149,149,149,149,149,149,152,152,153,153,https://github.com/google/splot-java/blob/798cf5d61c22b3b3f07ab2fded8b500439b9f39d/README.md,https://github.com/google/splot-java/blob/798cf5d61c22b3b3f07ab2fded8b500439b9f39d/splot-traits/src/main/java/com/google/iot/m2m/trait/package-info.java#L11
KIND,repo,README.md,.,108,108,108,108,109,109,110,112,112,112,114,125,129,130,130,132,133,133,133,133,133,133,133,133,133,133,133,136,136,139,139,141,142,142,142,144,148,148,148,148,148,148,148,148,148,148,148,148,148,148,147,148,148,148,148,148,148,148,148,148,148,148,148,151,151,152,152,https://github.com/google/splot-java/blob/798cf5d61c22b3b3f07ab2fded8b500439b9f39d/README.md,https://github.com/google/splot-java/blob/798cf5d61c22b3b3f07ab2fded8b500439b9f39d/splot-traits/src/main/java/com/google/iot/m2m/trait/package-info.java#L12
LICENSE,repo,README.md,.,109,109,109,109,110,110,111,113,113,113,115,126,130,131,131,133,134,134,134,134,134,134,134,134,134,134,134,137,137,140,140,142,143,143,143,145,149,149,149,149,149,149,149,149,149,149,149,149,149,149,148,149,149,149,149,149,149,149,149,149,149,149,149,152,152,153,153,https://github.com/google/splot-java/blob/798cf5d61c22b3b3f07ab2fded8b500439b9f39d/README.md,https://github.com/google/splot-java/blob/798cf5d61c22b3b3f07ab2fded8b500439b9f39d/splot-traits/src/main/java/com/google/iot/m2m/trait/package-info.java#L8
MyLightBulb,repo,README.md,.,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,48,48,48,48,https://github.com/google/splot-java/blob/798cf5d61c22b3b3f07ab2fded8b500439b9f39d/README.md,https://github.com/google/splot-java/blob/798cf5d61c22b3b3f07ab2fded8b500439b9f39d/splot-local/src/test/java/com/google/iot/m2m/local/TestBase.java#L162
