code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,rev_34,rev_35,rev_36,rev_37,rev_38,rev_39,rev_40,rev_41,rev_42,rev_43,rev_44,rev_45,rev_46,rev_47,rev_48,rev_49,rev_50,doc_link,source_link
CSV,repo,README.md,.,.,.,-,-,-,-,-,-,12,15,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,17,17,17,17,17,17,17,17,17,19,19,19,19,19,19,19,19,19,19,19,https://github.com/google/tensorflow-recorder/blob/f4650ca47c5a8730fa6228f213552db39cb37e87/README.md,https://github.com/google/tensorflow-recorder/blob/231b2c5422593d4eb7fc8502d5023425d08bedd6/tfrecorder/utils_test.py#L90
CategoricalInputType,repo,README.md,.,.,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,-,1,1,-,-,-,https://github.com/google/tensorflow-recorder/blob/f4650ca47c5a8730fa6228f213552db39cb37e87/README.md,https://github.com/google/tensorflow-recorder/blob/747dabe52b367f933b4c7867c68efbec598418da/tfrecorder/schema.py#L60
DataFlowRunner,repo,README.md,.,.,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,26,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/tensorflow-recorder/blob/f4650ca47c5a8730fa6228f213552db39cb37e87/README.md,https://github.com/google/tensorflow-recorder/blob/6fa13e41e23ca52041ff668c5d1f100e822469dd/tfrecorder/client.py#L197
DataFrame,repo,README.md,.,.,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,21,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,29,29,29,31,31,31,31,31,27,31,32,32,32,32,https://github.com/google/tensorflow-recorder/blob/f4650ca47c5a8730fa6228f213552db39cb37e87/README.md,https://github.com/google/tensorflow-recorder/blob/231b2c5422593d4eb7fc8502d5023425d08bedd6/tfrecorder/utils_test.py#L92
DataFrames,repo,README.md,.,.,.,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/tensorflow-recorder/blob/f4650ca47c5a8730fa6228f213552db39cb37e87/README.md,https://github.com/google/tensorflow-recorder/blob/231b2c5422593d4eb7fc8502d5023425d08bedd6/tfrecorder/accessor.py#L21
DataflowRunner,repo,README.md,.,.,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,25,25,25,25,25,25,25,25,25,25,25,https://github.com/google/tensorflow-recorder/blob/f4650ca47c5a8730fa6228f213552db39cb37e87/README.md,https://github.com/google/tensorflow-recorder/blob/231b2c5422593d4eb7fc8502d5023425d08bedd6/tfrecorder/converter_test.py#L93
FloatInput,repo,README.md,.,.,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,3,3,3,https://github.com/google/tensorflow-recorder/blob/f4650ca47c5a8730fa6228f213552db39cb37e87/README.md,https://github.com/google/tensorflow-recorder/blob/231b2c5422593d4eb7fc8502d5023425d08bedd6/tfrecorder/types.py#L60
FloatInputType,repo,README.md,.,.,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,-,1,1,-,-,-,https://github.com/google/tensorflow-recorder/blob/f4650ca47c5a8730fa6228f213552db39cb37e87/README.md,https://github.com/google/tensorflow-recorder/blob/747dabe52b367f933b4c7867c68efbec598418da/tfrecorder/schema.py#L54
GCP,repo,README.md,.,.,.,-,-,-,-,-,-,0,0,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/tensorflow-recorder/blob/f4650ca47c5a8730fa6228f213552db39cb37e87/README.md,https://github.com/google/tensorflow-recorder/blob/6fa13e41e23ca52041ff668c5d1f100e822469dd/tfrecorder/client.py#L198
ImageUri,repo,README.md,.,.,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,-,-,4,4,4,https://github.com/google/tensorflow-recorder/blob/f4650ca47c5a8730fa6228f213552db39cb37e87/README.md,https://github.com/google/tensorflow-recorder/blob/231b2c5422593d4eb7fc8502d5023425d08bedd6/tfrecorder/types.py#L39
ImageUriType,repo,README.md,.,.,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,7,7,7,7,-,7,7,-,-,-,https://github.com/google/tensorflow-recorder/blob/f4650ca47c5a8730fa6228f213552db39cb37e87/README.md,https://github.com/google/tensorflow-recorder/blob/747dabe52b367f933b4c7867c68efbec598418da/tfrecorder/test_utils.py#L52
IntegerInput,repo,README.md,.,.,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,7,7,7,https://github.com/google/tensorflow-recorder/blob/f4650ca47c5a8730fa6228f213552db39cb37e87/README.md,https://github.com/google/tensorflow-recorder/blob/231b2c5422593d4eb7fc8502d5023425d08bedd6/tfrecorder/types.py#L53
