code_element,page_type,page_name,rev_1,rev_2,doc_link,source_link
GitHub,repo,README.md,2,2,https://github.com/google/tensorflow-tools/blob/31b031cd4eee1dd42516921a518a6fa00164d343/README.md,https://github.com/google/tensorflow-tools/blob/31b031cd4eee1dd42516921a518a6fa00164d343/CONTRIBUTING.md#L21
LICENSE,repo,README.md,12,12,https://github.com/google/tensorflow-tools/blob/31b031cd4eee1dd42516921a518a6fa00164d343/README.md,https://github.com/google/tensorflow-tools/blob/31b031cd4eee1dd42516921a518a6fa00164d343/tools/shape_tool.js#L10
MarkusBordihn,repo,README.md,1,1,https://github.com/google/tensorflow-tools/blob/31b031cd4eee1dd42516921a518a6fa00164d343/README.md,https://github.com/google/tensorflow-tools/blob/31b031cd4eee1dd42516921a518a6fa00164d343/package.json#L11
TensorFlow,repo,README.md,10,10,https://github.com/google/tensorflow-tools/blob/31b031cd4eee1dd42516921a518a6fa00164d343/README.md,https://github.com/google/tensorflow-tools/blob/31b031cd4eee1dd42516921a518a6fa00164d343/tools/shape_tool.js#L2
checkpointReader,repo,README.md,9,9,https://github.com/google/tensorflow-tools/blob/31b031cd4eee1dd42516921a518a6fa00164d343/README.md,https://github.com/google/tensorflow-tools/blob/31b031cd4eee1dd42516921a518a6fa00164d343/test/readers/checkpoint_reader_test.js#L30
dataData,repo,README.md,8,10,https://github.com/google/tensorflow-tools/blob/31b031cd4eee1dd42516921a518a6fa00164d343/README.md,https://github.com/google/tensorflow-tools/blob/31b031cd4eee1dd42516921a518a6fa00164d343/readers/checkpoint/checkpoint_reader.js#L69
"decode(metaData, indexData, dataData)",repo,README.md,2,-,https://github.com/google/tensorflow-tools/blob/31b031cd4eee1dd42516921a518a6fa00164d343/README.md,https://github.com/google/tensorflow-tools/blob/2c3e4663b6151c0110b82fbe9bd26605b1f94ff5/readers/checkpoint/checkpoint_reader.js#L110
decodeLocalFiles,repo,README.md,3,3,https://github.com/google/tensorflow-tools/blob/31b031cd4eee1dd42516921a518a6fa00164d343/README.md,https://github.com/google/tensorflow-tools/blob/31b031cd4eee1dd42516921a518a6fa00164d343/test/readers/checkpoint_reader_test.js#L32
decodeRemoteFiles,repo,README.md,3,3,https://github.com/google/tensorflow-tools/blob/31b031cd4eee1dd42516921a518a6fa00164d343/README.md,https://github.com/google/tensorflow-tools/blob/31b031cd4eee1dd42516921a518a6fa00164d343/test/readers/checkpoint_reader_test.js#L45
indexData,repo,README.md,8,10,https://github.com/google/tensorflow-tools/blob/31b031cd4eee1dd42516921a518a6fa00164d343/README.md,https://github.com/google/tensorflow-tools/blob/31b031cd4eee1dd42516921a518a6fa00164d343/readers/checkpoint/checkpoint_reader.js#L70
metaData,repo,README.md,8,10,https://github.com/google/tensorflow-tools/blob/31b031cd4eee1dd42516921a518a6fa00164d343/README.md,https://github.com/google/tensorflow-tools/blob/31b031cd4eee1dd42516921a518a6fa00164d343/readers/checkpoint/checkpoint_reader.js#L71
then((),repo,README.md,9,9,https://github.com/google/tensorflow-tools/blob/31b031cd4eee1dd42516921a518a6fa00164d343/README.md,https://github.com/google/tensorflow-tools/blob/31b031cd4eee1dd42516921a518a6fa00164d343/test/readers/checkpoint_reader_test.js#L36
