code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,rev_34,rev_35,rev_36,rev_37,rev_38,rev_39,rev_40,rev_41,rev_42,rev_43,rev_44,rev_45,rev_46,rev_47,rev_48,rev_49,rev_50,rev_51,rev_52,rev_53,rev_54,rev_55,rev_56,rev_57,rev_58,rev_59,rev_60,rev_61,rev_62,rev_63,rev_64,rev_65,rev_66,rev_67,rev_68,rev_69,rev_70,rev_71,rev_72,rev_73,rev_74,rev_75,rev_76,rev_77,rev_78,rev_79,rev_80,rev_81,rev_82,rev_83,rev_84,rev_85,rev_86,rev_87,rev_88,rev_89,rev_90,rev_91,rev_92,rev_93,rev_94,rev_95,rev_96,rev_97,rev_98,rev_99,doc_link,source_link
:FormatCode,repo,README.md,23,23,23,23,23,23,23,25,25,37,37,37,44,44,44,44,44,44,44,44,44,44,44,47,48,51,53,53,53,51,51,55,59,59,59,59,62,62,63,64,64,65,65,65,67,72,72,76,76,79,79,79,84,84,88,88,88,95,95,99,99,100,100,100,100,104,104,104,104,104,104,105,105,105,105,105,105,105,105,105,105,105,108,111,111,111,111,115,115,115,115,114,116,116,117,117,120,120,120,https://github.com/google/vim-codefmt/blob/4b435eb16114a96baf8aa129641db1dfdeec20d1/README.md,https://github.com/google/vim-codefmt/blob/b5270ae807fdbad5183f2831a9348f2fb7cfea1d/vroom/zprint.vroom#L20
:FormatLines,repo,README.md,7,7,7,7,7,7,7,7,7,11,11,11,12,12,12,12,12,12,12,12,12,12,12,12,12,13,13,13,13,13,13,13,14,14,14,14,14,14,14,14,14,14,14,14,14,15,15,16,16,16,16,16,16,16,16,16,16,18,18,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,https://github.com/google/vim-codefmt/blob/4b435eb16114a96baf8aa129641db1dfdeec20d1/README.md,https://github.com/google/vim-codefmt/blob/b5270ae807fdbad5183f2831a9348f2fb7cfea1d/vroom/zprint.vroom#L59
:NoAutoFormatBuffer,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,https://github.com/google/vim-codefmt/blob/4b435eb16114a96baf8aa129641db1dfdeec20d1/README.md,https://github.com/google/vim-codefmt/blob/b5270ae807fdbad5183f2831a9348f2fb7cfea1d/vroom/autocmd.vroom#L60
AutoFormatBuffer,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,https://github.com/google/vim-codefmt/blob/4b435eb16114a96baf8aa129641db1dfdeec20d1/README.md,https://github.com/google/vim-codefmt/blob/b5270ae807fdbad5183f2831a9348f2fb7cfea1d/vroom/autocmd.vroom#L24
BUILD,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,3,3,3,3,3,6,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,11,11,11,11,11,11,11,https://github.com/google/vim-codefmt/blob/4b435eb16114a96baf8aa129641db1dfdeec20d1/README.md,https://github.com/google/vim-codefmt/blob/b5270ae807fdbad5183f2831a9348f2fb7cfea1d/vroom/ktfmt.vroom#L1
END,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/vim-codefmt/blob/4b435eb16114a96baf8aa129641db1dfdeec20d1/README.md,https://github.com/google/vim-codefmt/blob/b5270ae807fdbad5183f2831a9348f2fb7cfea1d/plugin/autocmds.vim#L31
FORMATTER,repo,README.md,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/vim-codefmt/blob/4b435eb16114a96baf8aa129641db1dfdeec20d1/README.md,https://github.com/google/vim-codefmt/blob/b5270ae807fdbad5183f2831a9348f2fb7cfea1d/autoload/codefmt.vim#L274
FileType,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,https://github.com/google/vim-codefmt/blob/4b435eb16114a96baf8aa129641db1dfdeec20d1/README.md,https://github.com/google/vim-codefmt/blob/b5270ae807fdbad5183f2831a9348f2fb7cfea1d/instant/flags.vim#L24
FormatCode,repo,README.md,-,-,-,-,-,-,-,-,-,-,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/vim-codefmt/blob/4b435eb16114a96baf8aa129641db1dfdeec20d1/README.md,https://github.com/google/vim-codefmt/blob/b5270ae807fdbad5183f2831a9348f2fb7cfea1d/plugin/register.vim#L23
JSON,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/vim-codefmt/blob/4b435eb16114a96baf8aa129641db1dfdeec20d1/README.md,https://github.com/google/vim-codefmt/blob/b5270ae807fdbad5183f2831a9348f2fb7cfea1d/autoload/codefmt/clangformat.vim#L180
