code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,doc_link,source_link
.buildUpon(),repo,README.md,.,.,.,.,3,3,3,3,https://github.com/google/webview-local-server/blob/4203e3c988db7ba5a612ff2c197748c9eb81bebf/README.md,https://github.com/google/webview-local-server/blob/4203e3c988db7ba5a612ff2c197748c9eb81bebf/src/main/java/com/google/webviewlocalserver/WebViewLocalServer.java#L59
.toString(),repo,README.md,.,.,.,.,2,2,2,2,https://github.com/google/webview-local-server/blob/4203e3c988db7ba5a612ff2c197748c9eb81bebf/README.md,https://github.com/google/webview-local-server/blob/4203e3c988db7ba5a612ff2c197748c9eb81bebf/src/main/java/com/google/webviewlocalserver/WebViewLocalServer.java#L59
@Override,repo,README.md,.,.,.,.,25,25,25,25,https://github.com/google/webview-local-server/blob/4203e3c988db7ba5a612ff2c197748c9eb81bebf/README.md,https://github.com/google/webview-local-server/blob/4203e3c988db7ba5a612ff2c197748c9eb81bebf/src/main/java/com/google/webviewlocalserver/WebViewLocalServer.java#L51
API,repo,README.md,.,.,.,.,-,-,-,1,https://github.com/google/webview-local-server/blob/4203e3c988db7ba5a612ff2c197748c9eb81bebf/README.md,https://github.com/google/webview-local-server/blob/4203e3c988db7ba5a612ff2c197748c9eb81bebf/src/main/third_party/android/java/com/google/webviewlocalserver/third_party/android/UriMatcher.java#L53
AssetHostingDetails,repo,README.md,.,.,.,.,15,15,15,15,https://github.com/google/webview-local-server/blob/4203e3c988db7ba5a612ff2c197748c9eb81bebf/README.md,https://github.com/google/webview-local-server/blob/4203e3c988db7ba5a612ff2c197748c9eb81bebf/src/main/java/com/google/webviewlocalserver/WebViewLocalServer.java#L49
KitKat,repo,README.md,.,.,.,.,3,3,3,3,https://github.com/google/webview-local-server/blob/4203e3c988db7ba5a612ff2c197748c9eb81bebf/README.md,https://github.com/google/webview-local-server/blob/4203e3c988db7ba5a612ff2c197748c9eb81bebf/src/main/java/com/google/webviewlocalserver/WebViewLocalServer.java#L83
MyWebViewClient,repo,README.md,.,.,.,.,2,2,2,2,https://github.com/google/webview-local-server/blob/4203e3c988db7ba5a612ff2c197748c9eb81bebf/README.md,https://github.com/google/webview-local-server/blob/4203e3c988db7ba5a612ff2c197748c9eb81bebf/src/androidTest/java/com/google/webviewlocalserver/TestActivity.java#L28
URL,repo,README.md,.,.,.,.,15,15,15,15,https://github.com/google/webview-local-server/blob/4203e3c988db7ba5a612ff2c197748c9eb81bebf/README.md,https://github.com/google/webview-local-server/blob/4203e3c988db7ba5a612ff2c197748c9eb81bebf/src/main/third_party/chromium/java/com/google/webviewlocalserver/third_party/chromium/AndroidProtocolHandler.java#L57
WebResourceResponse,repo,README.md,.,.,.,.,16,16,16,16,https://github.com/google/webview-local-server/blob/4203e3c988db7ba5a612ff2c197748c9eb81bebf/README.md,https://github.com/google/webview-local-server/blob/4203e3c988db7ba5a612ff2c197748c9eb81bebf/src/main/java/com/google/webviewlocalserver/WebViewLocalServer.java#L24
WebView,repo,README.md,.,.,.,.,17,17,17,17,https://github.com/google/webview-local-server/blob/4203e3c988db7ba5a612ff2c197748c9eb81bebf/README.md,https://github.com/google/webview-local-server/blob/4203e3c988db7ba5a612ff2c197748c9eb81bebf/src/main/java/com/google/webviewlocalserver/WebViewLocalServer.java#L36
