code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,doc_link,source_link
GitHub,repo,README.md,-,-,-,2,https://github.com/google/weighted-dict/blob/5b0e2f9ee99800a4cf63943491e1ffed5d198f68/README.md,https://github.com/google/weighted-dict/blob/5b0e2f9ee99800a4cf63943491e1ffed5d198f68/CONTRIBUTING.md#L21
LICENSE,repo,README.md,-,-,-,3,https://github.com/google/weighted-dict/blob/5b0e2f9ee99800a4cf63943491e1ffed5d198f68/README.md,https://github.com/google/weighted-dict/blob/5b0e2f9ee99800a4cf63943491e1ffed5d198f68/weightedDict.py#L7
O(log n),repo,README.md,2,2,2,2,https://github.com/google/weighted-dict/blob/5b0e2f9ee99800a4cf63943491e1ffed5d198f68/README.md,https://github.com/google/weighted-dict/blob/5b0e2f9ee99800a4cf63943491e1ffed5d198f68/weightedDict.py#L20
WeightedDict,repo,README.md,6,6,6,6,https://github.com/google/weighted-dict/blob/5b0e2f9ee99800a4cf63943491e1ffed5d198f68/README.md,https://github.com/google/weighted-dict/blob/5b0e2f9ee99800a4cf63943491e1ffed5d198f68/weightedDict.py#L42
WeightedDict(),repo,README.md,2,2,2,2,https://github.com/google/weighted-dict/blob/5b0e2f9ee99800a4cf63943491e1ffed5d198f68/README.md,https://github.com/google/weighted-dict/blob/5b0e2f9ee99800a4cf63943491e1ffed5d198f68/tests.py#L17
__future__,repo,README.md,3,6,6,6,https://github.com/google/weighted-dict/blob/5b0e2f9ee99800a4cf63943491e1ffed5d198f68/README.md,https://github.com/google/weighted-dict/blob/5b0e2f9ee99800a4cf63943491e1ffed5d198f68/weightedDict.py#L32
absolute_import,repo,README.md,1,2,2,2,https://github.com/google/weighted-dict/blob/5b0e2f9ee99800a4cf63943491e1ffed5d198f68/README.md,https://github.com/google/weighted-dict/blob/5b0e2f9ee99800a4cf63943491e1ffed5d198f68/weightedDict.py#L32
len(wdict),repo,README.md,1,1,1,1,https://github.com/google/weighted-dict/blob/5b0e2f9ee99800a4cf63943491e1ffed5d198f68/README.md,https://github.com/google/weighted-dict/blob/5b0e2f9ee99800a4cf63943491e1ffed5d198f68/weightedDict.py#L28
numSamples,repo,README.md,1,0,0,0,https://github.com/google/weighted-dict/blob/5b0e2f9ee99800a4cf63943491e1ffed5d198f68/README.md,https://github.com/google/weighted-dict/blob/8653d292e490b33d3762252423003456a60afaa3/weightedDict.py#L296
pop('cat'),repo,README.md,1,1,1,1,https://github.com/google/weighted-dict/blob/5b0e2f9ee99800a4cf63943491e1ffed5d198f68/README.md,https://github.com/google/weighted-dict/blob/5b0e2f9ee99800a4cf63943491e1ffed5d198f68/tests.py#L33
"print(i, tallies[i], '%.2f'%(numSamples * wdict[i]/dasum)",repo,README.md,1,0,0,0,https://github.com/google/weighted-dict/blob/5b0e2f9ee99800a4cf63943491e1ffed5d198f68/README.md,https://github.com/google/weighted-dict/blob/8653d292e490b33d3762252423003456a60afaa3/weightedDict.py#L300
print(wdict),repo,README.md,1,1,1,1,https://github.com/google/weighted-dict/blob/5b0e2f9ee99800a4cf63943491e1ffed5d198f68/README.md,https://github.com/google/weighted-dict/blob/5b0e2f9ee99800a4cf63943491e1ffed5d198f68/tests.py#L48
print(wdict.keys(),repo,README.md,1,1,1,1,https://github.com/google/weighted-dict/blob/5b0e2f9ee99800a4cf63943491e1ffed5d198f68/README.md,https://github.com/google/weighted-dict/blob/5b0e2f9ee99800a4cf63943491e1ffed5d198f68/tests.py#L31
print(wdict.sample(),repo,README.md,1,1,1,1,https://github.com/google/weighted-dict/blob/5b0e2f9ee99800a4cf63943491e1ffed5d198f68/README.md,https://github.com/google/weighted-dict/blob/5b0e2f9ee99800a4cf63943491e1ffed5d198f68/tests.py#L30
print(wdict['dog']),repo,README.md,1,1,1,1,https://github.com/google/weighted-dict/blob/5b0e2f9ee99800a4cf63943491e1ffed5d198f68/README.md,https://github.com/google/weighted-dict/blob/5b0e2f9ee99800a4cf63943491e1ffed5d198f68/tests.py#L29
print_function,repo,README.md,1,2,2,2,https://github.com/google/weighted-dict/blob/5b0e2f9ee99800a4cf63943491e1ffed5d198f68/README.md,https://github.com/google/weighted-dict/blob/5b0e2f9ee99800a4cf63943491e1ffed5d198f68/weightedDict.py#L34
range(numSamples),repo,README.md,1,0,0,0,https://github.com/google/weighted-dict/blob/5b0e2f9ee99800a4cf63943491e1ffed5d198f68/README.md,https://github.com/google/weighted-dict/blob/8653d292e490b33d3762252423003456a60afaa3/weightedDict.py#L298
seed(42),repo,README.md,2,2,2,2,https://github.com/google/weighted-dict/blob/5b0e2f9ee99800a4cf63943491e1ffed5d198f68/README.md,https://github.com/google/weighted-dict/blob/5b0e2f9ee99800a4cf63943491e1ffed5d198f68/tests.py#L15
wdict.remove(key),repo,README.md,1,1,1,1,https://github.com/google/weighted-dict/blob/5b0e2f9ee99800a4cf63943491e1ffed5d198f68/README.md,https://github.com/google/weighted-dict/blob/5b0e2f9ee99800a4cf63943491e1ffed5d198f68/weightedDict.py#L24
wdict.sample(),repo,README.md,2,2,2,2,https://github.com/google/weighted-dict/blob/5b0e2f9ee99800a4cf63943491e1ffed5d198f68/README.md,https://github.com/google/weighted-dict/blob/5b0e2f9ee99800a4cf63943491e1ffed5d198f68/weightedDict.py#L22
weightedDict,repo,README.md,1,1,1,1,https://github.com/google/weighted-dict/blob/5b0e2f9ee99800a4cf63943491e1ffed5d198f68/README.md,https://github.com/google/weighted-dict/blob/5b0e2f9ee99800a4cf63943491e1ffed5d198f68/tests.py#L9
