code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,rev_34,rev_35,rev_36,rev_37,rev_38,rev_39,rev_40,rev_41,rev_42,rev_43,rev_44,rev_45,rev_46,rev_47,rev_48,rev_49,rev_50,rev_51,rev_52,rev_53,rev_54,rev_55,rev_56,rev_57,rev_58,rev_59,rev_60,rev_61,rev_62,rev_63,rev_64,rev_65,rev_66,rev_67,rev_68,rev_69,rev_70,rev_71,rev_72,rev_73,rev_74,rev_75,rev_76,rev_77,rev_78,rev_79,rev_80,rev_81,rev_82,rev_83,rev_84,rev_85,rev_86,rev_87,rev_88,rev_89,rev_90,rev_91,rev_92,rev_93,rev_94,doc_link,source_link
$PWD,repo,README.md,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/xtoproto/blob/0476e9fb6df1a5c82c3f2b3fde70a8b71e165004/README.md,https://github.com/google/xtoproto/blob/53a73fc9f58c08ec4f9dda96991d217bf284cf0d/releasing/make_release/make_release.go#L23
.pb.go,repo,README.md,-,-,-,-,-,-,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,https://github.com/google/xtoproto/blob/0476e9fb6df1a5c82c3f2b3fde70a8b71e165004/README.md,https://github.com/google/xtoproto/blob/53a73fc9f58c08ec4f9dda96991d217bf284cf0d/releasing/make_release/make_release.go#L77
.proto,repo,README.md,8,8,14,14,14,15,15,15,15,18,18,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,20,20,20,20,20,20,20,20,20,20,20,https://github.com/google/xtoproto/blob/0476e9fb6df1a5c82c3f2b3fde70a8b71e165004/README.md,https://github.com/google/xtoproto/blob/53a73fc9f58c08ec4f9dda96991d217bf284cf0d/service/service_generate_code.go#L40
CSV,repo,README.md,1,1,16,16,16,16,16,16,16,25,25,25,44,44,44,44,44,45,45,45,45,45,45,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,https://github.com/google/xtoproto/blob/0476e9fb6df1a5c82c3f2b3fde70a8b71e165004/README.md,https://github.com/google/xtoproto/blob/53a73fc9f58c08ec4f9dda96991d217bf284cf0d/protocp/protocp.go#L48
WebAssembly,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,https://github.com/google/xtoproto/blob/0476e9fb6df1a5c82c3f2b3fde70a8b71e165004/README.md,https://github.com/google/xtoproto/blob/53a73fc9f58c08ec4f9dda96991d217bf284cf0d/third_party/wasm_exec.js#L498
XML,repo,README.md,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,316,363,377,384,384,384,384,384,386,386,386,387,387,387,387,387,387,387,387,387,388,388,408,410,410,413,413,415,415,415,415,415,415,415,415,415,415,415,415,415,415,415,415,415,415,415,415,415,415,415,415,415,415,415,415,415,415,415,415,415,415,https://github.com/google/xtoproto/blob/0476e9fb6df1a5c82c3f2b3fde70a8b71e165004/README.md,https://github.com/google/xtoproto/blob/53a73fc9f58c08ec4f9dda96991d217bf284cf0d/xmlinfer/xmlinfer.go#L16
branch_suffix,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/xtoproto/blob/0476e9fb6df1a5c82c3f2b3fde70a8b71e165004/README.md,https://github.com/google/xtoproto/blob/53a73fc9f58c08ec4f9dda96991d217bf284cf0d/releasing/make_release/make_release.go#L23
generate_pb_go_files,repo,README.md,-,-,-,-,-,-,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,https://github.com/google/xtoproto/blob/0476e9fb6df1a5c82c3f2b3fde70a8b71e165004/README.md,https://github.com/google/xtoproto/blob/53a73fc9f58c08ec4f9dda96991d217bf284cf0d/releasing/make_release/make_release.go#L78
make_release,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,https://github.com/google/xtoproto/blob/0476e9fb6df1a5c82c3f2b3fde70a8b71e165004/README.md,https://github.com/google/xtoproto/blob/53a73fc9f58c08ec4f9dda96991d217bf284cf0d/releasing/make_release/make_release.go#L15
output_dir,repo,README.md,-,-,-,-,-,-,2,2,2,2,2,2,2,2,2,2,2,2,3,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,https://github.com/google/xtoproto/blob/0476e9fb6df1a5c82c3f2b3fde70a8b71e165004/README.md,https://github.com/google/xtoproto/blob/53a73fc9f58c08ec4f9dda96991d217bf284cf0d/releasing/make_release/make_release.go#L78
v0.0.5,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/xtoproto/blob/0476e9fb6df1a5c82c3f2b3fde70a8b71e165004/README.md,https://github.com/google/xtoproto/blob/53a73fc9f58c08ec4f9dda96991d217bf284cf0d/releasing/make_release/make_release.go#L41
v0.0.6,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/xtoproto/blob/0476e9fb6df1a5c82c3f2b3fde70a8b71e165004/README.md,https://github.com/google/xtoproto/blob/53a73fc9f58c08ec4f9dda96991d217bf284cf0d/releasing/make_release/make_release.go#L23
xtoproto_web,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,https://github.com/google/xtoproto/blob/0476e9fb6df1a5c82c3f2b3fde70a8b71e165004/README.md,https://github.com/google/xtoproto/blob/53a73fc9f58c08ec4f9dda96991d217bf284cf0d/releasing/make_release/make_release.go#L99
