code_element,page_type,page_name,rev_1,rev_2,rev_SHA_1,rev_timestamp_1,rev_SHA_2,rev_timestamp_2,doc_SHA,doc_timestamp,doc_link,source_link
ANY,repo,README.md,252,254,e45e100b4bce7e9bdd5d552d8de067d4a03be944,1651236196,583f19d21ddc9eeae737349b00cd38391d408fa9,1655467267,e45e100b4bce7e9bdd5d552d8de067d4a03be944,1651236196,https://github.com/google/accompanist/blob/e45e100b4bce7e9bdd5d552d8de067d4a03be944/README.md,https://github.com/google/accompanist/blob/583f19d21ddc9eeae737349b00cd38391d408fa9/web/src/main/java/com/google/accompanist/web/WebView.kt#L12
AS,repo,README.md,252,254,e45e100b4bce7e9bdd5d552d8de067d4a03be944,1651236196,583f19d21ddc9eeae737349b00cd38391d408fa9,1655467267,e45e100b4bce7e9bdd5d552d8de067d4a03be944,1651236196,https://github.com/google/accompanist/blob/e45e100b4bce7e9bdd5d552d8de067d4a03be944/README.md,https://github.com/google/accompanist/blob/583f19d21ddc9eeae737349b00cd38391d408fa9/web/src/main/java/com/google/accompanist/web/WebView.kt#L11
AppCompat,repo,README.md,36,36,e45e100b4bce7e9bdd5d552d8de067d4a03be944,1651236196,583f19d21ddc9eeae737349b00cd38391d408fa9,1655467267,e45e100b4bce7e9bdd5d552d8de067d4a03be944,1651236196,https://github.com/google/accompanist/blob/e45e100b4bce7e9bdd5d552d8de067d4a03be944/README.md,https://github.com/google/accompanist/blob/583f19d21ddc9eeae737349b00cd38391d408fa9/mkdocs.yml#L24
BASIS,repo,README.md,252,254,e45e100b4bce7e9bdd5d552d8de067d4a03be944,1651236196,583f19d21ddc9eeae737349b00cd38391d408fa9,1655467267,e45e100b4bce7e9bdd5d552d8de067d4a03be944,1651236196,https://github.com/google/accompanist/blob/e45e100b4bce7e9bdd5d552d8de067d4a03be944/README.md,https://github.com/google/accompanist/blob/583f19d21ddc9eeae737349b00cd38391d408fa9/web/src/main/java/com/google/accompanist/web/WebView.kt#L11
CONDITIONS,repo,README.md,254,256,e45e100b4bce7e9bdd5d552d8de067d4a03be944,1651236196,583f19d21ddc9eeae737349b00cd38391d408fa9,1655467267,e45e100b4bce7e9bdd5d552d8de067d4a03be944,1651236196,https://github.com/google/accompanist/blob/e45e100b4bce7e9bdd5d552d8de067d4a03be944/README.md,https://github.com/google/accompanist/blob/583f19d21ddc9eeae737349b00cd38391d408fa9/web/src/main/java/com/google/accompanist/web/WebView.kt#L12
CONTRIBUTING,repo,README.md,2,2,e45e100b4bce7e9bdd5d552d8de067d4a03be944,1651236196,583f19d21ddc9eeae737349b00cd38391d408fa9,1655467267,e45e100b4bce7e9bdd5d552d8de067d4a03be944,1651236196,https://github.com/google/accompanist/blob/e45e100b4bce7e9bdd5d552d8de067d4a03be944/README.md,https://github.com/google/accompanist/blob/583f19d21ddc9eeae737349b00cd38391d408fa9/generate_docs.sh#L34
IS,repo,README.md,252,254,e45e100b4bce7e9bdd5d552d8de067d4a03be944,1651236196,583f19d21ddc9eeae737349b00cd38391d408fa9,1655467267,e45e100b4bce7e9bdd5d552d8de067d4a03be944,1651236196,https://github.com/google/accompanist/blob/e45e100b4bce7e9bdd5d552d8de067d4a03be944/README.md,https://github.com/google/accompanist/blob/583f19d21ddc9eeae737349b00cd38391d408fa9/web/src/main/java/com/google/accompanist/web/WebView.kt#L11
KIND,repo,README.md,252,254,e45e100b4bce7e9bdd5d552d8de067d4a03be944,1651236196,583f19d21ddc9eeae737349b00cd38391d408fa9,1655467267,e45e100b4bce7e9bdd5d552d8de067d4a03be944,1651236196,https://github.com/google/accompanist/blob/e45e100b4bce7e9bdd5d552d8de067d4a03be944/README.md,https://github.com/google/accompanist/blob/583f19d21ddc9eeae737349b00cd38391d408fa9/web/src/main/java/com/google/accompanist/web/WebView.kt#L12
LICENSE,repo,README.md,253,255,e45e100b4bce7e9bdd5d552d8de067d4a03be944,1651236196,583f19d21ddc9eeae737349b00cd38391d408fa9,1655467267,e45e100b4bce7e9bdd5d552d8de067d4a03be944,1651236196,https://github.com/google/accompanist/blob/e45e100b4bce7e9bdd5d552d8de067d4a03be944/README.md,https://github.com/google/accompanist/blob/583f19d21ddc9eeae737349b00cd38391d408fa9/web/src/main/java/com/google/accompanist/web/WebView.kt#L8
OF,repo,README.md,253,255,e45e100b4bce7e9bdd5d552d8de067d4a03be944,1651236196,583f19d21ddc9eeae737349b00cd38391d408fa9,1655467267,e45e100b4bce7e9bdd5d552d8de067d4a03be944,1651236196,https://github.com/google/accompanist/blob/e45e100b4bce7e9bdd5d552d8de067d4a03be944/README.md,https://github.com/google/accompanist/blob/583f19d21ddc9eeae737349b00cd38391d408fa9/web/src/main/java/com/google/accompanist/web/WebView.kt#L12
