code_element,page_type,page_name,rev_1,rev_2,rev_SHA_1,rev_timestamp_1,rev_SHA_2,rev_timestamp_2,doc_SHA,doc_timestamp,doc_link,source_link
ANY,repo,README.md,137,137,9c61d6df79c971a0b6c83795e7a91f2a375585cf,1595966632,f967f125249e12031d2d20864e74a47615319e19,1648110540,9c61d6df79c971a0b6c83795e7a91f2a375585cf,1595966632,https://github.com/google/android-classyshark/blob/9c61d6df79c971a0b6c83795e7a91f2a375585cf/README.md,https://github.com/google/android-classyshark/blob/f967f125249e12031d2d20864e74a47615319e19/third_party/java-binutils.LICENSE#L3
API,repo,README.md,4,4,9c61d6df79c971a0b6c83795e7a91f2a375585cf,1595966632,f967f125249e12031d2d20864e74a47615319e19,1648110540,9c61d6df79c971a0b6c83795e7a91f2a375585cf,1595966632,https://github.com/google/android-classyshark/blob/9c61d6df79c971a0b6c83795e7a91f2a375585cf/README.md,https://github.com/google/android-classyshark/blob/f967f125249e12031d2d20864e74a47615319e19/ClassySharkWS/src/com/google/classyshark/updater/networking/GitHubApi.java#L25
AS,repo,README.md,128,128,9c61d6df79c971a0b6c83795e7a91f2a375585cf,1595966632,f967f125249e12031d2d20864e74a47615319e19,1648110540,9c61d6df79c971a0b6c83795e7a91f2a375585cf,1595966632,https://github.com/google/android-classyshark/blob/9c61d6df79c971a0b6c83795e7a91f2a375585cf/README.md,https://github.com/google/android-classyshark/blob/f967f125249e12031d2d20864e74a47615319e19/third_party/java-binutils.LICENSE#L54
ASM,repo,README.md,4,4,9c61d6df79c971a0b6c83795e7a91f2a375585cf,1595966632,f967f125249e12031d2d20864e74a47615319e19,1648110540,9c61d6df79c971a0b6c83795e7a91f2a375585cf,1595966632,https://github.com/google/android-classyshark/blob/9c61d6df79c971a0b6c83795e7a91f2a375585cf/README.md,https://github.com/google/android-classyshark/blob/f967f125249e12031d2d20864e74a47615319e19/ClassySharkWS/src/com/google/classyshark/silverghost/translator/java/clazz/asm/MetaObjectAsmClass.java#L29
AndroidManifest,repo,README.md,13,13,9c61d6df79c971a0b6c83795e7a91f2a375585cf,1595966632,f967f125249e12031d2d20864e74a47615319e19,1648110540,9c61d6df79c971a0b6c83795e7a91f2a375585cf,1595966632,https://github.com/google/android-classyshark/blob/9c61d6df79c971a0b6c83795e7a91f2a375585cf/README.md,https://github.com/google/android-classyshark/blob/f967f125249e12031d2d20864e74a47615319e19/ClassySharkWS/src/com/google/classyshark/silverghost/translator/xml/AndroidXmlTranslator.java#L42
BASIS,repo,README.md,125,125,9c61d6df79c971a0b6c83795e7a91f2a375585cf,1595966632,f967f125249e12031d2d20864e74a47615319e19,1648110540,9c61d6df79c971a0b6c83795e7a91f2a375585cf,1595966632,https://github.com/google/android-classyshark/blob/9c61d6df79c971a0b6c83795e7a91f2a375585cf/README.md,https://github.com/google/android-classyshark/blob/f967f125249e12031d2d20864e74a47615319e19/third_party/java-binutils.LICENSE#L54
CONDITIONS,repo,README.md,130,130,9c61d6df79c971a0b6c83795e7a91f2a375585cf,1595966632,f967f125249e12031d2d20864e74a47615319e19,1648110540,9c61d6df79c971a0b6c83795e7a91f2a375585cf,1595966632,https://github.com/google/android-classyshark/blob/9c61d6df79c971a0b6c83795e7a91f2a375585cf/README.md,https://github.com/google/android-classyshark/blob/f967f125249e12031d2d20864e74a47615319e19/third_party/java-binutils.LICENSE#L54
ClassyShark,repo,README.md,27,27,9c61d6df79c971a0b6c83795e7a91f2a375585cf,1595966632,f967f125249e12031d2d20864e74a47615319e19,1648110540,9c61d6df79c971a0b6c83795e7a91f2a375585cf,1595966632,https://github.com/google/android-classyshark/blob/9c61d6df79c971a0b6c83795e7a91f2a375585cf/README.md,https://github.com/google/android-classyshark/blob/f967f125249e12031d2d20864e74a47615319e19/Samples/SampleGradle/build.gradle#L11
ClassySharkWS,repo,README.md,9,9,9c61d6df79c971a0b6c83795e7a91f2a375585cf,1595966632,f967f125249e12031d2d20864e74a47615319e19,1648110540,9c61d6df79c971a0b6c83795e7a91f2a375585cf,1595966632,https://github.com/google/android-classyshark/blob/9c61d6df79c971a0b6c83795e7a91f2a375585cf/README.md,https://github.com/google/android-classyshark/blob/f967f125249e12031d2d20864e74a47615319e19/.gitignore#L3
GitHub,repo,README.md,3,3,9c61d6df79c971a0b6c83795e7a91f2a375585cf,1595966632,f967f125249e12031d2d20864e74a47615319e19,1648110540,9c61d6df79c971a0b6c83795e7a91f2a375585cf,1595966632,https://github.com/google/android-classyshark/blob/9c61d6df79c971a0b6c83795e7a91f2a375585cf/README.md,https://github.com/google/android-classyshark/blob/f967f125249e12031d2d20864e74a47615319e19/ClassySharkWS/src/com/google/classyshark/updater/networking/GitHubApi.java#L26
