code_element,page_type,page_name,rev_1,rev_2,rev_SHA_1,rev_timestamp_1,rev_SHA_2,rev_timestamp_2,doc_SHA,doc_timestamp,doc_link,source_link
"""webrtc""",repo,README.md,4,4,6932c5fe4fa6af358343752b6abf6b82f8c89ff9,1599271478,01acb09fbf4b154214fe26e9e32ce30205d9fc0c,1647627091,6932c5fe4fa6af358343752b6abf6b82f8c89ff9,1599271478,https://github.com/google/android-emulator-webrtc/blob/6932c5fe4fa6af358343752b6abf6b82f8c89ff9/README.md,https://github.com/google/android-emulator-webrtc/blob/01acb09fbf4b154214fe26e9e32ce30205d9fc0c/src/components/emulator/emulator.js#L85
1.0,repo,README.md,800,931,6932c5fe4fa6af358343752b6abf6b82f8c89ff9,1599271478,01acb09fbf4b154214fe26e9e32ce30205d9fc0c,1647627091,6932c5fe4fa6af358343752b6abf6b82f8c89ff9,1599271478,https://github.com/google/android-emulator-webrtc/blob/6932c5fe4fa6af358343752b6abf6b82f8c89ff9/README.md,https://github.com/google/android-emulator-webrtc/blob/01acb09fbf4b154214fe26e9e32ce30205d9fc0c/test/touch_event_handler.test.js#L79
API,repo,README.md,4,12,6932c5fe4fa6af358343752b6abf6b82f8c89ff9,1599271478,01acb09fbf4b154214fe26e9e32ce30205d9fc0c,1647627091,6932c5fe4fa6af358343752b6abf6b82f8c89ff9,1599271478,https://github.com/google/android-emulator-webrtc/blob/6932c5fe4fa6af358343752b6abf6b82f8c89ff9/README.md,https://github.com/google/android-emulator-webrtc/blob/01acb09fbf4b154214fe26e9e32ce30205d9fc0c/src/components/emulator/views/webrtc_view.js#L112
AppSwitch,repo,README.md,2,3,6932c5fe4fa6af358343752b6abf6b82f8c89ff9,1599271478,01acb09fbf4b154214fe26e9e32ce30205d9fc0c,1647627091,6932c5fe4fa6af358343752b6abf6b82f8c89ff9,1599271478,https://github.com/google/android-emulator-webrtc/blob/6932c5fe4fa6af358343752b6abf6b82f8c89ff9/README.md,https://github.com/google/android-emulator-webrtc/blob/01acb09fbf4b154214fe26e9e32ce30205d9fc0c/src/components/emulator/emulator.js#L62
AudioVolumeDown,repo,README.md,2,2,6932c5fe4fa6af358343752b6abf6b82f8c89ff9,1599271478,01acb09fbf4b154214fe26e9e32ce30205d9fc0c,1647627091,6932c5fe4fa6af358343752b6abf6b82f8c89ff9,1599271478,https://github.com/google/android-emulator-webrtc/blob/6932c5fe4fa6af358343752b6abf6b82f8c89ff9/README.md,https://github.com/google/android-emulator-webrtc/blob/01acb09fbf4b154214fe26e9e32ce30205d9fc0c/src/components/emulator/emulator.js#L59
AudioVolumeUp,repo,README.md,2,2,6932c5fe4fa6af358343752b6abf6b82f8c89ff9,1599271478,01acb09fbf4b154214fe26e9e32ce30205d9fc0c,1647627091,6932c5fe4fa6af358343752b6abf6b82f8c89ff9,1599271478,https://github.com/google/android-emulator-webrtc/blob/6932c5fe4fa6af358343752b6abf6b82f8c89ff9/README.md,https://github.com/google/android-emulator-webrtc/blob/01acb09fbf4b154214fe26e9e32ce30205d9fc0c/src/components/emulator/emulator.js#L60
EmulatorControllerService,repo,README.md,30,33,6932c5fe4fa6af358343752b6abf6b82f8c89ff9,1599271478,01acb09fbf4b154214fe26e9e32ce30205d9fc0c,1647627091,6932c5fe4fa6af358343752b6abf6b82f8c89ff9,1599271478,https://github.com/google/android-emulator-webrtc/blob/6932c5fe4fa6af358343752b6abf6b82f8c89ff9/README.md,https://github.com/google/android-emulator-webrtc/blob/01acb09fbf4b154214fe26e9e32ce30205d9fc0c/test/touch_event_handler.test.js#L28
EmulatorStatus,repo,README.md,10,12,6932c5fe4fa6af358343752b6abf6b82f8c89ff9,1599271478,01acb09fbf4b154214fe26e9e32ce30205d9fc0c,1647627091,6932c5fe4fa6af358343752b6abf6b82f8c89ff9,1599271478,https://github.com/google/android-emulator-webrtc/blob/6932c5fe4fa6af358343752b6abf6b82f8c89ff9/README.md,https://github.com/google/android-emulator-webrtc/blob/01acb09fbf4b154214fe26e9e32ce30205d9fc0c/src/index.js#L18
Function,repo,README.md,6,6,6932c5fe4fa6af358343752b6abf6b82f8c89ff9,1599271478,01acb09fbf4b154214fe26e9e32ce30205d9fc0c,1647627091,6932c5fe4fa6af358343752b6abf6b82f8c89ff9,1599271478,https://github.com/google/android-emulator-webrtc/blob/6932c5fe4fa6af358343752b6abf6b82f8c89ff9/README.md,https://github.com/google/android-emulator-webrtc/blob/01acb09fbf4b154214fe26e9e32ce30205d9fc0c/src/components/emulator/views/webrtc_view.js#L27
GeolocationCoordinates,repo,README.md,2,2,6932c5fe4fa6af358343752b6abf6b82f8c89ff9,1599271478,01acb09fbf4b154214fe26e9e32ce30205d9fc0c,1647627091,6932c5fe4fa6af358343752b6abf6b82f8c89ff9,1599271478,https://github.com/google/android-emulator-webrtc/blob/6932c5fe4fa6af358343752b6abf6b82f8c89ff9/README.md,https://github.com/google/android-emulator-webrtc/blob/01acb09fbf4b154214fe26e9e32ce30205d9fc0c/src/components/emulator/emulator.js#L87
GoBack,repo,README.md,2,3,6932c5fe4fa6af358343752b6abf6b82f8c89ff9,1599271478,01acb09fbf4b154214fe26e9e32ce30205d9fc0c,1647627091,6932c5fe4fa6af358343752b6abf6b82f8c89ff9,1599271478,https://github.com/google/android-emulator-webrtc/blob/6932c5fe4fa6af358343752b6abf6b82f8c89ff9/README.md,https://github.com/google/android-emulator-webrtc/blob/01acb09fbf4b154214fe26e9e32ce30205d9fc0c/src/components/emulator/emulator.js#L64
GoHome,repo,README.md,2,3,6932c5fe4fa6af358343752b6abf6b82f8c89ff9,1599271478,01acb09fbf4b154214fe26e9e32ce30205d9fc0c,1647627091,6932c5fe4fa6af358343752b6abf6b82f8c89ff9,1599271478,https://github.com/google/android-emulator-webrtc/blob/6932c5fe4fa6af358343752b6abf6b82f8c89ff9/README.md,https://github.com/google/android-emulator-webrtc/blob/01acb09fbf4b154214fe26e9e32ce30205d9fc0c/src/components/emulator/emulator.js#L63
Object,repo,README.md,18,24,6932c5fe4fa6af358343752b6abf6b82f8c89ff9,1599271478,01acb09fbf4b154214fe26e9e32ce30205d9fc0c,1647627091,6932c5fe4fa6af358343752b6abf6b82f8c89ff9,1599271478,https://github.com/google/android-emulator-webrtc/blob/6932c5fe4fa6af358343752b6abf6b82f8c89ff9/README.md,https://github.com/google/android-emulator-webrtc/blob/01acb09fbf4b154214fe26e9e32ce30205d9fc0c/test/touch_event_handler.test.js#L54
String,repo,README.md,1,1,6932c5fe4fa6af358343752b6abf6b82f8c89ff9,1599271478,01acb09fbf4b154214fe26e9e32ce30205d9fc0c,1647627091,6932c5fe4fa6af358343752b6abf6b82f8c89ff9,1599271478,https://github.com/google/android-emulator-webrtc/blob/6932c5fe4fa6af358343752b6abf6b82f8c89ff9/README.md,https://github.com/google/android-emulator-webrtc/blob/01acb09fbf4b154214fe26e9e32ce30205d9fc0c/test/emulator.test.js#L43
UI,repo,README.md,1,2,6932c5fe4fa6af358343752b6abf6b82f8c89ff9,1599271478,01acb09fbf4b154214fe26e9e32ce30205d9fc0c,1647627091,6932c5fe4fa6af358343752b6abf6b82f8c89ff9,1599271478,https://github.com/google/android-emulator-webrtc/blob/6932c5fe4fa6af358343752b6abf6b82f8c89ff9/README.md,https://github.com/google/android-emulator-webrtc/blob/01acb09fbf4b154214fe26e9e32ce30205d9fc0c/src/components/emulator/net/logcat.js#L136
US,repo,README.md,4,11,6932c5fe4fa6af358343752b6abf6b82f8c89ff9,1599271478,01acb09fbf4b154214fe26e9e32ce30205d9fc0c,1647627091,6932c5fe4fa6af358343752b6abf6b82f8c89ff9,1599271478,https://github.com/google/android-emulator-webrtc/blob/6932c5fe4fa6af358343752b6abf6b82f8c89ff9/README.md,https://github.com/google/android-emulator-webrtc/blob/01acb09fbf4b154214fe26e9e32ce30205d9fc0c/src/components/emulator/views/webrtc_view.js#L112
authHeader,repo,README.md,10,5,6932c5fe4fa6af358343752b6abf6b82f8c89ff9,1599271478,01acb09fbf4b154214fe26e9e32ce30205d9fc0c,1647627091,6932c5fe4fa6af358343752b6abf6b82f8c89ff9,1599271478,https://github.com/google/android-emulator-webrtc/blob/6932c5fe4fa6af358343752b6abf6b82f8c89ff9/README.md,https://github.com/google/android-emulator-webrtc/blob/01acb09fbf4b154214fe26e9e32ce30205d9fc0c/src/proto/emulator_web_client.js#L22
authHeader(),repo,README.md,11,7,6932c5fe4fa6af358343752b6abf6b82f8c89ff9,1599271478,01acb09fbf4b154214fe26e9e32ce30205d9fc0c,1647627091,6932c5fe4fa6af358343752b6abf6b82f8c89ff9,1599271478,https://github.com/google/android-emulator-webrtc/blob/6932c5fe4fa6af358343752b6abf6b82f8c89ff9/README.md,https://github.com/google/android-emulator-webrtc/blob/01acb09fbf4b154214fe26e9e32ce30205d9fc0c/src/proto/emulator_web_client.js#L50
