code_element,page_type,page_name,rev_1,rev_2,rev_SHA_1,rev_timestamp_1,rev_SHA_2,rev_timestamp_2,doc_SHA,doc_timestamp,doc_link,source_link
API,repo,README.md,355,351,26a93c89f21e4cc2b2d28b74862c3213d6e075c8,1634116866,0b15cef388b16fb760b8342fbb5c472b445c9596,1639062094,26a93c89f21e4cc2b2d28b74862c3213d6e075c8,1634116866,https://github.com/google/assetMG/blob/26a93c89f21e4cc2b2d28b74862c3213d6e075c8/README.md,https://github.com/google/assetMG/blob/0b15cef388b16fb760b8342fbb5c472b445c9596/main.py#L264
AssetMG,repo,README.md,35,34,26a93c89f21e4cc2b2d28b74862c3213d6e075c8,1634116866,0b15cef388b16fb760b8342fbb5c472b445c9596,1639062094,26a93c89f21e4cc2b2d28b74862c3213d6e075c8,1634116866,https://github.com/google/assetMG/blob/26a93c89f21e4cc2b2d28b74862c3213d6e075c8/README.md,https://github.com/google/assetMG/blob/0b15cef388b16fb760b8342fbb5c472b445c9596/scripts/setup_windows.ps1#L121
AssetMG.command,repo,README.md,4,4,26a93c89f21e4cc2b2d28b74862c3213d6e075c8,1634116866,0b15cef388b16fb760b8342fbb5c472b445c9596,1639062094,26a93c89f21e4cc2b2d28b74862c3213d6e075c8,1634116866,https://github.com/google/assetMG/blob/26a93c89f21e4cc2b2d28b74862c3213d6e075c8/README.md,https://github.com/google/assetMG/blob/0b15cef388b16fb760b8342fbb5c472b445c9596/scripts/setup_macos.command#L136
ExecutionPolicy,repo,README.md,1,1,26a93c89f21e4cc2b2d28b74862c3213d6e075c8,1634116866,0b15cef388b16fb760b8342fbb5c472b445c9596,1639062094,26a93c89f21e4cc2b2d28b74862c3213d6e075c8,1634116866,https://github.com/google/assetMG/blob/26a93c89f21e4cc2b2d28b74862c3213d6e075c8/README.md,https://github.com/google/assetMG/blob/0b15cef388b16fb760b8342fbb5c472b445c9596/scripts/setup_windows.ps1#L117
FE,repo,README.md,6,6,26a93c89f21e4cc2b2d28b74862c3213d6e075c8,1634116866,0b15cef388b16fb760b8342fbb5c472b445c9596,1639062094,26a93c89f21e4cc2b2d28b74862c3213d6e075c8,1634116866,https://github.com/google/assetMG/blob/26a93c89f21e4cc2b2d28b74862c3213d6e075c8/README.md,https://github.com/google/assetMG/blob/0b15cef388b16fb760b8342fbb5c472b445c9596/app/asset_browser/frontend/dist/frontend/vendor-es5.js.map#L1
GitHub,repo,README.md,4,4,26a93c89f21e4cc2b2d28b74862c3213d6e075c8,1634116866,0b15cef388b16fb760b8342fbb5c472b445c9596,1639062094,26a93c89f21e4cc2b2d28b74862c3213d6e075c8,1634116866,https://github.com/google/assetMG/blob/26a93c89f21e4cc2b2d28b74862c3213d6e075c8/README.md,https://github.com/google/assetMG/blob/0b15cef388b16fb760b8342fbb5c472b445c9596/app/asset_browser/frontend/dist/frontend/polyfills-es5.js.map#L1
ID,repo,README.md,194,192,26a93c89f21e4cc2b2d28b74862c3213d6e075c8,1634116866,0b15cef388b16fb760b8342fbb5c472b445c9596,1639062094,26a93c89f21e4cc2b2d28b74862c3213d6e075c8,1634116866,https://github.com/google/assetMG/blob/26a93c89f21e4cc2b2d28b74862c3213d6e075c8/README.md,https://github.com/google/assetMG/blob/0b15cef388b16fb760b8342fbb5c472b445c9596/app/backend/helpers.py#L35
JavaScript,repo,README.md,56,56,26a93c89f21e4cc2b2d28b74862c3213d6e075c8,1634116866,0b15cef388b16fb760b8342fbb5c472b445c9596,1639062094,26a93c89f21e4cc2b2d28b74862c3213d6e075c8,1634116866,https://github.com/google/assetMG/blob/26a93c89f21e4cc2b2d28b74862c3213d6e075c8/README.md,https://github.com/google/assetMG/blob/0b15cef388b16fb760b8342fbb5c472b445c9596/app/asset_browser/frontend/dist/frontend/vendor-es5.js.map#L1
LANG,repo,README.md,4,4,26a93c89f21e4cc2b2d28b74862c3213d6e075c8,1634116866,0b15cef388b16fb760b8342fbb5c472b445c9596,1639062094,26a93c89f21e4cc2b2d28b74862c3213d6e075c8,1634116866,https://github.com/google/assetMG/blob/26a93c89f21e4cc2b2d28b74862c3213d6e075c8/README.md,https://github.com/google/assetMG/blob/0b15cef388b16fb760b8342fbb5c472b445c9596/scripts/setup_macos.command#L113
LLC,repo,README.md,3026,3023,26a93c89f21e4cc2b2d28b74862c3213d6e075c8,1634116866,0b15cef388b16fb760b8342fbb5c472b445c9596,1639062094,26a93c89f21e4cc2b2d28b74862c3213d6e075c8,1634116866,https://github.com/google/assetMG/blob/26a93c89f21e4cc2b2d28b74862c3213d6e075c8/README.md,https://github.com/google/assetMG/blob/0b15cef388b16fb760b8342fbb5c472b445c9596/main.py#L1
NOTE,repo,README.md,156,156,26a93c89f21e4cc2b2d28b74862c3213d6e075c8,1634116866,0b15cef388b16fb760b8342fbb5c472b445c9596,1639062094,26a93c89f21e4cc2b2d28b74862c3213d6e075c8,1634116866,https://github.com/google/assetMG/blob/26a93c89f21e4cc2b2d28b74862c3213d6e075c8/README.md,https://github.com/google/assetMG/blob/0b15cef388b16fb760b8342fbb5c472b445c9596/scripts/setup_windows.ps1#L66
NodeJS,repo,README.md,6,6,26a93c89f21e4cc2b2d28b74862c3213d6e075c8,1634116866,0b15cef388b16fb760b8342fbb5c472b445c9596,1639062094,26a93c89f21e4cc2b2d28b74862c3213d6e075c8,1634116866,https://github.com/google/assetMG/blob/26a93c89f21e4cc2b2d28b74862c3213d6e075c8/README.md,https://github.com/google/assetMG/blob/0b15cef388b16fb760b8342fbb5c472b445c9596/scripts/setup_macos.command#L73
UAC,repo,README.md,35,34,26a93c89f21e4cc2b2d28b74862c3213d6e075c8,1634116866,0b15cef388b16fb760b8342fbb5c472b445c9596,1639062094,26a93c89f21e4cc2b2d28b74862c3213d6e075c8,1634116866,https://github.com/google/assetMG/blob/26a93c89f21e4cc2b2d28b74862c3213d6e075c8/README.md,https://github.com/google/assetMG/blob/0b15cef388b16fb760b8342fbb5c472b445c9596/app/asset_browser/frontend/dist/frontend/vendor-es5.js.map#L1
UI,repo,README.md,105,105,26a93c89f21e4cc2b2d28b74862c3213d6e075c8,1634116866,0b15cef388b16fb760b8342fbb5c472b445c9596,1639062094,26a93c89f21e4cc2b2d28b74862c3213d6e075c8,1634116866,https://github.com/google/assetMG/blob/26a93c89f21e4cc2b2d28b74862c3213d6e075c8/README.md,https://github.com/google/assetMG/blob/0b15cef388b16fb760b8342fbb5c472b445c9596/app/asset_browser/frontend/src/app/account-struct/account-struct.component.ts#L86
URI,repo,README.md,8,8,26a93c89f21e4cc2b2d28b74862c3213d6e075c8,1634116866,0b15cef388b16fb760b8342fbb5c472b445c9596,1639062094,26a93c89f21e4cc2b2d28b74862c3213d6e075c8,1634116866,https://github.com/google/assetMG/blob/26a93c89f21e4cc2b2d28b74862c3213d6e075c8/README.md,https://github.com/google/assetMG/blob/0b15cef388b16fb760b8342fbb5c472b445c9596/app/asset_browser/frontend/dist/frontend/vendor-es5.js.map#L1
URL,repo,README.md,823,823,26a93c89f21e4cc2b2d28b74862c3213d6e075c8,1634116866,0b15cef388b16fb760b8342fbb5c472b445c9596,1639062094,26a93c89f21e4cc2b2d28b74862c3213d6e075c8,1634116866,https://github.com/google/assetMG/blob/26a93c89f21e4cc2b2d28b74862c3213d6e075c8/README.md,https://github.com/google/assetMG/blob/0b15cef388b16fb760b8342fbb5c472b445c9596/scripts/deploy_cloud.sh#L23
UTF,repo,README.md,12,12,26a93c89f21e4cc2b2d28b74862c3213d6e075c8,1634116866,0b15cef388b16fb760b8342fbb5c472b445c9596,1639062094,26a93c89f21e4cc2b2d28b74862c3213d6e075c8,1634116866,https://github.com/google/assetMG/blob/26a93c89f21e4cc2b2d28b74862c3213d6e075c8/README.md,https://github.com/google/assetMG/blob/0b15cef388b16fb760b8342fbb5c472b445c9596/scripts/setup_macos.command#L112
ValueError,repo,README.md,1,0,26a93c89f21e4cc2b2d28b74862c3213d6e075c8,1634116866,0b15cef388b16fb760b8342fbb5c472b445c9596,1639062094,26a93c89f21e4cc2b2d28b74862c3213d6e075c8,1634116866,https://github.com/google/assetMG/blob/26a93c89f21e4cc2b2d28b74862c3213d6e075c8/README.md,https://github.com/google/assetMG/blob/26a93c89f21e4cc2b2d28b74862c3213d6e075c8/app/backend/mutate.py#L38
YouTube,repo,README.md,73,70,26a93c89f21e4cc2b2d28b74862c3213d6e075c8,1634116866,0b15cef388b16fb760b8342fbb5c472b445c9596,1639062094,26a93c89f21e4cc2b2d28b74862c3213d6e075c8,1634116866,https://github.com/google/assetMG/blob/26a93c89f21e4cc2b2d28b74862c3213d6e075c8/README.md,https://github.com/google/assetMG/blob/0b15cef388b16fb760b8342fbb5c472b445c9596/app/backend/error_handling.py#L25
assetMG,repo,README.md,42,41,26a93c89f21e4cc2b2d28b74862c3213d6e075c8,1634116866,0b15cef388b16fb760b8342fbb5c472b445c9596,1639062094,26a93c89f21e4cc2b2d28b74862c3213d6e075c8,1634116866,https://github.com/google/assetMG/blob/26a93c89f21e4cc2b2d28b74862c3213d6e075c8/README.md,https://github.com/google/assetMG/blob/0b15cef388b16fb760b8342fbb5c472b445c9596/scripts/setup_windows.ps1#L56
asset_browser,repo,README.md,24,24,26a93c89f21e4cc2b2d28b74862c3213d6e075c8,1634116866,0b15cef388b16fb760b8342fbb5c472b445c9596,1639062094,26a93c89f21e4cc2b2d28b74862c3213d6e075c8,1634116866,https://github.com/google/assetMG/blob/26a93c89f21e4cc2b2d28b74862c3213d6e075c8/README.md,https://github.com/google/assetMG/blob/0b15cef388b16fb760b8342fbb5c472b445c9596/scripts/setup_windows.ps1#L90
export,repo,README.md,3993,3993,26a93c89f21e4cc2b2d28b74862c3213d6e075c8,1634116866,0b15cef388b16fb760b8342fbb5c472b445c9596,1639062094,26a93c89f21e4cc2b2d28b74862c3213d6e075c8,1634116866,https://github.com/google/assetMG/blob/26a93c89f21e4cc2b2d28b74862c3213d6e075c8/README.md,https://github.com/google/assetMG/blob/0b15cef388b16fb760b8342fbb5c472b445c9596/scripts/setup_macos.command#L28
localhost:5000,repo,README.md,2,2,26a93c89f21e4cc2b2d28b74862c3213d6e075c8,1634116866,0b15cef388b16fb760b8342fbb5c472b445c9596,1639062094,26a93c89f21e4cc2b2d28b74862c3213d6e075c8,1634116866,https://github.com/google/assetMG/blob/26a93c89f21e4cc2b2d28b74862c3213d6e075c8/README.md,https://github.com/google/assetMG/blob/0b15cef388b16fb760b8342fbb5c472b445c9596/scripts/run_unix.sh#L48
node_modules,repo,README.md,7940,7940,26a93c89f21e4cc2b2d28b74862c3213d6e075c8,1634116866,0b15cef388b16fb760b8342fbb5c472b445c9596,1639062094,26a93c89f21e4cc2b2d28b74862c3213d6e075c8,1634116866,https://github.com/google/assetMG/blob/26a93c89f21e4cc2b2d28b74862c3213d6e075c8/README.md,https://github.com/google/assetMG/blob/0b15cef388b16fb760b8342fbb5c472b445c9596/scripts/setup_windows.ps1#L92
pip,repo,README.md,8,8,26a93c89f21e4cc2b2d28b74862c3213d6e075c8,1634116866,0b15cef388b16fb760b8342fbb5c472b445c9596,1639062094,26a93c89f21e4cc2b2d28b74862c3213d6e075c8,1634116866,https://github.com/google/assetMG/blob/26a93c89f21e4cc2b2d28b74862c3213d6e075c8/README.md,https://github.com/google/assetMG/blob/0b15cef388b16fb760b8342fbb5c472b445c9596/scripts/setup_windows.ps1#L79
run_unix.sh,repo,README.md,5,5,26a93c89f21e4cc2b2d28b74862c3213d6e075c8,1634116866,0b15cef388b16fb760b8342fbb5c472b445c9596,1639062094,26a93c89f21e4cc2b2d28b74862c3213d6e075c8,1634116866,https://github.com/google/assetMG/blob/26a93c89f21e4cc2b2d28b74862c3213d6e075c8/README.md,https://github.com/google/assetMG/blob/0b15cef388b16fb760b8342fbb5c472b445c9596/scripts/setup_linux.sh#L114
win_run.cmd,repo,README.md,2,2,26a93c89f21e4cc2b2d28b74862c3213d6e075c8,1634116866,0b15cef388b16fb760b8342fbb5c472b445c9596,1639062094,26a93c89f21e4cc2b2d28b74862c3213d6e075c8,1634116866,https://github.com/google/assetMG/blob/26a93c89f21e4cc2b2d28b74862c3213d6e075c8/README.md,https://github.com/google/assetMG/blob/0b15cef388b16fb760b8342fbb5c472b445c9596/scripts/setup_windows.ps1#L117
