code_element,page_type,page_name,rev_1,rev_2,rev_SHA_1,rev_timestamp_1,rev_SHA_2,rev_timestamp_2,doc_SHA,doc_timestamp,doc_link,source_link
/tmp/out.png,repo,README.md,1,1,3c4c3d4ee0a275e077ee5df5966279c2b139f83d,1632751114,dbb7ec36f36c8e835a36561c520f0cbfc4e04458,1632870295,3c4c3d4ee0a275e077ee5df5966279c2b139f83d,1632751114,https://github.com/google/autocjk/blob/3c4c3d4ee0a275e077ee5df5966279c2b139f83d/README.md,https://github.com/google/autocjk/blob/dbb7ec36f36c8e835a36561c520f0cbfc4e04458/src/main.py#L34
20E74,repo,README.md,1,1,3c4c3d4ee0a275e077ee5df5966279c2b139f83d,1632751114,dbb7ec36f36c8e835a36561c520f0cbfc4e04458,1632870295,3c4c3d4ee0a275e077ee5df5966279c2b139f83d,1632751114,https://github.com/google/autocjk/blob/3c4c3d4ee0a275e077ee5df5966279c2b139f83d/README.md,https://github.com/google/autocjk/blob/dbb7ec36f36c8e835a36561c520f0cbfc4e04458/third_party/IDS.TXT#L31434
CJK,repo,README.md,55,55,3c4c3d4ee0a275e077ee5df5966279c2b139f83d,1632751114,dbb7ec36f36c8e835a36561c520f0cbfc4e04458,1632870295,3c4c3d4ee0a275e077ee5df5966279c2b139f83d,1632751114,https://github.com/google/autocjk/blob/3c4c3d4ee0a275e077ee5df5966279c2b139f83d/README.md,https://github.com/google/autocjk/blob/dbb7ec36f36c8e835a36561c520f0cbfc4e04458/third_party/IDS.TXT#L1
font_path,repo,README.md,35,35,3c4c3d4ee0a275e077ee5df5966279c2b139f83d,1632751114,dbb7ec36f36c8e835a36561c520f0cbfc4e04458,1632870295,3c4c3d4ee0a275e077ee5df5966279c2b139f83d,1632751114,https://github.com/google/autocjk/blob/3c4c3d4ee0a275e077ee5df5966279c2b139f83d/README.md,https://github.com/google/autocjk/blob/dbb7ec36f36c8e835a36561c520f0cbfc4e04458/src/tools/make_dataset_lib.py#L43
model.py,repo,README.md,3,3,3c4c3d4ee0a275e077ee5df5966279c2b139f83d,1632751114,dbb7ec36f36c8e835a36561c520f0cbfc4e04458,1632870295,3c4c3d4ee0a275e077ee5df5966279c2b139f83d,1632751114,https://github.com/google/autocjk/blob/3c4c3d4ee0a275e077ee5df5966279c2b139f83d/README.md,https://github.com/google/autocjk/blob/dbb7ec36f36c8e835a36561c520f0cbfc4e04458/src/imageutils.py#L53
path_to_font,repo,README.md,1,1,3c4c3d4ee0a275e077ee5df5966279c2b139f83d,1632751114,dbb7ec36f36c8e835a36561c520f0cbfc4e04458,1632870295,3c4c3d4ee0a275e077ee5df5966279c2b139f83d,1632751114,https://github.com/google/autocjk/blob/3c4c3d4ee0a275e077ee5df5966279c2b139f83d/README.md,https://github.com/google/autocjk/blob/dbb7ec36f36c8e835a36561c520f0cbfc4e04458/src/tools/make_dataset.py#L19
src:main,repo,README.md,1,1,3c4c3d4ee0a275e077ee5df5966279c2b139f83d,1632751114,dbb7ec36f36c8e835a36561c520f0cbfc4e04458,1632870295,3c4c3d4ee0a275e077ee5df5966279c2b139f83d,1632751114,https://github.com/google/autocjk/blob/3c4c3d4ee0a275e077ee5df5966279c2b139f83d/README.md,https://github.com/google/autocjk/blob/dbb7ec36f36c8e835a36561c520f0cbfc4e04458/src/README.md#L97
MacOS,wiki,Home.md,0,1,d11d27f8ee69cf68e5f8e55cec53b900e8fe8c58,1615943546,dbb7ec36f36c8e835a36561c520f0cbfc4e04458,1632870295,398904172fde315b8ad61f75b0267d82cc38a3f2,1615942730,https://github.com/google/autocjk/wiki/Home/398904172fde315b8ad61f75b0267d82cc38a3f2,https://github.com/google/autocjk/blob/dbb7ec36f36c8e835a36561c520f0cbfc4e04458/src/imageutils.py#L81
PIL,wiki,Home.md,4,9,d11d27f8ee69cf68e5f8e55cec53b900e8fe8c58,1615943546,dbb7ec36f36c8e835a36561c520f0cbfc4e04458,1632870295,398904172fde315b8ad61f75b0267d82cc38a3f2,1615942730,https://github.com/google/autocjk/wiki/Home/398904172fde315b8ad61f75b0267d82cc38a3f2,https://github.com/google/autocjk/blob/dbb7ec36f36c8e835a36561c520f0cbfc4e04458/src/tools/make_dataset_lib_test.py#L15
harfbuzz,wiki,Home.md,2,3,d11d27f8ee69cf68e5f8e55cec53b900e8fe8c58,1615943546,dbb7ec36f36c8e835a36561c520f0cbfc4e04458,1632870295,398904172fde315b8ad61f75b0267d82cc38a3f2,1615942730,https://github.com/google/autocjk/wiki/Home/398904172fde315b8ad61f75b0267d82cc38a3f2,https://github.com/google/autocjk/blob/dbb7ec36f36c8e835a36561c520f0cbfc4e04458/src/imageutils.py#L28
hb-view,wiki,Home.md,2,2,d11d27f8ee69cf68e5f8e55cec53b900e8fe8c58,1615943546,dbb7ec36f36c8e835a36561c520f0cbfc4e04458,1632870295,398904172fde315b8ad61f75b0267d82cc38a3f2,1615942730,https://github.com/google/autocjk/wiki/Home/398904172fde315b8ad61f75b0267d82cc38a3f2,https://github.com/google/autocjk/blob/dbb7ec36f36c8e835a36561c520f0cbfc4e04458/src/imageutils.py#L27
scipy,wiki,Home.md,0,1,d11d27f8ee69cf68e5f8e55cec53b900e8fe8c58,1615943546,dbb7ec36f36c8e835a36561c520f0cbfc4e04458,1632870295,398904172fde315b8ad61f75b0267d82cc38a3f2,1615942730,https://github.com/google/autocjk/wiki/Home/398904172fde315b8ad61f75b0267d82cc38a3f2,https://github.com/google/autocjk/blob/dbb7ec36f36c8e835a36561c520f0cbfc4e04458/requirements.txt#L18
