code_element,page_type,page_name,rev_1,rev_2,rev_SHA_1,rev_timestamp_1,rev_SHA_2,rev_timestamp_2,doc_SHA,doc_timestamp,doc_link,source_link
$DATA_STORAGE_PROJECT,repo,README.md,2,2,e04bd169495b81c453bed6d917da1dc2916fb1fc,1648557375,e04bd169495b81c453bed6d917da1dc2916fb1fc,1648557375,e04bd169495b81c453bed6d917da1dc2916fb1fc,1648557375,https://github.com/google/blockbuster/blob/e04bd169495b81c453bed6d917da1dc2916fb1fc/README.md,https://github.com/google/blockbuster/blob/e04bd169495b81c453bed6d917da1dc2916fb1fc/src/setup/set_env.sh#L79
$GCP_PROJECT_ID,repo,README.md,1,1,e04bd169495b81c453bed6d917da1dc2916fb1fc,1648557375,e04bd169495b81c453bed6d917da1dc2916fb1fc,1648557375,e04bd169495b81c453bed6d917da1dc2916fb1fc,1648557375,https://github.com/google/blockbuster/blob/e04bd169495b81c453bed6d917da1dc2916fb1fc/README.md,https://github.com/google/blockbuster/blob/e04bd169495b81c453bed6d917da1dc2916fb1fc/src/setup/set_env.sh#L59
API,repo,README.md,94,94,e04bd169495b81c453bed6d917da1dc2916fb1fc,1648557375,e04bd169495b81c453bed6d917da1dc2916fb1fc,1648557375,e04bd169495b81c453bed6d917da1dc2916fb1fc,1648557375,https://github.com/google/blockbuster/blob/e04bd169495b81c453bed6d917da1dc2916fb1fc/README.md,https://github.com/google/blockbuster/blob/e04bd169495b81c453bed6d917da1dc2916fb1fc/src/dags/dependencies/tcrm/utils/errors.py#L48
AutoML,repo,README.md,98,98,e04bd169495b81c453bed6d917da1dc2916fb1fc,1648557375,e04bd169495b81c453bed6d917da1dc2916fb1fc,1648557375,e04bd169495b81c453bed6d917da1dc2916fb1fc,1648557375,https://github.com/google/blockbuster/blob/e04bd169495b81c453bed6d917da1dc2916fb1fc/README.md,https://github.com/google/blockbuster/blob/e04bd169495b81c453bed6d917da1dc2916fb1fc/src/dags/subdags/train_model_dag.py#L65
BQ,repo,README.md,8,8,e04bd169495b81c453bed6d917da1dc2916fb1fc,1648557375,e04bd169495b81c453bed6d917da1dc2916fb1fc,1648557375,e04bd169495b81c453bed6d917da1dc2916fb1fc,1648557375,https://github.com/google/blockbuster/blob/e04bd169495b81c453bed6d917da1dc2916fb1fc/README.md,https://github.com/google/blockbuster/blob/e04bd169495b81c453bed6d917da1dc2916fb1fc/src/dags/subdags/prepare_source_dag.py#L16
BQ_LOCATION,repo,README.md,1,1,e04bd169495b81c453bed6d917da1dc2916fb1fc,1648557375,e04bd169495b81c453bed6d917da1dc2916fb1fc,1648557375,e04bd169495b81c453bed6d917da1dc2916fb1fc,1648557375,https://github.com/google/blockbuster/blob/e04bd169495b81c453bed6d917da1dc2916fb1fc/README.md,https://github.com/google/blockbuster/blob/e04bd169495b81c453bed6d917da1dc2916fb1fc/src/setup/set_env.sh#L54
GCP,repo,README.md,31,31,e04bd169495b81c453bed6d917da1dc2916fb1fc,1648557375,e04bd169495b81c453bed6d917da1dc2916fb1fc,1648557375,e04bd169495b81c453bed6d917da1dc2916fb1fc,1648557375,https://github.com/google/blockbuster/blob/e04bd169495b81c453bed6d917da1dc2916fb1fc/README.md,https://github.com/google/blockbuster/blob/e04bd169495b81c453bed6d917da1dc2916fb1fc/src/dags/subdags/prepare_source_dag.py#L117
GCP_BQ_WORKING_DATASET,repo,README.md,2,2,e04bd169495b81c453bed6d917da1dc2916fb1fc,1648557375,e04bd169495b81c453bed6d917da1dc2916fb1fc,1648557375,e04bd169495b81c453bed6d917da1dc2916fb1fc,1648557375,https://github.com/google/blockbuster/blob/e04bd169495b81c453bed6d917da1dc2916fb1fc/README.md,https://github.com/google/blockbuster/blob/e04bd169495b81c453bed6d917da1dc2916fb1fc/src/setup/set_env.sh#L62
GCP_BUCKET,repo,README.md,4,4,e04bd169495b81c453bed6d917da1dc2916fb1fc,1648557375,e04bd169495b81c453bed6d917da1dc2916fb1fc,1648557375,e04bd169495b81c453bed6d917da1dc2916fb1fc,1648557375,https://github.com/google/blockbuster/blob/e04bd169495b81c453bed6d917da1dc2916fb1fc/README.md,https://github.com/google/blockbuster/blob/e04bd169495b81c453bed6d917da1dc2916fb1fc/src/setup/set_env.sh#L61
GCP_PROJECT_ID,repo,README.md,4,4,e04bd169495b81c453bed6d917da1dc2916fb1fc,1648557375,e04bd169495b81c453bed6d917da1dc2916fb1fc,1648557375,e04bd169495b81c453bed6d917da1dc2916fb1fc,1648557375,https://github.com/google/blockbuster/blob/e04bd169495b81c453bed6d917da1dc2916fb1fc/README.md,https://github.com/google/blockbuster/blob/e04bd169495b81c453bed6d917da1dc2916fb1fc/src/setup/set_env.sh#L47
GCP_PROJECT_NUMBER,repo,README.md,3,3,e04bd169495b81c453bed6d917da1dc2916fb1fc,1648557375,e04bd169495b81c453bed6d917da1dc2916fb1fc,1648557375,e04bd169495b81c453bed6d917da1dc2916fb1fc,1648557375,https://github.com/google/blockbuster/blob/e04bd169495b81c453bed6d917da1dc2916fb1fc/README.md,https://github.com/google/blockbuster/blob/e04bd169495b81c453bed6d917da1dc2916fb1fc/src/setup/set_env.sh#L49
GCP_REGION,repo,README.md,3,3,e04bd169495b81c453bed6d917da1dc2916fb1fc,1648557375,e04bd169495b81c453bed6d917da1dc2916fb1fc,1648557375,e04bd169495b81c453bed6d917da1dc2916fb1fc,1648557375,https://github.com/google/blockbuster/blob/e04bd169495b81c453bed6d917da1dc2916fb1fc/README.md,https://github.com/google/blockbuster/blob/e04bd169495b81c453bed6d917da1dc2916fb1fc/src/setup/set_env.sh#L55
GCS,repo,README.md,26,26,e04bd169495b81c453bed6d917da1dc2916fb1fc,1648557375,e04bd169495b81c453bed6d917da1dc2916fb1fc,1648557375,e04bd169495b81c453bed6d917da1dc2916fb1fc,1648557375,https://github.com/google/blockbuster/blob/e04bd169495b81c453bed6d917da1dc2916fb1fc/README.md,https://github.com/google/blockbuster/blob/e04bd169495b81c453bed6d917da1dc2916fb1fc/src/dags/subdags/train_model_dag.py#L42
GoogleCloudPlatform,repo,README.md,4,4,e04bd169495b81c453bed6d917da1dc2916fb1fc,1648557375,e04bd169495b81c453bed6d917da1dc2916fb1fc,1648557375,e04bd169495b81c453bed6d917da1dc2916fb1fc,1648557375,https://github.com/google/blockbuster/blob/e04bd169495b81c453bed6d917da1dc2916fb1fc/README.md,https://github.com/google/blockbuster/blob/e04bd169495b81c453bed6d917da1dc2916fb1fc/src/dags/subdags/preprocess_dag.py#L33
ML,repo,README.md,7,7,e04bd169495b81c453bed6d917da1dc2916fb1fc,1648557375,e04bd169495b81c453bed6d917da1dc2916fb1fc,1648557375,e04bd169495b81c453bed6d917da1dc2916fb1fc,1648557375,https://github.com/google/blockbuster/blob/e04bd169495b81c453bed6d917da1dc2916fb1fc/README.md,https://github.com/google/blockbuster/blob/e04bd169495b81c453bed6d917da1dc2916fb1fc/src/dags/subdags/preprocess_dag.py#L16
THIS_PROJECT,repo,README.md,5,5,e04bd169495b81c453bed6d917da1dc2916fb1fc,1648557375,e04bd169495b81c453bed6d917da1dc2916fb1fc,1648557375,e04bd169495b81c453bed6d917da1dc2916fb1fc,1648557375,https://github.com/google/blockbuster/blob/e04bd169495b81c453bed6d917da1dc2916fb1fc/README.md,https://github.com/google/blockbuster/blob/e04bd169495b81c453bed6d917da1dc2916fb1fc/src/setup/set_env.sh#L58
URL,repo,README.md,27,27,e04bd169495b81c453bed6d917da1dc2916fb1fc,1648557375,e04bd169495b81c453bed6d917da1dc2916fb1fc,1648557375,e04bd169495b81c453bed6d917da1dc2916fb1fc,1648557375,https://github.com/google/blockbuster/blob/e04bd169495b81c453bed6d917da1dc2916fb1fc/README.md,https://github.com/google/blockbuster/blob/e04bd169495b81c453bed6d917da1dc2916fb1fc/src/dags/dependencies/tcrm/hooks/monitoring_hook.py#L96
activate_ga,repo,README.md,3,3,e04bd169495b81c453bed6d917da1dc2916fb1fc,1648557375,e04bd169495b81c453bed6d917da1dc2916fb1fc,1648557375,e04bd169495b81c453bed6d917da1dc2916fb1fc,1648557375,https://github.com/google/blockbuster/blob/e04bd169495b81c453bed6d917da1dc2916fb1fc/README.md,https://github.com/google/blockbuster/blob/e04bd169495b81c453bed6d917da1dc2916fb1fc/src/dags/subdags/activate_ga_dag.py#L27
