code_element,page_type,page_name,rev_1,rev_2,rev_SHA_1,rev_timestamp_1,rev_SHA_2,rev_timestamp_2,doc_SHA,doc_timestamp,doc_link,source_link
ASM,repo,README.md,70,70,d9666eaba761085a557ce33385d4d6baf8d88ff3,1639178027,d3910fc2cfdf0532e3da163a4513e610ace5258f,1655246453,d9666eaba761085a557ce33385d4d6baf8d88ff3,1639178027,https://github.com/google/bms-toolkit/blob/d9666eaba761085a557ce33385d4d6baf8d88ff3/README.md,https://github.com/google/bms-toolkit/blob/d3910fc2cfdf0532e3da163a4513e610ace5258f/roles/validation-scripts/templates/crs_check.sh.j2#L12
DATA,repo,README.md,21,21,d9666eaba761085a557ce33385d4d6baf8d88ff3,1639178027,d3910fc2cfdf0532e3da163a4513e610ace5258f,1655246453,d9666eaba761085a557ce33385d4d6baf8d88ff3,1639178027,https://github.com/google/bms-toolkit/blob/d9666eaba761085a557ce33385d4d6baf8d88ff3/README.md,https://github.com/google/bms-toolkit/blob/d3910fc2cfdf0532e3da163a4513e610ace5258f/roles/host-storage/tasks/main.yml#L84
JSON,repo,README.md,16,16,d9666eaba761085a557ce33385d4d6baf8d88ff3,1639178027,d3910fc2cfdf0532e3da163a4513e610ace5258f,1655246453,d9666eaba761085a557ce33385d4d6baf8d88ff3,1639178027,https://github.com/google/bms-toolkit/blob/d9666eaba761085a557ce33385d4d6baf8d88ff3/README.md,https://github.com/google/bms-toolkit/blob/d3910fc2cfdf0532e3da163a4513e610ace5258f/install-oracle.sh#L739
LICENSE,repo,README.md,94,94,d9666eaba761085a557ce33385d4d6baf8d88ff3,1639178027,d3910fc2cfdf0532e3da163a4513e610ace5258f,1655246453,d9666eaba761085a557ce33385d4d6baf8d88ff3,1639178027,https://github.com/google/bms-toolkit/blob/d9666eaba761085a557ce33385d4d6baf8d88ff3/README.md,https://github.com/google/bms-toolkit/blob/d3910fc2cfdf0532e3da163a4513e610ace5258f/roles/validation-scripts/tasks/main.yml#L7
RECO,repo,README.md,19,19,d9666eaba761085a557ce33385d4d6baf8d88ff3,1639178027,d3910fc2cfdf0532e3da163a4513e610ace5258f,1655246453,d9666eaba761085a557ce33385d4d6baf8d88ff3,1639178027,https://github.com/google/bms-toolkit/blob/d9666eaba761085a557ce33385d4d6baf8d88ff3/README.md,https://github.com/google/bms-toolkit/blob/d3910fc2cfdf0532e3da163a4513e610ace5258f/presubmit_tests/test-pr-poc.sh#L49
SSH,repo,README.md,7,7,d9666eaba761085a557ce33385d4d6baf8d88ff3,1639178027,d3910fc2cfdf0532e3da163a4513e610ace5258f,1655246453,d9666eaba761085a557ce33385d4d6baf8d88ff3,1639178027,https://github.com/google/bms-toolkit/blob/d9666eaba761085a557ce33385d4d6baf8d88ff3/README.md,https://github.com/google/bms-toolkit/blob/d3910fc2cfdf0532e3da163a4513e610ace5258f/roles/host-provision/tasks/ssh-keygen.yml#L22
VM,repo,README.md,31,31,d9666eaba761085a557ce33385d4d6baf8d88ff3,1639178027,d3910fc2cfdf0532e3da163a4513e610ace5258f,1655246453,d9666eaba761085a557ce33385d4d6baf8d88ff3,1639178027,https://github.com/google/bms-toolkit/blob/d9666eaba761085a557ce33385d4d6baf8d88ff3/README.md,https://github.com/google/bms-toolkit/blob/d3910fc2cfdf0532e3da163a4513e610ace5258f/manage_devices_on_vm.sh#L25
blk_device,repo,README.md,52,52,d9666eaba761085a557ce33385d4d6baf8d88ff3,1639178027,d3910fc2cfdf0532e3da163a4513e610ace5258f,1655246453,d9666eaba761085a557ce33385d4d6baf8d88ff3,1639178027,https://github.com/google/bms-toolkit/blob/d9666eaba761085a557ce33385d4d6baf8d88ff3/README.md,https://github.com/google/bms-toolkit/blob/d3910fc2cfdf0532e3da163a4513e610ace5258f/roles/rac-gi-setup/tasks/rac-gi-install.yml#L103
cleanup-oracle.sh,repo,README.md,9,10,d9666eaba761085a557ce33385d4d6baf8d88ff3,1639178027,d3910fc2cfdf0532e3da163a4513e610ace5258f,1655246453,d9666eaba761085a557ce33385d4d6baf8d88ff3,1639178027,https://github.com/google/bms-toolkit/blob/d9666eaba761085a557ce33385d4d6baf8d88ff3/README.md,https://github.com/google/bms-toolkit/blob/d3910fc2cfdf0532e3da163a4513e610ace5258f/presubmit_tests/test-pr-poc.sh#L33
id_rsa,repo,README.md,18,18,d9666eaba761085a557ce33385d4d6baf8d88ff3,1639178027,d3910fc2cfdf0532e3da163a4513e610ace5258f,1655246453,d9666eaba761085a557ce33385d4d6baf8d88ff3,1639178027,https://github.com/google/bms-toolkit/blob/d9666eaba761085a557ce33385d4d6baf8d88ff3/README.md,https://github.com/google/bms-toolkit/blob/d3910fc2cfdf0532e3da163a4513e610ace5258f/roles/ssh-setup/tasks/main.yml#L31
install-oracle.sh,repo,README.md,26,26,d9666eaba761085a557ce33385d4d6baf8d88ff3,1639178027,d3910fc2cfdf0532e3da163a4513e610ace5258f,1655246453,d9666eaba761085a557ce33385d4d6baf8d88ff3,1639178027,https://github.com/google/bms-toolkit/blob/d9666eaba761085a557ce33385d4d6baf8d88ff3/README.md,https://github.com/google/bms-toolkit/blob/d3910fc2cfdf0532e3da163a4513e610ace5258f/roles/host-provision/tasks/config-tasks.yml#L21
mount_opts,repo,README.md,10,10,d9666eaba761085a557ce33385d4d6baf8d88ff3,1639178027,d3910fc2cfdf0532e3da163a4513e610ace5258f,1655246453,d9666eaba761085a557ce33385d4d6baf8d88ff3,1639178027,https://github.com/google/bms-toolkit/blob/d9666eaba761085a557ce33385d4d6baf8d88ff3/README.md,https://github.com/google/bms-toolkit/blob/d3910fc2cfdf0532e3da163a4513e610ace5258f/roles/host-storage/tasks/main.yml#L50
