code_element,page_type,page_name,rev_1,rev_2,rev_SHA_1,rev_timestamp_1,rev_SHA_2,rev_timestamp_2,doc_SHA,doc_timestamp,doc_link,source_link
#/name#,repo,README.md,4,2,5e5f43598906e6c51ad7d72b33724a718e1f3a89,1510769691,c66291b56f842a8f9625dd01bbb124b4016e7d54,1539540964,5e5f43598906e6c51ad7d72b33724a718e1f3a89,1510769691,https://github.com/google/bottery/blob/5e5f43598906e6c51ad7d72b33724a718e1f3a89/README.md,https://github.com/google/bottery/blob/c66291b56f842a8f9625dd01bbb124b4016e7d54/bots/kittens.js#L19
*,repo,README.md,229,211,5e5f43598906e6c51ad7d72b33724a718e1f3a89,1510769691,c66291b56f842a8f9625dd01bbb124b4016e7d54,1539540964,5e5f43598906e6c51ad7d72b33724a718e1f3a89,1510769691,https://github.com/google/bottery/blob/5e5f43598906e6c51ad7d72b33724a718e1f3a89/README.md,https://github.com/google/bottery/blob/c66291b56f842a8f9625dd01bbb124b4016e7d54/js/viz.js#L22
->,repo,README.md,16,16,5e5f43598906e6c51ad7d72b33724a718e1f3a89,1510769691,c66291b56f842a8f9625dd01bbb124b4016e7d54,1539540964,5e5f43598906e6c51ad7d72b33724a718e1f3a89,1510769691,https://github.com/google/bottery/blob/5e5f43598906e6c51ad7d72b33724a718e1f3a89/README.md,https://github.com/google/bottery/blob/c66291b56f842a8f9625dd01bbb124b4016e7d54/js/map.js#L363
.js,repo,README.md,1,1,5e5f43598906e6c51ad7d72b33724a718e1f3a89,1510769691,c66291b56f842a8f9625dd01bbb124b4016e7d54,1539540964,5e5f43598906e6c51ad7d72b33724a718e1f3a89,1510769691,https://github.com/google/bottery/blob/5e5f43598906e6c51ad7d72b33724a718e1f3a89/README.md,https://github.com/google/bottery/blob/c66291b56f842a8f9625dd01bbb124b4016e7d54/js/bots.js#L19
@,repo,README.md,9,2,5e5f43598906e6c51ad7d72b33724a718e1f3a89,1510769691,c66291b56f842a8f9625dd01bbb124b4016e7d54,1539540964,5e5f43598906e6c51ad7d72b33724a718e1f3a89,1510769691,https://github.com/google/bottery/blob/5e5f43598906e6c51ad7d72b33724a718e1f3a89/README.md,https://github.com/google/bottery/blob/c66291b56f842a8f9625dd01bbb124b4016e7d54/js/pointer.js#L160
DJ,repo,README.md,3,3,5e5f43598906e6c51ad7d72b33724a718e1f3a89,1510769691,c66291b56f842a8f9625dd01bbb124b4016e7d54,1539540964,5e5f43598906e6c51ad7d72b33724a718e1f3a89,1510769691,https://github.com/google/bottery/blob/5e5f43598906e6c51ad7d72b33724a718e1f3a89/README.md,https://github.com/google/bottery/blob/c66291b56f842a8f9625dd01bbb124b4016e7d54/bots/quiz.js#L4
INPUT,repo,README.md,9,9,5e5f43598906e6c51ad7d72b33724a718e1f3a89,1510769691,c66291b56f842a8f9625dd01bbb124b4016e7d54,1539540964,5e5f43598906e6c51ad7d72b33724a718e1f3a89,1510769691,https://github.com/google/bottery/blob/5e5f43598906e6c51ad7d72b33724a718e1f3a89/README.md,https://github.com/google/bottery/blob/c66291b56f842a8f9625dd01bbb124b4016e7d54/js/pointer.js#L60
JSON,repo,README.md,18,20,5e5f43598906e6c51ad7d72b33724a718e1f3a89,1510769691,c66291b56f842a8f9625dd01bbb124b4016e7d54,1539540964,5e5f43598906e6c51ad7d72b33724a718e1f3a89,1510769691,https://github.com/google/bottery/blob/5e5f43598906e6c51ad7d72b33724a718e1f3a89/README.md,https://github.com/google/bottery/blob/c66291b56f842a8f9625dd01bbb124b4016e7d54/js/vendor/jquery-3.2.1.min.js#L3
UI,repo,README.md,3,2,5e5f43598906e6c51ad7d72b33724a718e1f3a89,1510769691,c66291b56f842a8f9625dd01bbb124b4016e7d54,1539540964,5e5f43598906e6c51ad7d72b33724a718e1f3a89,1510769691,https://github.com/google/bottery/blob/5e5f43598906e6c51ad7d72b33724a718e1f3a89/README.md,https://github.com/google/bottery/blob/c66291b56f842a8f9625dd01bbb124b4016e7d54/js/vendor/jquery-ui.min.js#L1
amIPsychic.js,repo,README.md,1,1,5e5f43598906e6c51ad7d72b33724a718e1f3a89,1510769691,c66291b56f842a8f9625dd01bbb124b4016e7d54,1539540964,5e5f43598906e6c51ad7d72b33724a718e1f3a89,1510769691,https://github.com/google/bottery/blob/5e5f43598906e6c51ad7d72b33724a718e1f3a89/README.md,code_element is a file name
