code_element,page_type,page_name,rev_1,rev_2,rev_SHA_1,rev_timestamp_1,rev_SHA_2,rev_timestamp_2,doc_SHA,doc_timestamp,doc_link,source_link
AND,repo,README.md,4,4,55021ece726c1f199a10d3044eae40a037b7659c,1557891394,4e59890cdc0ef8911a9190584ae5bc59b36c6616,1572284116,55021ece726c1f199a10d3044eae40a037b7659c,1557891394,https://github.com/google/campaign-manager-bulk-uploader/blob/55021ece726c1f199a10d3044eae40a037b7659c/README.md,https://github.com/google/campaign-manager-bulk-uploader/blob/4e59890cdc0ef8911a9190584ae5bc59b36c6616/LICENSE#L6
API,repo,README.md,6,6,55021ece726c1f199a10d3044eae40a037b7659c,1557891394,4e59890cdc0ef8911a9190584ae5bc59b36c6616,1572284116,55021ece726c1f199a10d3044eae40a037b7659c,1557891394,https://github.com/google/campaign-manager-bulk-uploader/blob/55021ece726c1f199a10d3044eae40a037b7659c/README.md,https://github.com/google/campaign-manager-bulk-uploader/blob/4e59890cdc0ef8911a9190584ae5bc59b36c6616/GOOGLE_CLOUD_SHELL.md#L5
APIS,repo,README.md,1,1,55021ece726c1f199a10d3044eae40a037b7659c,1557891394,4e59890cdc0ef8911a9190584ae5bc59b36c6616,1572284116,55021ece726c1f199a10d3044eae40a037b7659c,1557891394,https://github.com/google/campaign-manager-bulk-uploader/blob/55021ece726c1f199a10d3044eae40a037b7659c/README.md,https://github.com/google/campaign-manager-bulk-uploader/blob/4e59890cdc0ef8911a9190584ae5bc59b36c6616/GOOGLE_CLOUD_SHELL.md#L33
CSV,repo,README.md,3,3,55021ece726c1f199a10d3044eae40a037b7659c,1557891394,4e59890cdc0ef8911a9190584ae5bc59b36c6616,1572284116,55021ece726c1f199a10d3044eae40a037b7659c,1557891394,https://github.com/google/campaign-manager-bulk-uploader/blob/55021ece726c1f199a10d3044eae40a037b7659c/README.md,https://github.com/google/campaign-manager-bulk-uploader/blob/4e59890cdc0ef8911a9190584ae5bc59b36c6616/frontend/javascripts/app.js#L333
Credentials,repo,README.md,5,5,55021ece726c1f199a10d3044eae40a037b7659c,1557891394,4e59890cdc0ef8911a9190584ae5bc59b36c6616,1572284116,55021ece726c1f199a10d3044eae40a037b7659c,1557891394,https://github.com/google/campaign-manager-bulk-uploader/blob/55021ece726c1f199a10d3044eae40a037b7659c/README.md,https://github.com/google/campaign-manager-bulk-uploader/blob/4e59890cdc0ef8911a9190584ae5bc59b36c6616/frontend/javascripts/app.js#L218
DCM,repo,README.md,1,1,55021ece726c1f199a10d3044eae40a037b7659c,1557891394,4e59890cdc0ef8911a9190584ae5bc59b36c6616,1572284116,55021ece726c1f199a10d3044eae40a037b7659c,1557891394,https://github.com/google/campaign-manager-bulk-uploader/blob/55021ece726c1f199a10d3044eae40a037b7659c/README.md,https://github.com/google/campaign-manager-bulk-uploader/blob/4e59890cdc0ef8911a9190584ae5bc59b36c6616/GOOGLE_CLOUD_SHELL.md#L34
DFA,repo,README.md,1,1,55021ece726c1f199a10d3044eae40a037b7659c,1557891394,4e59890cdc0ef8911a9190584ae5bc59b36c6616,1572284116,55021ece726c1f199a10d3044eae40a037b7659c,1557891394,https://github.com/google/campaign-manager-bulk-uploader/blob/55021ece726c1f199a10d3044eae40a037b7659c/README.md,https://github.com/google/campaign-manager-bulk-uploader/blob/4e59890cdc0ef8911a9190584ae5bc59b36c6616/GOOGLE_CLOUD_SHELL.md#L34
ENABLE,repo,README.md,1,1,55021ece726c1f199a10d3044eae40a037b7659c,1557891394,4e59890cdc0ef8911a9190584ae5bc59b36c6616,1572284116,55021ece726c1f199a10d3044eae40a037b7659c,1557891394,https://github.com/google/campaign-manager-bulk-uploader/blob/55021ece726c1f199a10d3044eae40a037b7659c/README.md,https://github.com/google/campaign-manager-bulk-uploader/blob/4e59890cdc0ef8911a9190584ae5bc59b36c6616/GOOGLE_CLOUD_SHELL.md#L33
HTTP,repo,README.md,3,3,55021ece726c1f199a10d3044eae40a037b7659c,1557891394,4e59890cdc0ef8911a9190584ae5bc59b36c6616,1572284116,55021ece726c1f199a10d3044eae40a037b7659c,1557891394,https://github.com/google/campaign-manager-bulk-uploader/blob/55021ece726c1f199a10d3044eae40a037b7659c/README.md,https://github.com/google/campaign-manager-bulk-uploader/blob/4e59890cdc0ef8911a9190584ae5bc59b36c6616/frontend/partials/settings.html#L15
ID,repo,README.md,13,13,55021ece726c1f199a10d3044eae40a037b7659c,1557891394,4e59890cdc0ef8911a9190584ae5bc59b36c6616,1572284116,55021ece726c1f199a10d3044eae40a037b7659c,1557891394,https://github.com/google/campaign-manager-bulk-uploader/blob/55021ece726c1f199a10d3044eae40a037b7659c/README.md,https://github.com/google/campaign-manager-bulk-uploader/blob/4e59890cdc0ef8911a9190584ae5bc59b36c6616/samples/sample.csv#L1
JSON,repo,README.md,1,1,55021ece726c1f199a10d3044eae40a037b7659c,1557891394,4e59890cdc0ef8911a9190584ae5bc59b36c6616,1572284116,55021ece726c1f199a10d3044eae40a037b7659c,1557891394,https://github.com/google/campaign-manager-bulk-uploader/blob/55021ece726c1f199a10d3044eae40a037b7659c/README.md,https://github.com/google/campaign-manager-bulk-uploader/blob/4e59890cdc0ef8911a9190584ae5bc59b36c6616/GOOGLE_CLOUD_SHELL.md#L41
JavaScript,repo,README.md,1,1,55021ece726c1f199a10d3044eae40a037b7659c,1557891394,4e59890cdc0ef8911a9190584ae5bc59b36c6616,1572284116,55021ece726c1f199a10d3044eae40a037b7659c,1557891394,https://github.com/google/campaign-manager-bulk-uploader/blob/55021ece726c1f199a10d3044eae40a037b7659c/README.md,https://github.com/google/campaign-manager-bulk-uploader/blob/4e59890cdc0ef8911a9190584ae5bc59b36c6616/GOOGLE_CLOUD_SHELL.md#L40
SERVICES,repo,README.md,1,1,55021ece726c1f199a10d3044eae40a037b7659c,1557891394,4e59890cdc0ef8911a9190584ae5bc59b36c6616,1572284116,55021ece726c1f199a10d3044eae40a037b7659c,1557891394,https://github.com/google/campaign-manager-bulk-uploader/blob/55021ece726c1f199a10d3044eae40a037b7659c/README.md,https://github.com/google/campaign-manager-bulk-uploader/blob/4e59890cdc0ef8911a9190584ae5bc59b36c6616/GOOGLE_CLOUD_SHELL.md#L33
admin,repo,README.md,7,7,55021ece726c1f199a10d3044eae40a037b7659c,1557891394,4e59890cdc0ef8911a9190584ae5bc59b36c6616,1572284116,55021ece726c1f199a10d3044eae40a037b7659c,1557891394,https://github.com/google/campaign-manager-bulk-uploader/blob/55021ece726c1f199a10d3044eae40a037b7659c/README.md,https://github.com/google/campaign-manager-bulk-uploader/blob/4e59890cdc0ef8911a9190584ae5bc59b36c6616/model.py#L84
config.json,repo,README.md,5,5,55021ece726c1f199a10d3044eae40a037b7659c,1557891394,4e59890cdc0ef8911a9190584ae5bc59b36c6616,1572284116,55021ece726c1f199a10d3044eae40a037b7659c,1557891394,https://github.com/google/campaign-manager-bulk-uploader/blob/55021ece726c1f199a10d3044eae40a037b7659c/README.md,https://github.com/google/campaign-manager-bulk-uploader/blob/4e59890cdc0ef8911a9190584ae5bc59b36c6616/frontend/partials/settings.html#L59
