code_element,page_type,page_name,rev_1,rev_2,rev_SHA_1,rev_timestamp_1,rev_SHA_2,rev_timestamp_2,doc_SHA,doc_timestamp,doc_link,source_link
.canThrow(IOException.class),repo,README.md,18,18,bce5d118d0c4fe65d39d19cc35371cc265061ef4,1494312249,d99e40b9f5a2a729c3789bdb26386e9228de01e8,1494312259,bce5d118d0c4fe65d39d19cc35371cc265061ef4,1494312249,https://github.com/google/chkstream/blob/bce5d118d0c4fe65d39d19cc35371cc265061ef4/README.md,https://github.com/google/chkstream/blob/d99e40b9f5a2a729c3789bdb26386e9228de01e8/third_party/openjdk/streamsupport/src/test/java/com/google/chkstream/ChkStreamThrowTest.java#L29
API,repo,README.md,1,1,bce5d118d0c4fe65d39d19cc35371cc265061ef4,1494312249,d99e40b9f5a2a729c3789bdb26386e9228de01e8,1494312259,bce5d118d0c4fe65d39d19cc35371cc265061ef4,1494312249,https://github.com/google/chkstream/blob/bce5d118d0c4fe65d39d19cc35371cc265061ef4/README.md,https://github.com/google/chkstream/blob/d99e40b9f5a2a729c3789bdb26386e9228de01e8/genlib/mako_template.py#L16
ChkStream,repo,README.md,48,48,bce5d118d0c4fe65d39d19cc35371cc265061ef4,1494312249,d99e40b9f5a2a729c3789bdb26386e9228de01e8,1494312259,bce5d118d0c4fe65d39d19cc35371cc265061ef4,1494312249,https://github.com/google/chkstream/blob/bce5d118d0c4fe65d39d19cc35371cc265061ef4/README.md,https://github.com/google/chkstream/blob/d99e40b9f5a2a729c3789bdb26386e9228de01e8/third_party/openjdk/tmpl/com/google/chkstream/ChkStreams.tmpl.java#L29
ChkStream#toStream(),repo,README.md,1,1,bce5d118d0c4fe65d39d19cc35371cc265061ef4,1494312249,d99e40b9f5a2a729c3789bdb26386e9228de01e8,1494312259,bce5d118d0c4fe65d39d19cc35371cc265061ef4,1494312249,https://github.com/google/chkstream/blob/bce5d118d0c4fe65d39d19cc35371cc265061ef4/README.md,https://github.com/google/chkstream/blob/d99e40b9f5a2a729c3789bdb26386e9228de01e8/third_party/openjdk/common/src/main/java/com/google/chkstream/ChkStreamWrappedException.java#L17
ChkStreamWrappedException,repo,README.md,58,58,bce5d118d0c4fe65d39d19cc35371cc265061ef4,1494312249,d99e40b9f5a2a729c3789bdb26386e9228de01e8,1494312259,bce5d118d0c4fe65d39d19cc35371cc265061ef4,1494312249,https://github.com/google/chkstream/blob/bce5d118d0c4fe65d39d19cc35371cc265061ef4/README.md,https://github.com/google/chkstream/blob/d99e40b9f5a2a729c3789bdb26386e9228de01e8/third_party/openjdk/tmpl/com/google/chkstream/function/FunctionUtils.tmpl.java#L33
ChkStreams,repo,README.md,26,26,bce5d118d0c4fe65d39d19cc35371cc265061ef4,1494312249,d99e40b9f5a2a729c3789bdb26386e9228de01e8,1494312259,bce5d118d0c4fe65d39d19cc35371cc265061ef4,1494312249,https://github.com/google/chkstream/blob/bce5d118d0c4fe65d39d19cc35371cc265061ef4/README.md,https://github.com/google/chkstream/blob/d99e40b9f5a2a729c3789bdb26386e9228de01e8/third_party/openjdk/tmpl/com/google/chkstream/ChkStreams.tmpl.java#L33
Exception,repo,README.md,42,42,bce5d118d0c4fe65d39d19cc35371cc265061ef4,1494312249,d99e40b9f5a2a729c3789bdb26386e9228de01e8,1494312259,bce5d118d0c4fe65d39d19cc35371cc265061ef4,1494312249,https://github.com/google/chkstream/blob/bce5d118d0c4fe65d39d19cc35371cc265061ef4/README.md,https://github.com/google/chkstream/blob/d99e40b9f5a2a729c3789bdb26386e9228de01e8/third_party/openjdk/tmpl/com/google/chkstream/function/FunctionUtils.tmpl.java#L4
GNU,repo,README.md,40,40,bce5d118d0c4fe65d39d19cc35371cc265061ef4,1494312249,d99e40b9f5a2a729c3789bdb26386e9228de01e8,1494312259,bce5d118d0c4fe65d39d19cc35371cc265061ef4,1494312249,https://github.com/google/chkstream/blob/bce5d118d0c4fe65d39d19cc35371cc265061ef4/README.md,https://github.com/google/chkstream/blob/d99e40b9f5a2a729c3789bdb26386e9228de01e8/third_party/openjdk/tmpl/com/google/chkstream/package-info.java#L6
GPLv2,repo,README.md,9,9,bce5d118d0c4fe65d39d19cc35371cc265061ef4,1494312249,d99e40b9f5a2a729c3789bdb26386e9228de01e8,1494312259,bce5d118d0c4fe65d39d19cc35371cc265061ef4,1494312249,https://github.com/google/chkstream/blob/bce5d118d0c4fe65d39d19cc35371cc265061ef4/README.md,https://github.com/google/chkstream/blob/d99e40b9f5a2a729c3789bdb26386e9228de01e8/third_party/openjdk/tmpl/com/google/chkstream/function/FunctionUtils.tmpl.java#L4
IOException,repo,README.md,36,36,bce5d118d0c4fe65d39d19cc35371cc265061ef4,1494312249,d99e40b9f5a2a729c3789bdb26386e9228de01e8,1494312259,bce5d118d0c4fe65d39d19cc35371cc265061ef4,1494312249,https://github.com/google/chkstream/blob/bce5d118d0c4fe65d39d19cc35371cc265061ef4/README.md,https://github.com/google/chkstream/blob/d99e40b9f5a2a729c3789bdb26386e9228de01e8/third_party/openjdk/streamsupport/src/test/java/com/google/chkstream/ChkStreamThrowTest.java#L15
