code_element,page_type,page_name,rev_1,rev_2,rev_SHA_1,rev_timestamp_1,rev_SHA_2,rev_timestamp_2,doc_SHA,doc_timestamp,doc_link,source_link
$inject,repo,README.md,1,1,026c1c18e6c82386cc49992a747e8fe75f20b736,1534803610,026c1c18e6c82386cc49992a747e8fe75f20b736,1534803610,026c1c18e6c82386cc49992a747e8fe75f20b736,1534803610,https://github.com/google/closure-compiler-js/blob/026c1c18e6c82386cc49992a747e8fe75f20b736/README.md,https://github.com/google/closure-compiler-js/blob/026c1c18e6c82386cc49992a747e8fe75f20b736/usage.txt#L19
%output%,repo,README.md,1,1,026c1c18e6c82386cc49992a747e8fe75f20b736,1534803610,026c1c18e6c82386cc49992a747e8fe75f20b736,1534803610,026c1c18e6c82386cc49992a747e8fe75f20b736,1534803610,https://github.com/google/closure-compiler-js/blob/026c1c18e6c82386cc49992a747e8fe75f20b736/README.md,https://github.com/google/closure-compiler-js/blob/026c1c18e6c82386cc49992a747e8fe75f20b736/usage.txt#L82
.gulp(),repo,README.md,1,1,026c1c18e6c82386cc49992a747e8fe75f20b736,1534803610,026c1c18e6c82386cc49992a747e8fe75f20b736,1534803610,026c1c18e6c82386cc49992a747e8fe75f20b736,1534803610,https://github.com/google/closure-compiler-js/blob/026c1c18e6c82386cc49992a747e8fe75f20b736/README.md,https://github.com/google/closure-compiler-js/blob/026c1c18e6c82386cc49992a747e8fe75f20b736/samples/gulpfile.js#L21
@define,repo,README.md,6,6,026c1c18e6c82386cc49992a747e8fe75f20b736,1534803610,026c1c18e6c82386cc49992a747e8fe75f20b736,1534803610,026c1c18e6c82386cc49992a747e8fe75f20b736,1534803610,https://github.com/google/closure-compiler-js/blob/026c1c18e6c82386cc49992a747e8fe75f20b736/README.md,https://github.com/google/closure-compiler-js/blob/026c1c18e6c82386cc49992a747e8fe75f20b736/usage.txt#L46
@export,repo,README.md,1,1,026c1c18e6c82386cc49992a747e8fe75f20b736,1534803610,026c1c18e6c82386cc49992a747e8fe75f20b736,1534803610,026c1c18e6c82386cc49992a747e8fe75f20b736,1534803610,https://github.com/google/closure-compiler-js/blob/026c1c18e6c82386cc49992a747e8fe75f20b736/README.md,https://github.com/google/closure-compiler-js/blob/026c1c18e6c82386cc49992a747e8fe75f20b736/usage.txt#L62
@ngInject,repo,README.md,1,1,026c1c18e6c82386cc49992a747e8fe75f20b736,1534803610,026c1c18e6c82386cc49992a747e8fe75f20b736,1534803610,026c1c18e6c82386cc49992a747e8fe75f20b736,1534803610,https://github.com/google/closure-compiler-js/blob/026c1c18e6c82386cc49992a747e8fe75f20b736/README.md,https://github.com/google/closure-compiler-js/blob/026c1c18e6c82386cc49992a747e8fe75f20b736/usage.txt#L20
ADVANCED,repo,README.md,8,8,026c1c18e6c82386cc49992a747e8fe75f20b736,1534803610,026c1c18e6c82386cc49992a747e8fe75f20b736,1534803610,026c1c18e6c82386cc49992a747e8fe75f20b736,1534803610,https://github.com/google/closure-compiler-js/blob/026c1c18e6c82386cc49992a747e8fe75f20b736/README.md,https://github.com/google/closure-compiler-js/blob/026c1c18e6c82386cc49992a747e8fe75f20b736/usage.txt#L40
ANY,repo,README.md,13,13,026c1c18e6c82386cc49992a747e8fe75f20b736,1534803610,026c1c18e6c82386cc49992a747e8fe75f20b736,1534803610,026c1c18e6c82386cc49992a747e8fe75f20b736,1534803610,https://github.com/google/closure-compiler-js/blob/026c1c18e6c82386cc49992a747e8fe75f20b736/README.md,https://github.com/google/closure-compiler-js/blob/026c1c18e6c82386cc49992a747e8fe75f20b736/test/simple.js#L12
AS,repo,README.md,13,13,026c1c18e6c82386cc49992a747e8fe75f20b736,1534803610,026c1c18e6c82386cc49992a747e8fe75f20b736,1534803610,026c1c18e6c82386cc49992a747e8fe75f20b736,1534803610,https://github.com/google/closure-compiler-js/blob/026c1c18e6c82386cc49992a747e8fe75f20b736/README.md,https://github.com/google/closure-compiler-js/blob/026c1c18e6c82386cc49992a747e8fe75f20b736/test/simple.js#L11
AngularJS,repo,README.md,1,1,026c1c18e6c82386cc49992a747e8fe75f20b736,1534803610,026c1c18e6c82386cc49992a747e8fe75f20b736,1534803610,026c1c18e6c82386cc49992a747e8fe75f20b736,1534803610,https://github.com/google/closure-compiler-js/blob/026c1c18e6c82386cc49992a747e8fe75f20b736/README.md,https://github.com/google/closure-compiler-js/blob/026c1c18e6c82386cc49992a747e8fe75f20b736/usage.txt#L19
BASIS,repo,README.md,13,13,026c1c18e6c82386cc49992a747e8fe75f20b736,1534803610,026c1c18e6c82386cc49992a747e8fe75f20b736,1534803610,026c1c18e6c82386cc49992a747e8fe75f20b736,1534803610,https://github.com/google/closure-compiler-js/blob/026c1c18e6c82386cc49992a747e8fe75f20b736/README.md,https://github.com/google/closure-compiler-js/blob/026c1c18e6c82386cc49992a747e8fe75f20b736/test/simple.js#L11
